[DRA | EN | OT | Proverbs | Chapter 22 | Verse 1] A good name is better than great riches: and good favour is above silver and gold.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 2] The rich and poor have met one another: the Lord is the maker of them both.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 3] The prudent man saw the evil, and hid himself: the simple passed on, and suffered loss.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 4] The fruit of humility is the fear of the Lord, riches and glory and life.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 5] Arms and swords are in the way of the perverse: but he that keepeth his own soul departeth far from them.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 6] It is a proverb: A young man according to his way, even when he is old he will not depart from it.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 7] The rich ruleth over the poor: and the borrower is servant to him that lendeth.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 8] He that soweth iniquity shall reap evils, and with the rod of his anger he shall be consumed.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 9] He that is inclined to mercy shall be blessed: for of his bread he hath given to the poor. He that maketh presents shall purchase victory and honour: but he carrieth away the souls of the receivers.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 10] Cast out the scoffer, and contention shall go out with him, and quarrels and reproaches shall cease.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 11] He that loveth cleanness of heart, for the grace of his lips shall have the king for his friend.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 12] The eyes of the Lord preserve knowledge: and the words of the unjust are overthrown.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 13] The slothful man saith: There is a lion without, I shall be slain in the midst of the streets.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 14] The mouth of a strange woman is a deep pit: he whom the Lord is angry with, shall fall into it.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 15] Folly is bound up in the heart of a child, and the rod of correction shall drive it away.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 16] He that oppresseth the poor, to increase his own riches, shall himself give to one that is richer, and shall be in need.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 17] Incline thy ear, and hear the words of the wise: and apply thy heart to my doctrine:
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 18] Which shall be beautiful for thee, if thou keep it in thy bowels, and it shall flow in thy lips:
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 19] That thy trust may be in the Lord, wherefore I have also shewn it to thee this day.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 20] Behold I have described it to thee three manner of ways, in thoughts and knowledge:
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 21] That I might shew thee the certainty, and the words of truth, to answer out of these to them that sent thee.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 22] Do no violence to the poor, because he is poor: and do not oppress the needy in the gate:
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 23] Because the Lord will judge his cause, and will afflict them that have afflicted his soul.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 24] Be not a friend to an angry man, and do not walk with a furious man:
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 25] Lest perhaps thou learn his ways, and take scandal to thy soul.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 26] Be not with them that fasten down their hands, and that offer themselves sureties for debts:
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 27] For if thou have not wherewith to restore, what cause is there, that he should take the covering from thy bed?
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 28] Pass not beyond the ancient bounds which thy fathers have set.
[DRA | EN | OT | Proverbs | Chapter 22 | Verse 29] Hast thou seen a man swift in his work? he shall stand before kings, and shall not be before those that are obscure.
