[DRA | EN | OT | Proverbs | Chapter 11 | Verse 1] A deceitful balance is an abomination before the Lord: and a just weight is his will.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 2] Where pride is, there also shall be reproach: but where humility is, there also is wisdom.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 3] The simplicity of the just shall guide them: and the deceitfulness of the wicked shall destroy them.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 4] Riches shall not profit in the day of revenge: but justice shall deliver from death.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 5] The justice of the upright shall make his way prosperous: and the wicked man shall fall by his own wickedness.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 6] The justice of the righteous shall deliver them: and the unjust shall be caught in their own snares.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 7] When the wicked man is dead, there shall be no hope any more: and the expectation of the solicitous shall perish.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 8] The just is delivered out of distress: and the wicked shall be given up for him.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 9] The dissembler with his mouth deceiveth his friend: but the just shall be delivered by knowledge.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 10] When it goeth well with the just the city shall rejoice: and when the wicked perish there shall be praise.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 11] By the blessing of the just the city shall be exalted: and by the mouth of the wicked it shall be overthrown.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 12] He that despiseth his friend, is mean of heart: but the wise man will hold his peace.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 13] He that walketh deceitfully, revealeth secrets: but he that is faithful, concealeth the thing committed to him by his friend.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 14] Where there is no governor, the people shall fall: but there is safety where there is much counsel.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 15] He shall be afflicted with evil, that is surety for a stranger: but he that is aware of the snares, shall be secure.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 16] A gracious woman shall find glory: and the strong shall have riches.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 17] A merciful man doth good to his own soul: but he that is cruel casteth off even his own kindred.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 18] The wicked maketh an unsteady work: but to him that soweth justice, there is a faithful reward.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 19] Clemency prepareth life: and the pursuing of evil things, death.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 20] A perverse heart is abominable to the Lord: and his will is in them that walk sincerely.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 21] Hand in hand the evil man shall not be innocent: but the seed of the just shall be saved.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 22] A golden ring in a swine’s snout, a woman fair and foolish.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 23] The desire of the just is all good: the expectation of the wicked is indignation.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 24] Some distribute their own goods, and grow richer: others take away what is not their own, and are always in want.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 25] The soul which blesseth, shall be made fat: and he that inebriateth, shall be inebriated also himself.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 26] He that hideth up corn, shall be cursed among the people: but a blessing upon the head of them that sell.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 27] Well doth he rise early who seeketh good things; but he that seeketh after evil things shall be oppressed by them.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 28] He that trusteth in his riches shall fall: but the just shall spring up as a green leaf.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 29] He that troubleth his own house, shall inherit the winds: and the fool shall serve the wise.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 30] The fruit of the just man is a tree of life: and he that gaineth souls, is wise.
[DRA | EN | OT | Proverbs | Chapter 11 | Verse 31] If the just man receive in the earth, how much more the wicked and the sinner.
