[DRA | EN | OT | Proverbs | Chapter 9 | Verse 1] Wisdom hath built herself a house, she hath hewn her out seven pillars.
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 2] She hath slain her victims, mingled her wine, and set forth her table.
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 3] She hath sent her maids to invite to the tower, and to the walls of the city:
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 4] Whosoever is a little one, let him come to me. And to the unwise she said:
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 5] Come, eat my bread, and drink the wine which I have mingled for you.
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 6] Forsake childishness, and live, and walk by the ways of prudence.
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 7] He that teacheth a scorner, doth an injury to himself: and he that rebuketh a wicked man, getteth himself a blot.
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 8] Rebuke not a scorner lest he hate thee. Rebuke a wise man, and he will love thee.
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 9] Give an occasion to a wise man, and wisdom shall be added to him. Teach a just man, and he shall make haste to receive it.
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 10] The fear of the Lord is the beginning of wisdom: and the knowledge of the holy is prudence.
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 11] For by me shall thy days be multiplied, and years of life shall be added to thee.
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 12] If thou be wise, thou shalt be so to thyself: and if a scorner, thou alone shalt bear the evil.
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 13] A foolish woman and clamorous, and full of allurements, and knowing nothing at all,
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 14] Sat at the door of her house, upon a seat, in a high place of the city,
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 15] To call them that pass by the way, and go on their journey:
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 16] He that is a little one, let him turn to me. And to the fool she said:
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 17] Stolen waters are sweeter, and hid den bread is more pleasant.
[DRA | EN | OT | Proverbs | Chapter 9 | Verse 18] And he did not know that giants are there, and that her guests are in the depths of hell.
