[DRA | EN | OT | Proverbs | Chapter 16 | Verse 1] It is the part of man to prepare the soul: and of the Lord to govern the tongue.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 2] All the ways of a man are open to his eyes: the Lord is the weigher of spirits.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 3] Lay open thy works to the Lord: and thy thoughts shall be directed.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 4] The Lord hath made all things for himself: the wicked also for the evil day.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 5] Every proud man is an abomination to the Lord: though hand should be joined to hand, he is not innocent. The beginning of a good way is to do justice; and this is more acceptable with God, than to offer sacrifices.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 6] By mercy and truth iniquity is redeemed: and by the fear of the Lord men depart from evil.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 7] When the ways of man shall please the Lord, he will convert even his enemies to peace.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 8] Better is a little with justice, than great revenues with iniquity.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 9] The heart of man disposeth his way: but the Lord must direct his steps.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 10] Divination is in the lips of the king, his mouth shall not err in judgment.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 11] Weight and balance are judgments of the Lord: and his work all the weights of the bag.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 12] They that act wickedly are abominable to the king: for the throne is established by justice.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 13] Just lips are the delight of kings: he that speaketh right things shall be loved.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 14] The wrath of a king is as messengers of death: and the wise man will pacify it.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 15] In the cheerfulness of the king’s countenance is life: and his clemency is like the latter rain.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 16] Get wisdom, because it is better than gold: and purchase prudence, for it is more precious than silver.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 17] The path of the just departeth from evils: he that keepeth his soul keepeth his way.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 18] Pride goeth before destruction: and the spirit is lifted up before a fall.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 19] It is better to be humbled with the meek, than to divide spoils with the proud.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 20] The learned in word shall find good things: and he that trusteth in the Lord is blessed.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 21] The wise in heart shall be called prudent: and he that is sweet in words shall attain to greater things.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 22] Knowledge is a fountain of life to him that possesseth it: the instruction of fools is foolishness.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 23] The heart of the wise shall instruct his mouth: and shall add grace to his lips.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 24] Well ordered words are as a honeycomb: sweet to the soul, and health to the bones.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 25] There is a way that seemeth to a man right: and the ends thereof lead to death.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 26] The soul of him that laboureth, laboureth for himself, because his mouth hath obliged him to it.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 27] The wicked man diggeth evil, and in his lips is a burning fire.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 28] A perverse man stirreth up quarrels: and one full of words separateth princes.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 29] An unjust man allureth his friend: and leadeth him into a way that is not good.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 30] He that with fixed eyes deviseth wicked things, biting his lips, bringeth: evil to pass.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 31] Old age is a crown of dignity, when it is found in the ways of justice.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 32] The patient man is better than the valiant: and he that ruleth his spirit than he that taketh cities.
[DRA | EN | OT | Proverbs | Chapter 16 | Verse 33] Lots are cast into the lap, but they are disposed of by the Lord.
