[DRA | EN | OT | Proverbs | Chapter 3 | Verse 1] My son, forget not my law, and let thy heart keep my commandments.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 2] For they shall add to thee length of days, and years of life and peace.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 3] Let not mercy and truth leave thee, put them about thy neck, and write them in the tables of thy heart:
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 4] And thou shalt And grace and good understanding before God and men.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 5] Have confidence in the Lord with all thy heart, and lean not upon thy own prudence.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 6] In all thy ways think on him, and he will direct thy steps.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 7] I Be not wise in thy own conceit: fear God, and depart from evil:
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 8] For it shall be health to thy navel, and moistening to thy bones.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 9] Honour the Lord with thy substance, and give him of the first of all thy fruits:
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 10] And thy barns shall be filled with abundance, and thy presses shall run over with wine.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 11] My son, reject not the correction of the Lord: and do not faint when thou art chastised by him:
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 12] For whom the Lord loveth, he chastiseth: and as a father in the son he pleaseth himself.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 13] Blessed is the man that findeth wisdom and is rich in prudence:
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 14] The purchasing thereof is better than the merchandise of silver, and her fruit than the chiefest and purest gold:
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 15] She is more precious than all riches: and all the things that are desired, are not to be compared with her.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 16] Length of days is in her right hand, and in her left hand riches and glory.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 17] Her ways are beautiful ways, and all her paths are peaceable.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 18] She is a tree of life to them that lay hold on her: and he that shall retain her is blessed.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 19] The Lord by wisdom hath founded the earth, hath established the heavens by prudence.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 20] By his wisdom the depths have broken out, and the clouds grow thick with dew.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 21] My son, let not these things depart from thy eyes: keep the law and counsel:
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 22] And there shall be life to thy soul, and grace to thy mouth.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 23] Then shalt thou walk confidently in thy way, and thy foot shall not stumble:
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 24] If thou sleep, thou shalt not fear: thou shalt rest, and thy sleep shall be sweet.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 25] Be not afraid of sudden fear, nor of the power of the wicked falling upon thee.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 26] For the Lord will be at thy side, and will keep thy foot that thou be not taken.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 27] Do not withhold him from doing good, who is able: if thou art able, do good thyself also.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 28] Say not to thy friend: Go, and come again: and tomorrow I will give to thee: when thou canst give at present.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 29] Practise not evil against thy friend, when he hath confidence in thee.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 30] Strive not against a man without cause, when he hath done thee no evil.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 31] Envy not the unjust man, and do not follow his ways:
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 32] For every mocker is an abomination to the Lord, and his communication is with the simple.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 33] Want is from the Lord in the house of the wicked: but the habitations of the just shall be blessed.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 34] He shall scorn the scorners, and to the meek he will give grace.
[DRA | EN | OT | Proverbs | Chapter 3 | Verse 35] The wise shall possess glory: the promotion of fools is disgrace.
