[DRA | EN | OT | Proverbs | Chapter 19 | Verse 1] Better is the poor man, that walketh in his simplicity, than a rich man that is perverse in his lips, and unwise.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 2] Where there is no knowledge of the soul, there is no good: and he that is hasty with his feet shall stumble.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 3] The folly of a man supplanteth his seeps: and he fretteth in his mind against God.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 4] Riches make many friends: but from the poor man, even they whom he had, depart.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 5] A false witness shall not be unpunished: and he that speaketh lies shall not escape.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 6] Many honour the person of him that is mighty, and are friends of him that giveth gifts.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 7] The brethren of the poor man hate him: moreover also his friends have departed far from him. He that followeth after words only, shall have nothing.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 8] But he that possesseth a mind, loveth his own soul, and he that keepeth prudence shall find good things.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 9] A false witness shall not be unpunished: and he that speaketh lies, shall perish.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 10] Delicacies are not seemly for a fool: nor for a servant to have rule over princes.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 11] The learning of a man is known by patience and his glory is to pass over wrongs.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 12] As the roaring of a lion, so also is the anger of a king: and his cheerfulness as the dew upon the grass.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 13] A foolish son is the grief of his father: and a wrangling wife is like a roof continually dropping through.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 14] House and riches are given by parents: but a prudent wife is properly from the Lord.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 15] Slothfulness casteth into a deep sleep, and an idle soul shall suffer hunger.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 16] He that keepeth the commandment, keepeth his own soul: but he that neglecteth his own way, shall die.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 17] He that hath mercy on the poor, lendeth to the Lord: and he will repay him.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 18] Chastise thy son, despair not: but to the killing of him set not thy soul.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 19] He that is impatient, shall suffer damage: and when he shall take away he shall add another thing.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 20] Hear counsel, and receive instruction, that thou mayst be wise in thy latter end.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 21] There are many thoughts in the heart of a man: but the will of the Lord shall stand firm.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 22] A needy man is merciful: and better is the poor than the lying man.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 23] The fear of the Lord is unto life: and he shall abide in fulness without being visited with evil.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 24] The slothful hideth his hand under his armpit, and will not so much as bring it to his mouth.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 25] The wicked man being; scourged, the fool shall be wiser: but if thou rebuke a wise man he will understand discipline.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 26] He that afflicteth his father, and chaseth away his mother, is infamous and unhappy.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 27] Cease not, O my son, to hear instruction, and be not ignorant of the words of knowledge.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 28] An unjust witness scorneth judgment: and the mouth of the wicked devoureth iniquity.
[DRA | EN | OT | Proverbs | Chapter 19 | Verse 29] Judgments are prepared for scorners: and striking hammers for the bodies of fools.
