[DRA | EN | OT | Proverbs | Chapter 4 | Verse 1] Hear, ye children, the instruction of a father, and attend that you may know prudence.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 2] I will give you a good gift, forsake not my law.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 3] For I also was my father’s son, tender and as an only son in the sight of my mother:
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 4] And he taught me, and said: Let thy heart receive my words, keep my commandments, and thou shalt live.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 5] Get wisdom, get prudence: forget not, neither decline from the words of my mouth.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 6] Forsake her not, and she shall keep thee: love her, and she shall preserve thee.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 7] The beginning of wisdom, get wisdom, and with all thy possession purchase prudence.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 8] Take hold on her, and she shall exalt thee: thou shalt be glorified by her, when thou shalt embrace her.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 9] She shall give to thy head increase of graces, and protect thee with a noble crown.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 10] Hear, O my son, and receive my words, that years of life may be multiplied to thee.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 11] I will shew thee the way of wisdom, I will lead thee by the paths of equity:
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 12] Which when thou shalt have entered, thy steps shall not be straitened, and when thou runnest thou shalt not meet a stumblingblock.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 13] Take hold on instruction, leave it not: keep it, because it is thy life.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 14] Be not delighted in the paths of the wicked, neither let the way of evil men please thee.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 15] Flee from it, pass not by it: go aside, and forsake it.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 16] For they sleep not except they have done evil: and their sleep is taken away unless they have made some to fall.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 17] They eat the bread of wickedness, and drink the wine of iniquity.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 18] But the path of the just, as a shining light, goeth forwards and increaseth even to perfect day.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 19] The way of the wicked is darksome: they know not where they fall.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 20] My son, hearken to my words, and incline thy ear to my sayings.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 21] Let them not depart from thy eyes, keep them in the midst of thy heart:
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 22] For they are life to those that find them, and health to all flesh.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 23] With all watchfulness keep thy heart, because life issueth out from it.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 24] Remove from thee a froward mouth, and let detracting lips be far from thee.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 25] Let thy eyes look straight on, and let thy eyelids go before thy steps.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 26] Make straight the path for thy feet, and all thy ways shall be established.
[DRA | EN | OT | Proverbs | Chapter 4 | Verse 27] Decline not to the right hand, nor to the left: turn away thy foot from evil. For the Lord knoweth the ways that are on the right hand: but those are perverse which are on the left hand. But he will make thy courses straight, he will bring forward thy ways in peace.
