[DRA | EN | OT | Proverbs | Chapter 2 | Verse 1] My son, if thou wilt receive my words, and wilt hide my commandments with thee,
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 2] That thy ear may hearken to wisdom: Incline thy heart to know prudence:
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 3] For if thou shalt call for wisdom, and incline thy heart to prudence:
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 4] If thou shalt seek her as money, and shalt dig for her as for a treasure:
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 5] Then shalt thou understand the fear of the Lord, and shalt find the knowledge of God.
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 6] Because the Lord giveth wisdom: and out of his mouth cometh prudence and knowledge.
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 7] He will keep the salvation of the righteous, and protect them that walk in simplicity.
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 8] Keeping the paths of justice, and guarding the ways of saints.
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 9] Then shalt thou understand justice, and judgment, and equity, and every good path.
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 10] If wisdom shall enter into thy heart, and knowledge please thy soul:
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 11] Counsel shall keep thee, and prudence shall preserve thee,
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 12] That thou mayst be delivered from the evil way, and from the man that speaketh perverse things:
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 13] Who leave the right way, and walk by dark ways:
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 14] Who are glad when they have done evil, and rejoice in most wicked things:
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 15] Whose ways are perverse, and their steps infamous.
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 16] That thou mayst be delivered from the strange women, and from the stranger, who softeneth her words:
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 17] And forsaketh the guide of her youth,
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 18] And hath forgotten the covenant of her God: for her house inclineth unto death, and her paths to hell.
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 19] None that go in unto her shall return again, neither shall they take hold of the paths of life,
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 20] That thou mayst walk in a good way: and mayst keep the paths of the just.
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 21] For they that are upright shall dwell in the earth, and the simple shall continue in it.
[DRA | EN | OT | Proverbs | Chapter 2 | Verse 22] But the wicked shall be destroyed from the earth: and they that do unjustly shall be taken away from it.
