[DRA | EN | OT | Proverbs | Chapter 27 | Verse 1] Boast not for tomorrow, for thou knowest not what the day to come may bring forth.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 2] Let another praise thee, and not thy own mouth: a stranger, and not thy own lips.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 3] A stone is heavy, and sand weighty: but the anger of a fool is heavier than them both.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 4] Anger hath no mercy, nor fury when it breaketh forth: and who can bear the violence of one provoked?
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 5] Open rebuke is better than hidden love.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 6] Better are the wounds of a friend, than the deceitful kisses of an enemy.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 7] A soul that is full shall tread upon the honeycomb: and a soul that is hungry shall take even bitter for sweet.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 8] As a bird that wandereth from her nest, so is a man that leaveth his place.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 9] Ointment and perfumes rejoice the heart: and the good counsels of a friend are sweet to the soul.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 10] Thy own friend, and thy father’s friend forsake not: and go not into thy brother’s house in the day of thy affliction. Better is a neighbour that is near, than a brother afar off.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 11] Study wisdom, my son, and make my heart joyful, that thou mayst give an answer to him that reproacheth.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 12] The prudent man seeing evil hideth himself: little ones passing on have suffered losses.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 13] Take away his garment that hath been surety for a stranger: and take from him a pledge for strangers.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 14] He that blesseth his neighbour with a loud voice, rising in the night, shall be like to him that curseth.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 15] Roofs dropping through in a cold day, and a contentious woman are alike.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 16] He that retaineth her, is as he that would hold the wind, and shall call in the oil of his right hand.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 17] Iron sharpeneth iron, so a man sharpeneth the countenance of his friend.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 18] He that keepeth the fig tree, shall eat the fruit thereof: and he that is the keeper of his master, shall be glorified.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 19] As the faces of them that look therein, shine in the water, so-the hearts of men are laid open to the wise.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 20] Hell and destruction are never filled: so the eyes of men are never satisfied.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 21] As silver is tried in the fining-pot and gold in the furnace: so a man is tried by the mouth of him that praiseth. The heart of the wicked seeketh after evils, but the righteous heart seeketh after knowledge.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 22] Though thou shouldst bray a fool in the mortar, as when a pestle striketh upon sodden barley, his folly would not be taken from him.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 23] Be diligent to know the countenance of thy cattle, and consider thy own flocks:
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 24] For thou shalt not always have power: but a crown shall be given to generation and generation.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 25] The meadows are open, and the green herbs have appeared, and the hay is gathered out of the mountains.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 26] Lambs are for thy clothing: and kids for the price of the field.
[DRA | EN | OT | Proverbs | Chapter 27 | Verse 27] Let the milk of the goats be enough for thy food, and for the necessities of thy house, and for maintenance for thy handmaids.
