[DRA | EN | OT | Proverbs | Chapter 6 | Verse 1] My son, if thou be surety for thy friend, thou hast engaged fast thy hand to a stranger.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 2] Thou art ensnared with the words of thy mouth, and caught with thy own words.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 3] Do therefore, my son, what I say, and deliver thyself: because thou art fallen into the hand of thy neighbour. Run about, make haste, stir up thy friend:
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 4] Give not sleep to thy eyes, neither let thy eyelids slumber.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 5] Deliver thyself as a doe from the hand, and as a bird from the hand of the fowler.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 6] Go to the ant, O sluggard, and consider her ways, and learn wisdom:
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 7] Which, although she hath no guide, nor master, nor captain,
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 8] Provideth her meat for herself in the summer, and gathereth her food in the harvest.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 9] How long wilt thou sleep, O sluggard? when wilt thou rise out of thy sleep?
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 10] Thou wilt sleep a little, thou wilt slumber a little, thou wilt fold thy hands a little to sleep:
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 11] And want shall come upon thee, as a traveller, and poverty as a man armed. But if thou be diligent, thy harvest shall come as a fountain, and want shall flee far from thee.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 12] A man that is an apostate, an unprofitable man, walketh with a perverse mouth,
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 13] He winketh with the eyes, presseth with the foot, speaketh with the finger.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 14] With a wicked heart he deviseth evil, and at all times he soweth discord.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 15] To such a one his destruction shall presently come, and he shall suddenly be destroyed, and shall no longer have any remedy.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 16] Six things there are, which the Lord hateth, and the seventh his soul detesteth:
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 17] Haughty eyes, a lying tongue, hands that shed innocent blood,
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 18] A heart that deviseth wicked plots, feet that are swift to run into mischief,
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 19] A deceitful witness that uttereth lies, and him that soweth discord among brethren.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 20] My son, beep the commandments of thy father, and forsake not the law of thy mother.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 21] Bind them in thy heart continually, and put them about thy neck.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 22] When thou walkest, let them go with thee: when thou sleepest, let them keep thee; and when thou awakest, talk with them.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 23] Because the commandment is a lamp, and the law a light, and reproofs of instruction are the way of life:
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 24] That they may keep thee from the evil woman, and from the flattering tongue of the stranger.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 25] Let not thy heart covet her beauty, be not caught with her winks:
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 26] For the price of a harlot is scarce one loaf: but the woman catcheth the precious soul of a man.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 27] Can a man hide fire in his bosom, and his garments not burn?
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 28] Or can he walk upon hot coals, and his feet not be burnt?
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 29] So he that goeth in to his neighbour’s wife, shall not be clean when he shall touch her.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 30] The fault is not so great when a man hath stolen: for he stealeth to fill his hungry soul:
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 31] And if he be taken he shall restore sevenfold, and shall give up all the substance of his house.
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 32] But he that is an adulterer, for the folly of his heart shall destroy his own soul:
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 33] He gathereth to himself shame and dishonour, and his reproach shall not be blotted out:
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 34] Because the jealousy and rage of the husband will not spare in the day of revenge,
[DRA | EN | OT | Proverbs | Chapter 6 | Verse 35] Nor will he yield to any man’s prayers, nor will he accept for satisfaction ever so many gifts.
