[DRA | EN | OT | Proverbs | Chapter 29 | Verse 1] The man that with a stiff neck despiseth him that reproveth him, shall suddenly be destroyed: and health shall not follow him.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 2] When just men increase, the people shall rejoice: when the wicked shall bear rule, the people shall mourn.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 3] A man that loveth wisdom, rejoiceth his father: but he that maintaineth bar lots, shall squander away his substance.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 4] A just king setteth up the land: a covetous man shall destroy it.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 5] A man that speaketh to his friend with flattering and dissembling words, spreadeth a net for his feet.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 6] A snare shall entangle the wicked man when he sinneth: and the just shall praise and rejoice.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 7] The just taketh notice of the cause of the poor: the wicked is void of knowledge.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 8] Corrupt men bring a city to ruin: but wise men turn away wrath.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 9] If a wise man contend with a fool, whether he be angry or laugh, he shall find no rest.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 10] Bloodthirsty men hate the upright: but just men seek his soul.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 11] A fool uttereth all his mind: a wise man deferreth, and keepeth it till afterwards.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 12] A prince that gladly heareth lying words, hath all his servants wicked.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 13] The poor man and the creditor have met one another: the Lord is the enlightener of them both.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 14] The king that judgeth the poor in truth, his throne shall be established for ever.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 15] The rod and reproof give wisdom: but the child that is left to his own will bringeth his mother to shame.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 16] When the wicked are multiplied, crimes shall be multiplied: but the just shall see their downfall.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 17] Instruct thy son, and he shall refresh thee, and shall give delight to thy soul.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 18] When prophecy shall fail, the people shall be scattered abroad: but he that keepeth the law is blessed.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 19] A slave will not be corrected by words: because he understandeth what thou sayest, and will not answer.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 20] Hast thou seen a man hasty to speak? folly is rather to be looked for, than his amendment.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 21] He that nourisheth his servant delicately from his childhood, afterwards shall find him stubborn.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 22] A passionate man provoketh quarrels: and he that is easily stirred up to wrath, shall be more prone to sin.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 23] Humiliation followeth the proud: and glory shall uphold the humble of spirit.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 24] He that is partaker with a thief, hateth his own soul: he heareth one putting him to his oath, and discovereth not.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 25] He that feareth man, shall quickly fall: he that trusteth in the Lord, shall be set on high.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 26] Many seek the face of the prince: but the judgment of every one cometh forth from the Lord.
[DRA | EN | OT | Proverbs | Chapter 29 | Verse 27] The just abhor the wicked man: and the wicked loathe them that are in the right way. The son that keepeth the word, shall be free from destruction.
