[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 1] Therefore, since Christ suffered in His body, arm yourselves with the same resolve, because anyone who has suffered in his body is done with sin.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 2] Consequently, he does not live out his remaining time on earth for human passions, but for the will of God.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 3] For you have spent enough time in the past carrying out the same desires as the Gentiles: living in debauchery, lust, drunkenness, orgies, carousing, and detestable idolatry.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 4] Because of this, they consider it strange of you not to plunge with them into the same flood of reckless indiscretion, and they heap abuse on you.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 5] But they will have to give an account to Him who is ready to judge the living and the dead.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 6] That is why the gospel was preached even to those who are now dead, so that they might be judged as men in the flesh, but live according to God in the spirit.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 7] The end of all things is near. Therefore be clear-minded and sober, so that you can pray.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 8] Above all, love one another deeply, because love covers over a multitude of sins.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 9] Show hospitality to one another without complaining.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 10] As good stewards of the manifold grace of God, each of you should use whatever gift he has received to serve one another.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 11] If anyone speaks, he should speak as one conveying the words of God. If anyone serves, he should serve with the strength God provides, so that in all things God may be glorified through Jesus Christ, to whom be the glory and the power forever and ever. Amen.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 12] Beloved, do not be surprised at the fiery trial that has come upon you, as though something strange were happening to you.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 13] But rejoice that you share in the sufferings of Christ, so that you may be overjoyed at the revelation of His glory.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 14] If you are insulted for the name of Christ, you are blessed, because the Spirit of glory and of God rests on you.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 15] Indeed, none of you should suffer as a murderer or thief or wrongdoer, or even as a meddler.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 16] But if you suffer as a Christian, do not be ashamed, but glorify God that you bear that name.
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 17] For it is time for judgment to begin with the family of God; and if it begins with us, what will the outcome be for those who disobey the gospel of God?
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 18] And, “If it is hard for the righteous to be saved, what will become of the ungodly and the sinner?”
[BSB | EN | NT | 1 Peter | Chapter 4 | Verse 19] So then, those who suffer according to God’s will should entrust their souls to their faithful Creator and continue to do good.
