[YLT | EN | OT | Job | Chapter 10 | Verse 1] My soul hath been weary of my life, I leave off my talking to myself, I speak in the bitterness of my soul.
[YLT | EN | OT | Job | Chapter 10 | Verse 2] I say unto God, 'Do not condemn me, Let me know why Thou dost strive [with] me.
[YLT | EN | OT | Job | Chapter 10 | Verse 3] Is it good for Thee that Thou dost oppress? That Thou despisest the labour of Thy hands, And on the counsel of the wicked hast shone?
[YLT | EN | OT | Job | Chapter 10 | Verse 4] Eyes of flesh hast Thou? As man seeth — seest Thou?
[YLT | EN | OT | Job | Chapter 10 | Verse 5] As the days of man [are] Thy days? Thy years as the days of a man?
[YLT | EN | OT | Job | Chapter 10 | Verse 6] That Thou inquirest for mine iniquity, And for my sin seekest?
[YLT | EN | OT | Job | Chapter 10 | Verse 7] For Thou knowest that I am not wicked, And there is no deliverer from Thy hand.
[YLT | EN | OT | Job | Chapter 10 | Verse 8] Thy hands have taken pains about me, And they make me together round about, And Thou swallowest me up!
[YLT | EN | OT | Job | Chapter 10 | Verse 9] Remember, I pray Thee, That as clay Thou hast made me, And unto dust Thou dost bring me back.
[YLT | EN | OT | Job | Chapter 10 | Verse 10] Dost Thou not as milk pour me out? And as cheese curdle me?
[YLT | EN | OT | Job | Chapter 10 | Verse 11] Skin and flesh Thou dost put on me, And with bones and sinews dost fence me.
[YLT | EN | OT | Job | Chapter 10 | Verse 12] Life and kindness Thou hast done with me. And Thy inspection hath preserved my spirit.
[YLT | EN | OT | Job | Chapter 10 | Verse 13] And these Thou hast laid up in Thy heart, I have known that this [is] with Thee.
[YLT | EN | OT | Job | Chapter 10 | Verse 14] If I sinned, then Thou hast observed me, And from mine iniquity dost not acquit me,
[YLT | EN | OT | Job | Chapter 10 | Verse 15] If I have done wickedly — woe to me, And righteously — I lift not up my head, Full of shame — then see my affliction,
[YLT | EN | OT | Job | Chapter 10 | Verse 16] And it riseth — as a lion Thou huntest me. And Thou turnest back — Thou shewest Thyself wonderful in me.
[YLT | EN | OT | Job | Chapter 10 | Verse 17] Thou renewest Thy witnesses against me, And dost multiply Thine anger with me, Changes and warfare [are] with me.
[YLT | EN | OT | Job | Chapter 10 | Verse 18] And why from the womb Hast Thou brought me forth? I expire, and the eye doth not see me.
[YLT | EN | OT | Job | Chapter 10 | Verse 19] As I had not been, I am, From the belly to the grave I am brought,
[YLT | EN | OT | Job | Chapter 10 | Verse 20] Are not my days few? Cease then, and put from me, And I brighten up a little,
[YLT | EN | OT | Job | Chapter 10 | Verse 21] Before I go, and return not, Unto a land of darkness and death-shade,
[YLT | EN | OT | Job | Chapter 10 | Verse 22] A land of obscurity as thick darkness, Death-shade — and no order, And the shining [is] as thick darkness.'
