[YLT | EN | OT | Job | Chapter 29 | Verse 1] And Job addeth to lift up his simile, and saith: —
[YLT | EN | OT | Job | Chapter 29 | Verse 2] Who doth make me as [in] months past, As [in] the days of God's preserving me?
[YLT | EN | OT | Job | Chapter 29 | Verse 3] In His causing His lamp to shine on my head, By His light I walk [through] darkness.
[YLT | EN | OT | Job | Chapter 29 | Verse 4] As I have been in days of my maturity, And the counsel of God upon my tent.
[YLT | EN | OT | Job | Chapter 29 | Verse 5] When yet the Mighty One [is] with me. Round about me — my young ones,
[YLT | EN | OT | Job | Chapter 29 | Verse 6] When washing my goings with butter, And the firm rock [is] with me rivulets of oil.
[YLT | EN | OT | Job | Chapter 29 | Verse 7] When I go out to the gate by the city, In a broad place I prepare my seat.
[YLT | EN | OT | Job | Chapter 29 | Verse 8] Seen me have youths, and they, been hidden, And the aged have risen — they stood up.
[YLT | EN | OT | Job | Chapter 29 | Verse 9] Princes have kept in words, And a hand they place on their mouth.
[YLT | EN | OT | Job | Chapter 29 | Verse 10] The voice of leaders hath been hidden, And their tongue to the palate hath cleaved.
[YLT | EN | OT | Job | Chapter 29 | Verse 11] For the ear heard, and declareth me happy, And the eye hath seen, and testifieth [to] me.
[YLT | EN | OT | Job | Chapter 29 | Verse 12] For I deliver the afflicted who is crying, And the fatherless who hath no helper.
[YLT | EN | OT | Job | Chapter 29 | Verse 13] The blessing of the perishing cometh on me, And the heart of the widow I cause to sing.
[YLT | EN | OT | Job | Chapter 29 | Verse 14] Righteousness I have put on, and it clotheth me, As a robe and a diadem my justice.
[YLT | EN | OT | Job | Chapter 29 | Verse 15] Eyes I have been to the blind, And feet to the lame [am] I.
[YLT | EN | OT | Job | Chapter 29 | Verse 16] A father I [am] to the needy, And the cause I have not known I search out.
[YLT | EN | OT | Job | Chapter 29 | Verse 17] And I break the jaw-teeth of the perverse, And from his teeth I cast away prey.
[YLT | EN | OT | Job | Chapter 29 | Verse 18] And I say, 'With my nest I expire, And as the sand I multiply days.'
[YLT | EN | OT | Job | Chapter 29 | Verse 19] My root is open unto the waters, And dew doth lodge on my branch.
[YLT | EN | OT | Job | Chapter 29 | Verse 20] My honour [is] fresh with me, And my bow in my hand is renewed.
[YLT | EN | OT | Job | Chapter 29 | Verse 21] To me they have hearkened, Yea, they wait, and are silent for my counsel.
[YLT | EN | OT | Job | Chapter 29 | Verse 22] After my word they change not, And on them doth my speech drop,
[YLT | EN | OT | Job | Chapter 29 | Verse 23] And they wait as [for] rain for me, And their mouth they have opened wide [As] for the latter rain.
[YLT | EN | OT | Job | Chapter 29 | Verse 24] I laugh unto them — they give no credence, And the light of my face cause not to fall.
[YLT | EN | OT | Job | Chapter 29 | Verse 25] I choose their way, and sit head, And I dwell as a king in a troop, When mourners he doth comfort.
