[YLT | EN | OT | Job | Chapter 21 | Verse 1] And Job answereth and saith: —
[YLT | EN | OT | Job | Chapter 21 | Verse 2] Hear ye diligently my word, And this is your consolation.
[YLT | EN | OT | Job | Chapter 21 | Verse 3] Bear with me, and I speak, And after my speaking — ye may deride.
[YLT | EN | OT | Job | Chapter 21 | Verse 4] I — to man [is] my complaint? and if [so], wherefore May not my temper become short?
[YLT | EN | OT | Job | Chapter 21 | Verse 5] Turn unto me, and be astonished, And put hand to mouth.
[YLT | EN | OT | Job | Chapter 21 | Verse 6] Yea, if I have remembered, then I have been troubled. And my flesh hath taken fright.
[YLT | EN | OT | Job | Chapter 21 | Verse 7] Wherefore do the wicked live? They have become old, Yea, they have been mighty in wealth.
[YLT | EN | OT | Job | Chapter 21 | Verse 8] Their seed is established, Before their face with them, And their offspring before their eyes.
[YLT | EN | OT | Job | Chapter 21 | Verse 9] Their houses [are] peace without fear, Nor [is] a rod of God upon them.
[YLT | EN | OT | Job | Chapter 21 | Verse 10] His bullock hath eaten corn, and doth not loath. His cow bringeth forth safely, And doth not miscarry.
[YLT | EN | OT | Job | Chapter 21 | Verse 11] They send forth as a flock their sucklings, And their children skip,
[YLT | EN | OT | Job | Chapter 21 | Verse 12] They lift [themselves] up at timbrel and harp, And rejoice at the sound of an organ.
[YLT | EN | OT | Job | Chapter 21 | Verse 13] They wear out in good their days, And in a moment [to] Sheol go down.
[YLT | EN | OT | Job | Chapter 21 | Verse 14] And they say to God, 'Turn aside from us, And the knowledge of Thy ways We have not desired.
[YLT | EN | OT | Job | Chapter 21 | Verse 15] What [is] the Mighty One that we serve Him? And what do we profit when we meet with Him?'
[YLT | EN | OT | Job | Chapter 21 | Verse 16] Lo, not in their hand [is] their good, (The counsel of the wicked Hath been far from me.)
[YLT | EN | OT | Job | Chapter 21 | Verse 17] How oft is the lamp of the wicked extinguished, And come on them doth their calamity? Pangs He apportioneth in His anger.
[YLT | EN | OT | Job | Chapter 21 | Verse 18] They are as straw before wind, And as chaff a hurricane hath stolen away,
[YLT | EN | OT | Job | Chapter 21 | Verse 19] God layeth up for his sons his sorrow, He giveth recompense unto him — and he knoweth.
[YLT | EN | OT | Job | Chapter 21 | Verse 20] His own eyes see his destruction, And of the wrath of the Mighty he drinketh.
[YLT | EN | OT | Job | Chapter 21 | Verse 21] For what [is] his delight in his house after him, And the number of his months cut off?
[YLT | EN | OT | Job | Chapter 21 | Verse 22] To God doth [one] teach knowledge, And He the high doth judge?
[YLT | EN | OT | Job | Chapter 21 | Verse 23] This [one] dieth in his perfect strength, Wholly at ease and quiet.
[YLT | EN | OT | Job | Chapter 21 | Verse 24] His breasts have been full of milk, And marrow his bones doth moisten.
[YLT | EN | OT | Job | Chapter 21 | Verse 25] And this [one] dieth with a bitter soul, And have not eaten with gladness.
[YLT | EN | OT | Job | Chapter 21 | Verse 26] Together — on the dust they lie down, And the worm doth cover them over.
[YLT | EN | OT | Job | Chapter 21 | Verse 27] Lo, I have known your thoughts, And the devices against me ye do wrongfully.
[YLT | EN | OT | Job | Chapter 21 | Verse 28] For ye say, 'Where [is] the house of the noble? And where the tent — The tabernacles of the wicked?'
[YLT | EN | OT | Job | Chapter 21 | Verse 29] Have ye not asked those passing by the way? And their signs do ye not know?
[YLT | EN | OT | Job | Chapter 21 | Verse 30] That to a day of calamity is the wicked spared. To a day of wrath they are brought.
[YLT | EN | OT | Job | Chapter 21 | Verse 31] Who doth declare to his face his way? And [for] that which he hath done, Who doth give recompence to him?
[YLT | EN | OT | Job | Chapter 21 | Verse 32] And he — to the graves he is brought. And over the heap a watch is kept.
[YLT | EN | OT | Job | Chapter 21 | Verse 33] Sweet to him have been the clods of the valley, And after him every man he draweth, And before him there is no numbering.
[YLT | EN | OT | Job | Chapter 21 | Verse 34] And how do ye comfort me [with] vanity, And in your answers hath been left trespass?
