[YLT | EN | OT | Job | Chapter 41 | Verse 1] Dost thou draw leviathan with an angle? And with a rope thou lettest down — his tongue?
[YLT | EN | OT | Job | Chapter 41 | Verse 2] Dost thou put a reed in his nose? And with a thorn pierce his jaw?
[YLT | EN | OT | Job | Chapter 41 | Verse 3] Doth he multiply unto thee supplications? Doth he speak unto thee tender things?
[YLT | EN | OT | Job | Chapter 41 | Verse 4] Doth he make a covenant with thee? Dost thou take him for a servant age-during?
[YLT | EN | OT | Job | Chapter 41 | Verse 5] Dost thou play with him as a bird? And dost thou bind him for thy damsels?
[YLT | EN | OT | Job | Chapter 41 | Verse 6] (Feast upon him do companions, They divide him among the merchants!)
[YLT | EN | OT | Job | Chapter 41 | Verse 7] Dost thou fill with barbed irons his skin? And with fish-spears his head?
[YLT | EN | OT | Job | Chapter 41 | Verse 8] Place on him thy hand, Remember the battle — do not add!
[YLT | EN | OT | Job | Chapter 41 | Verse 9] Lo, the hope of him is found a liar, Also at his appearance is not one cast down?
[YLT | EN | OT | Job | Chapter 41 | Verse 10] None so fierce that he doth awake him, And who [is] he before Me stationeth himself?
[YLT | EN | OT | Job | Chapter 41 | Verse 11] Who hath brought before Me and I repay? Under the whole heavens it [is] mine.
[YLT | EN | OT | Job | Chapter 41 | Verse 12] I do not keep silent concerning his parts, And the matter of might, And the grace of his arrangement.
[YLT | EN | OT | Job | Chapter 41 | Verse 13] Who hath uncovered the face of his clothing? Within his double bridle who doth enter?
[YLT | EN | OT | Job | Chapter 41 | Verse 14] The doors of his face who hath opened? Round about his teeth [are] terrible.
[YLT | EN | OT | Job | Chapter 41 | Verse 15] A pride — strong ones of shields, Shut up — a close seal.
[YLT | EN | OT | Job | Chapter 41 | Verse 16] One unto another they draw nigh, And air doth not enter between them.
[YLT | EN | OT | Job | Chapter 41 | Verse 17] One unto another they adhere, They stick together and are not separated.
[YLT | EN | OT | Job | Chapter 41 | Verse 18] His sneezings cause light to shine, And his eyes [are] as the eyelids of the dawn.
[YLT | EN | OT | Job | Chapter 41 | Verse 19] Out of his mouth do flames go, sparks of fire escape.
[YLT | EN | OT | Job | Chapter 41 | Verse 20] Out of his nostrils goeth forth smoke, As a blown pot and reeds.
[YLT | EN | OT | Job | Chapter 41 | Verse 21] His breath setteth coals on fire, And a flame from his mouth goeth forth.
[YLT | EN | OT | Job | Chapter 41 | Verse 22] In his neck lodge doth strength, And before him doth grief exult.
[YLT | EN | OT | Job | Chapter 41 | Verse 23] The flakes of his flesh have adhered — Firm upon him — it is not moved.
[YLT | EN | OT | Job | Chapter 41 | Verse 24] His heart [is] firm as a stone, Yea, firm as the lower piece.
[YLT | EN | OT | Job | Chapter 41 | Verse 25] From his rising are the mighty afraid, From breakings they keep themselves free.
[YLT | EN | OT | Job | Chapter 41 | Verse 26] The sword of his overtaker standeth not, Spear — dart — and lance.
