[YLT | EN | OT | Job | Chapter 15 | Verse 1] And Eliphaz the Temanite answereth and saith: —
[YLT | EN | OT | Job | Chapter 15 | Verse 2] Doth a wise man answer [with] vain knowledge? And fill [with] an east wind his belly?
[YLT | EN | OT | Job | Chapter 15 | Verse 3] To reason with a word not useful? And speeches — no profit in them?
[YLT | EN | OT | Job | Chapter 15 | Verse 4] Yea, thou dost make reverence void, And dost diminish meditation before God.
[YLT | EN | OT | Job | Chapter 15 | Verse 5] For thy mouth teacheth thine iniquity, And thou chooseth the tongue of the subtile.
[YLT | EN | OT | Job | Chapter 15 | Verse 6] Thy mouth declareth thee wicked, and not I, And thy lips testify against thee.
[YLT | EN | OT | Job | Chapter 15 | Verse 7] The first man art thou born? And before the heights wast thou formed?
[YLT | EN | OT | Job | Chapter 15 | Verse 8] Of the secret counsel of God dost thou hear? And withdrawest thou unto thee wisdom?
[YLT | EN | OT | Job | Chapter 15 | Verse 9] What hast thou known, and we know not? Understandest thou — and it is not with us?
[YLT | EN | OT | Job | Chapter 15 | Verse 10] Both the gray-headed And the very aged [are] among us — Greater than thy father [in] days.
[YLT | EN | OT | Job | Chapter 15 | Verse 11] Too few for thee are the comforts of God? And a gentle word [is] with thee,
[YLT | EN | OT | Job | Chapter 15 | Verse 12] What — doth thine heart take thee away? And what — are thine eyes high?
[YLT | EN | OT | Job | Chapter 15 | Verse 13] For thou turnest against God thy spirit? And hast brought out words from thy mouth:
[YLT | EN | OT | Job | Chapter 15 | Verse 14] What [is] man that he is pure, And that he is righteous, one born of woman?
[YLT | EN | OT | Job | Chapter 15 | Verse 15] Lo, in His holy ones He putteth no credence, And the heavens have not been pure in His eyes.
[YLT | EN | OT | Job | Chapter 15 | Verse 16] Also — surely abominable and filthy Is man drinking as water perverseness.
[YLT | EN | OT | Job | Chapter 15 | Verse 17] I shew thee — hearken to me — And this I have seen and declare:
[YLT | EN | OT | Job | Chapter 15 | Verse 18] Which the wise declare — And have not hid — from their fathers.
[YLT | EN | OT | Job | Chapter 15 | Verse 19] To them alone was the land given, And a stranger passed not over into their midst:
[YLT | EN | OT | Job | Chapter 15 | Verse 20] 'All days of the wicked he is paining himself, And few years have been laid up for the terrible one.
[YLT | EN | OT | Job | Chapter 15 | Verse 21] A fearful voice [is] in his ears, In peace doth a destroyer come to him.
[YLT | EN | OT | Job | Chapter 15 | Verse 22] He believeth not to return from darkness, And watched [is] he for the sword.
[YLT | EN | OT | Job | Chapter 15 | Verse 23] He is wandering for bread — 'Where [is] it?' He hath known that ready at his hand Is a day of darkness.
[YLT | EN | OT | Job | Chapter 15 | Verse 24] Terrify him do adversity and distress, They prevail over him As a king ready for a boaster.
[YLT | EN | OT | Job | Chapter 15 | Verse 25] For he stretched out against God his hand, And against the Mighty he maketh himself mighty.
[YLT | EN | OT | Job | Chapter 15 | Verse 26] He runneth unto Him with a neck, With thick bosses of his shields.
[YLT | EN | OT | Job | Chapter 15 | Verse 27] For he hath covered his face with his fat, And maketh vigour over [his] confidence.
[YLT | EN | OT | Job | Chapter 15 | Verse 28] And he inhabiteth cities cut off, houses not dwelt in, That have been ready to become heaps.
[YLT | EN | OT | Job | Chapter 15 | Verse 29] He is not rich, nor doth his wealth rise, Nor doth he stretch out on earth their continuance.
[YLT | EN | OT | Job | Chapter 15 | Verse 30] He turneth not aside from darkness, His tender branch doth a flame dry up, And he turneth aside at the breath of His mouth!
[YLT | EN | OT | Job | Chapter 15 | Verse 31] Let him not put credence in vanity, He hath been deceived, For vanity is his recompence.
[YLT | EN | OT | Job | Chapter 15 | Verse 32] Not in his day is it completed, And his bending branch is not green.
[YLT | EN | OT | Job | Chapter 15 | Verse 33] He shaketh off as a vine his unripe fruit, And casteth off as an olive his blossom.
[YLT | EN | OT | Job | Chapter 15 | Verse 34] For the company of the profane [is] gloomy, And fire hath consumed tents of bribery.
[YLT | EN | OT | Job | Chapter 15 | Verse 35] To conceive misery, and to bear iniquity, Even their heart doth prepare deceit.
