[YLT | EN | OT | Job | Chapter 39 | Verse 1] Hast thou known the time of The bearing of the wild goats of the rock? The bringing forth of hinds thou dost mark!
[YLT | EN | OT | Job | Chapter 39 | Verse 2] Thou dost number the months they fulfil? And thou hast known the time of their bringing forth!
[YLT | EN | OT | Job | Chapter 39 | Verse 3] They bow down, Their young ones they bring forth safely, Their pangs they cast forth.
[YLT | EN | OT | Job | Chapter 39 | Verse 4] Safe are their young ones, They grow up in the field, they have gone out, And have not returned to them.
[YLT | EN | OT | Job | Chapter 39 | Verse 5] Who hath sent forth the wild ass free? Yea, the bands of the wild ass who opened?
[YLT | EN | OT | Job | Chapter 39 | Verse 6] Whose house I have made the wilderness, And his dwellings the barren land,
[YLT | EN | OT | Job | Chapter 39 | Verse 7] He doth laugh at the multitude of a city, The cries of an exactor he heareth not.
[YLT | EN | OT | Job | Chapter 39 | Verse 8] The range of mountains [is] his pasture, And after every green thing he seeketh.
[YLT | EN | OT | Job | Chapter 39 | Verse 9] Is a Reem willing to serve thee? Doth he lodge by thy crib?
[YLT | EN | OT | Job | Chapter 39 | Verse 10] Dost thou bind a Reem in a furrow [with] his thick band? Doth he harrow valleys after thee?
[YLT | EN | OT | Job | Chapter 39 | Verse 11] Dost thou trust in him because great [is] his power? And dost thou leave unto him thy labour?
[YLT | EN | OT | Job | Chapter 39 | Verse 12] Dost thou trust in him That he doth bring back thy seed? And [to] thy threshing-floor doth gather [it]?
[YLT | EN | OT | Job | Chapter 39 | Verse 13] The wing of the rattling ones exulteth, Whether the pinion of the ostrich or hawk.
[YLT | EN | OT | Job | Chapter 39 | Verse 14] For she leaveth on the earth her eggs, And on the dust she doth warm them,
[YLT | EN | OT | Job | Chapter 39 | Verse 15] And she forgetteth that a foot may press it, And a beast of the field tread it down.
[YLT | EN | OT | Job | Chapter 39 | Verse 16] Her young ones it hath hardened without her, In vain [is] her labour without fear.
[YLT | EN | OT | Job | Chapter 39 | Verse 17] For God hath caused her to forget wisdom, And He hath not given a portion To her in understanding:
[YLT | EN | OT | Job | Chapter 39 | Verse 18] At the time on high she lifteth herself up, She laugheth at the horse and at his rider.
[YLT | EN | OT | Job | Chapter 39 | Verse 19] Dost thou give to the horse might? Dost thou clothe his neck [with] a mane?
[YLT | EN | OT | Job | Chapter 39 | Verse 20] Dost thou cause him to rush as a locust? The majesty of his snorting [is] terrible.
[YLT | EN | OT | Job | Chapter 39 | Verse 21] They dig in a valley, and he rejoiceth in power, He goeth forth to meet the armour.
[YLT | EN | OT | Job | Chapter 39 | Verse 22] He laugheth at fear, and is not affrighted, And he turneth not back from the face of the sword.
[YLT | EN | OT | Job | Chapter 39 | Verse 23] Against him rattle doth quiver, The flame of a spear, and a halbert.
[YLT | EN | OT | Job | Chapter 39 | Verse 24] With trembling and rage he swalloweth the ground, And remaineth not stedfast Because of the sound of a trumpet.
[YLT | EN | OT | Job | Chapter 39 | Verse 25] Among the trumpets he saith, Aha, And from afar he doth smell battle, Roaring of princes and shouting.
[YLT | EN | OT | Job | Chapter 39 | Verse 26] By thine understanding flieth a hawk? Spreadeth he his wings to the south?
[YLT | EN | OT | Job | Chapter 39 | Verse 27] At thy command goeth an eagle up high? Or lifteth he up his nest?
[YLT | EN | OT | Job | Chapter 39 | Verse 28] A rock he doth inhabit, Yea, he lodgeth on the tooth of a rock, and fortress.
[YLT | EN | OT | Job | Chapter 39 | Verse 29] From thence he hath sought food, To a far off place his eyes look attentively,
[YLT | EN | OT | Job | Chapter 39 | Verse 30] And his brood gulp up blood, And where the pierced [are] — there [is] he!
