[YLT | EN | OT | Job | Chapter 11 | Verse 1] And Zophar the Naamathite answereth and saith: —
[YLT | EN | OT | Job | Chapter 11 | Verse 2] Is a multitude of words not answered? And is a man of lips justified?
[YLT | EN | OT | Job | Chapter 11 | Verse 3] Thy devices make men keep silent, Thou scornest, and none is causing blushing!
[YLT | EN | OT | Job | Chapter 11 | Verse 4] And thou sayest, 'Pure [is] my discourse, And clean I have been in Thine eyes.'
[YLT | EN | OT | Job | Chapter 11 | Verse 5] And yet, O that God had spoken! And doth open His lips with thee.
[YLT | EN | OT | Job | Chapter 11 | Verse 6] And declare to thee secrets of wisdom, For counsel hath foldings. And know thou that God forgetteth for thee, [Some] of thine iniquity.
[YLT | EN | OT | Job | Chapter 11 | Verse 7] By searching dost thou find out God? Unto perfection find out the Mighty One?
[YLT | EN | OT | Job | Chapter 11 | Verse 8] Heights of the heavens! — what dost thou? Deeper than Sheol! — what knowest thou?
[YLT | EN | OT | Job | Chapter 11 | Verse 9] Longer than earth [is] its measure, And broader than the sea.
[YLT | EN | OT | Job | Chapter 11 | Verse 10] If He pass on, and shut up, and assemble, Who then dost reverse it?
[YLT | EN | OT | Job | Chapter 11 | Verse 11] For he hath known men of vanity, And He seeth iniquity, And one doth not consider [it]!
[YLT | EN | OT | Job | Chapter 11 | Verse 12] And empty man is bold, And the colt of a wild ass man is born.
[YLT | EN | OT | Job | Chapter 11 | Verse 13] If thou — thou hast prepared thy heart, And hast spread out unto Him thy hands,
[YLT | EN | OT | Job | Chapter 11 | Verse 14] If iniquity [is] in thy hand, put it far off, And let not perverseness dwell in thy tents.
[YLT | EN | OT | Job | Chapter 11 | Verse 15] For then thou liftest up thy face from blemish, And thou hast been firm, and fearest not.
[YLT | EN | OT | Job | Chapter 11 | Verse 16] For thou dost forget misery, As waters passed away thou rememberest.
[YLT | EN | OT | Job | Chapter 11 | Verse 17] And above the noon doth age rise, Thou fliest — as the morning thou art.
[YLT | EN | OT | Job | Chapter 11 | Verse 18] And thou hast trusted because their is hope, And searched — in confidence thou liest down,
[YLT | EN | OT | Job | Chapter 11 | Verse 19] And thou hast rested, And none is causing trembling, And many have entreated thy face;
[YLT | EN | OT | Job | Chapter 11 | Verse 20] And the eyes of the wicked are consumed, And refuge hath perished from them, And their hope [is] a breathing out of soul!
