[YLT | EN | OT | Job | Chapter 24 | Verse 1] Wherefore from the Mighty One Times have not been hidden, And those knowing Him have not seen His days.
[YLT | EN | OT | Job | Chapter 24 | Verse 2] The borders they reach, A drove they have taken violently away, Yea, they do evil.
[YLT | EN | OT | Job | Chapter 24 | Verse 3] The ass of the fatherless they lead away, They take in pledge the ox of the widow,
[YLT | EN | OT | Job | Chapter 24 | Verse 4] They turn aside the needy from the way, Together have hid the poor of the earth.
[YLT | EN | OT | Job | Chapter 24 | Verse 5] Lo, wild asses in a wilderness, They have gone out about their work, Seeking early for prey, A mixture for himself — food for young ones.
[YLT | EN | OT | Job | Chapter 24 | Verse 6] In a field his provender they reap, And the vineyard of the wicked they glean.
[YLT | EN | OT | Job | Chapter 24 | Verse 7] The naked they cause to lodge Without clothing. And there is no covering in the cold.
[YLT | EN | OT | Job | Chapter 24 | Verse 8] From the inundation of hills they are wet, And without a refuge — have embraced a rock.
[YLT | EN | OT | Job | Chapter 24 | Verse 9] They take violently away From the breast the orphan, And on the poor they lay a pledge.
[YLT | EN | OT | Job | Chapter 24 | Verse 10] Naked, they have gone without clothing, And hungry — have taken away a sheaf.
[YLT | EN | OT | Job | Chapter 24 | Verse 11] Between their walls they make oil, Wine-presses they have trodden, and thirst.
[YLT | EN | OT | Job | Chapter 24 | Verse 12] Because of enmity men do groan, And the soul of pierced ones doth cry, And God doth not give praise.
[YLT | EN | OT | Job | Chapter 24 | Verse 13] They have been among rebellious ones of light, They have not discerned His ways, Nor abode in His paths.
[YLT | EN | OT | Job | Chapter 24 | Verse 14] At the light doth the murderer rise, He doth slay the poor and needy, And in the night he is as a thief.
[YLT | EN | OT | Job | Chapter 24 | Verse 15] And the eye of an adulterer Hath observed the twilight, Saying, 'No eye doth behold me.' And he putteth the face in secret.
[YLT | EN | OT | Job | Chapter 24 | Verse 16] He hath dug in the darkness — houses; By day they shut themselves up, They have not known light.
[YLT | EN | OT | Job | Chapter 24 | Verse 17] When together, morning [is] to them death shade, When he discerneth the terrors of death shade.
[YLT | EN | OT | Job | Chapter 24 | Verse 18] Light he [is] on the face of the waters, Vilified is their portion in the earth, He turneth not the way of vineyards.
[YLT | EN | OT | Job | Chapter 24 | Verse 19] Drought — also heat — consume snow-waters, Sheol [those who] have sinned.
[YLT | EN | OT | Job | Chapter 24 | Verse 20] Forget him doth the womb, Sweeten [on] him doth the worm, No more is he remembered, And broken as a tree is wickedness.
[YLT | EN | OT | Job | Chapter 24 | Verse 21] Treating evil the barren [who] beareth not, And [to] the widow he doth no good,
[YLT | EN | OT | Job | Chapter 24 | Verse 22] And hath drawn the mighty by his power, He riseth, and none believeth in life.
[YLT | EN | OT | Job | Chapter 24 | Verse 23] He giveth to him confidence, and he is supported, And his eyes [are] on their ways.
[YLT | EN | OT | Job | Chapter 24 | Verse 24] High they were [for] a little, and they are not, And they have been brought low. As all [others] they are shut up, And as the head of an ear of corn cut off.
[YLT | EN | OT | Job | Chapter 24 | Verse 25] And if not now, who doth prove me a liar, And doth make of nothing my word?
