[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 1] Now these are the priests and the Levites that went up with Zerubbabel the son of Shealtiel, and Jeshua: Seraiah, Jeremiah, Ezra,
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 2] Amariah, Malluch, Hattush,
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 3] Shechaniah, Rehum, Meremoth,
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 4] Iddo, Ginnetho, Abijah,
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 5] Miamin, Maadiah, Bilgah,
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 6] Shemaiah, and Joiarib, Jedaiah,
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 7] Sallu, Amok, Hilkiah, Jedaiah. These were the chief of the priests and of their brethren in the days of Jeshua.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 8] Moreover the Levites: Jeshua, Binnui, Kadmiel, Sherebiah, Judah, and Mattaniah, which was over the thanksgiving, he and his brethren.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 9] Also Bakbukiah and Unni, their brethren, were over against them in the watches.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 10] And Jeshua begat Joiakim, Joiakim also begat Eliashib, and Eliashib begat Joiada,
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 11] and Joiada begat Jonathan, and Jonathan begat Jaddua.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 12] And in the days of Joiakim were priests, the chief of the fathers: of Seraiah, Meraiah; of Jeremiah, Hananiah;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 13] of Ezra, Meshullam; of Amariah, Jehohanan;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 14] of Melicu, Jonathan; of Shebaniah, Joseph;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 15] of Harim, Adna; of Meraioth, Helkai;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 16] of Iddo, Zechariah; of Ginnethon, Meshullam;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 17] of Abijah, Zichri; of Miniamin, of Moadiah, Piltai;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 18] of Bilgah, Shammua; of Shemaiah, Jehonathan;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 19] and of Joiarib, Mattenai; of Jedaiah, Uzzi;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 20] of Sallai, Kallai; of Amok, Eber;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 21] of Hilkiah, Hashabiah; of Jedaiah, Nethaneel.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 22] The Levites in the days of Eliashib, Joiada, and Johanan, and Jaddua, were recorded chief of the fathers: also the priests, to the reign of Darius the Persian.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 23] The sons of Levi, the chief of the fathers, were written in the book of the chronicles, even until the days of Johanan the son of Eliashib.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 24] And the chief of the Levites: Hashabiah, Sherebiah, and Jeshua the son of Kadmiel, with their brethren over against them, to praise and to give thanks, according to the commandment of David the man of God, ward over against ward;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 25] Mattaniah, and Bakbukiah, Obadiah, Meshullam, Talmon, Akkub, were porters keeping the ward at the thresholds of the gates.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 26] These were in the days of Joiakim the son of Jeshua, the son of Jozadak, and in the days of Nehemiah the governor, and of Ezra the priest, the scribe.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 27] And at the dedication of the wall of Jerusalem they sought the Levites out of all their places, to bring them to Jerusalem, to keep the dedication with gladness, both with thanksgivings, and with singing, with cymbals, psalteries, and with harps.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 28] And the sons of the singers gathered themselves together, both out of the plain country round about Jerusalem, and from the villages of Netophathi;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 29] also from the house of Gilgal, and out of the fields of Geba and Azmaveth: for the singers had builded them villages round about Jerusalem.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 30] And the priests and the Levites purified themselves, and purified the people, and the gates, and the wall.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 31] Then I brought up the princes of Judah upon the wall, and appointed two great companies of them that gave thanks, whereof one went on the right hand upon the wall toward the dung gate:
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 32] and after them went Hoshaiah, and half of the princes of Judah,
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 33] and Azariah, Ezra, and Meshullam,
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 34] Judah, and Benjamin, and Shemaiah, and Jeremiah,
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 35] and certain of the priests’ sons with trumpets; namely, Zechariah the son of Jonathan, the son of Shemaiah, the son of Mattaniah, the son of Michaiah, the son of Zaccur, the son of Asaph:
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 36] and his brethren, Shemaiah, and Azarael, Milalai, Gilalai, Maai, Nethaneel, and Judah, Hanani, with the musical instruments of David the man of God, and Ezra the scribe before them.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 37] And at the fountain gate, which was over against them, they went up by the stairs of the city of David, at the going up of the wall, above the house of David, even unto the water gate eastward.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 38] And the other company of them that gave thanks went over against them, and I after them, and the half of the people upon the wall, from beyond the tower of the furnaces even unto the broad wall;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 39] and from above the gate of Ephraim, and above the old gate, and above the fish gate, and the tower of Hananeel, and the tower of Meah, even unto the sheep gate: and they stood still in the prison gate.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 40] So stood the two companies of them that gave thanks in the house of God, and I, and the half of the rulers with me:
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 41] and the priests; Eliakim, Maaseiah, Miniamin, Michaiah, Elioenai, Zechariah, and Hananiah, with trumpets;
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 42] and Maaseiah, and Shemaiah, and Eleazar, and Uzzi, and Jehohanan, and Malchijah, and Elam, and Ezer. And the singers sang loud, with Jezrahiah their overseer.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 43] Also that day they offered great sacrifices, and rejoiced: for God had made them rejoice with great joy: the wives also and the children rejoiced: so that the joy of Jerusalem was heard even afar off.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 44] And at that time were some appointed over the chambers for the treasures, for the offerings, for the firstfruits, and for the tithes, to gather into them out of the fields of the cities the portions of the law for the priests and Levites: for Judah rejoiced for the priests and for the Levites that waited.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 45] And both the singers and the porters kept the ward of their God, and the ward of the purification, according to the commandment of David, and of Solomon his son.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 46] For in the days of David and Asaph of old there were chief of the singers, and songs of praise and thanksgiving unto God.
[KJV | EN | OT | Nehemiah | Chapter 12 | Verse 47] And all Israel in the days of Zerubbabel, and in the days of Nehemiah, gave the portions of the singers and the porters, every day his portion: and they sanctified holy things unto the Levites; and the Levites sanctified them unto the children of Aaron.
