[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 1] But it came to pass, that when Sanballat heard that we builded the wall, he was wroth, and took great indignation, and mocked the Jews.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 2] And he spake before his brethren and the army of Samaria, and said, What do these feeble Jews? will they fortify themselves? will they sacrifice? will they make an end in a day? will they revive the stones out of the heaps of the rubbish which are burnt?
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 3] Now Tobiah the Ammonite was by him, and he said, Even that which they build, if a fox go up, he shall even break down their stone wall.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 4] Hear, O our God; for we are despised: and turn their reproach upon their own head, and give them for a prey in the land of captivity:
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 5] and cover not their iniquity, and let not their sin be blotted out from before thee: for they have provoked thee to anger before the builders.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 6] So built we the wall; and all the wall was joined together unto the half thereof: for the people had a mind to work.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 7] But it came to pass, that when Sanballat, and Tobiah, and the Arabians, and the Ammonites, and the Ashdodites, heard that the walls of Jerusalem were made up, and that the breaches began to be stopped, then they were very wroth,
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 8] and conspired all of them together to come and to fight against Jerusalem, and to hinder it.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 9] Nevertheless we made our prayer unto our God, and set a watch against them day and night, because of them.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 10] And Judah said, The strength of the bearers of burdens is decayed, and there is much rubbish; so that we are not able to build the wall.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 11] And our adversaries said, They shall not know, neither see, till we come in the midst among them, and slay them, and cause the work to cease.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 12] And it came to pass, that when the Jews which dwelt by them came, they said unto us ten times, From all places whence ye shall return unto us they will be upon you.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 13] Therefore set I in the lower places behind the wall, and on the higher places, I even set the people after their families with their swords, their spears, and their bows.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 14] And I looked, and rose up, and said unto the nobles, and to the rulers, and to the rest of the people, Be not ye afraid of them: remember the Lord, which is great and terrible, and fight for your brethren, your sons, and your daughters, your wives, and your houses.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 15] And it came to pass, when our enemies heard that it was known unto us, and God had brought their counsel to nought, that we returned all of us to the wall, every one unto his work.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 16] And it came to pass from that time forth, that the half of my servants wrought in the work, and the other half of them held both the spears, the shields, and the bows, and the habergeons; and the rulers were behind all the house of Judah.
[KJV | EN | OT | Nehemiah | Chapter 4 | Verse 17] They which builded on the wall, and they that bare burdens, with those that laded, every one with one of his hands wrought in the work, and with the other hand held a weapon.
