[GNV | EN | NT | James | Chapter 1 | Verse 1] Iames a seruant of God, and of the Lord Iesus Christ, to the twelue Tribes, which are scattered abroade, salutation.
[GNV | EN | NT | James | Chapter 1 | Verse 2] My brethren, count it exceeding ioy, when ye fall into diuers tentations,
[GNV | EN | NT | James | Chapter 1 | Verse 3] Knowing that ye trying of your faith bringeth forth patience,
[GNV | EN | NT | James | Chapter 1 | Verse 4] And let patience haue her perfect worke, that ye may be perfect and entier, lacking nothing.
[GNV | EN | NT | James | Chapter 1 | Verse 5] If any of you lacke wisedome, let him aske of God, which giueth to all men liberally, and reprocheth no man, and it shalbe giuen him.
[GNV | EN | NT | James | Chapter 1 | Verse 6] But let him aske in faith, and wauer not: for hee that wauereth, is like a waue of the sea, tost of the winde, and caried away.
[GNV | EN | NT | James | Chapter 1 | Verse 7] Neither let that man thinke that hee shall receiue any thing of the Lord.
[GNV | EN | NT | James | Chapter 1 | Verse 8] A double minded man is vnstable in all his waies.
[GNV | EN | NT | James | Chapter 1 | Verse 9] Let the brother of lowe degree reioyce in that he is exalted:
[GNV | EN | NT | James | Chapter 1 | Verse 10] Againe hee that is rich, in that hee is made lowe: for as the flower of the grasse, shall he vanish away.
[GNV | EN | NT | James | Chapter 1 | Verse 11] For as when the sunne riseth with heate, then the grasse withereth, and his flower falleth away, and the goodly shape of it perisheth: euen so shall the rich man wither away in all his waies.
[GNV | EN | NT | James | Chapter 1 | Verse 12] Blessed is ye man, that endureth tentation: for when he is tried, hee shall receiue the crowne of life, which the Lord hath promised to them that loue him.
[GNV | EN | NT | James | Chapter 1 | Verse 13] Let no man say when hee is tempted, I am tempted of God: for God can not bee tempted with euill, neither tempteth he any man.
[GNV | EN | NT | James | Chapter 1 | Verse 14] But euery man is tempted, when hee is drawen away by his owne concupiscence, and is entised.
[GNV | EN | NT | James | Chapter 1 | Verse 15] Then when lust hath conceiued, it bringeth foorth sinne, and sinne when it is finished, bringeth foorth death.
[GNV | EN | NT | James | Chapter 1 | Verse 16] Erre not, my deare brethren.
[GNV | EN | NT | James | Chapter 1 | Verse 17] Euery good giuing, and euery perfect gift is from aboue, and commeth downe from the Father of lights, with whome is no variablenes, neither shadow of turning.
[GNV | EN | NT | James | Chapter 1 | Verse 18] Of his owne will begate hee vs with the woorde of trueth, that we shoulde be as the first fruites of his creatures.
[GNV | EN | NT | James | Chapter 1 | Verse 19] Wherefore my deare brethren, let euery man be swift to heare, slowe to speake, and slowe to wrath.
[GNV | EN | NT | James | Chapter 1 | Verse 20] For the wrath of man doeth not accomplish the righteousnesse of God.
[GNV | EN | NT | James | Chapter 1 | Verse 21] Wherefore lay apart all filthinesse, and superfluitie of maliciousnesse, and receiue with meekenes the word that is graffed in you, which is able to saue your soules.
[GNV | EN | NT | James | Chapter 1 | Verse 22] And be ye doers of the word, and not hearers onely, deceiuing your owne selues.
[GNV | EN | NT | James | Chapter 1 | Verse 23] For if any heare the woorde, and doe it not, he is like vnto a man, that beholdeth his naturall face in a glasse.
[GNV | EN | NT | James | Chapter 1 | Verse 24] For when he hath considered himselfe, hee goeth his way, and forgetteth immediately what maner of one he was.
[GNV | EN | NT | James | Chapter 1 | Verse 25] But who so looketh in the perfect Lawe of libertie, and continueth therein, hee not being a forgetful hearer, but a doer of the woorke, shalbe blessed in his deede.
[GNV | EN | NT | James | Chapter 1 | Verse 26] If any man amog you seeme religious, and refraineth not his tongue, but deceiueth his owne heart, this mans religion is vaine.
[GNV | EN | NT | James | Chapter 1 | Verse 27] Pure religion and vndefiled before God, euen the Father, is this, to visite the fatherlesse, and widdowes in their aduersitie, and to keepe himselfe vnspotted of the world.
