[GNV | EN | NT | James | Chapter 5 | Verse 1] Goe to nowe, ye rich men: weepe, and howle for your miseries that shall come vpon you.
[GNV | EN | NT | James | Chapter 5 | Verse 2] Your riches are corrupt, and your garments are moth eaten.
[GNV | EN | NT | James | Chapter 5 | Verse 3] Your gold and siluer is cankred, and the rust of them shalbe a witnesse against you, and shall eate your flesh, as it were fire. Ye haue heaped vp treasure for the last dayes.
[GNV | EN | NT | James | Chapter 5 | Verse 4] Behold, the hire of ye labourers, which haue reaped your fieldes (which is of you kept backe by fraude) cryeth, and the cryes of them which haue reaped, are entred into the eares of the Lord of hostes.
[GNV | EN | NT | James | Chapter 5 | Verse 5] Ye haue liued in pleasure on the earth, and in wantonnes. Ye haue nourished your heartes, as in a day of slaughter.
[GNV | EN | NT | James | Chapter 5 | Verse 6] Ye haue condemned and haue killed the iust, and he hath not resisted you.
[GNV | EN | NT | James | Chapter 5 | Verse 7] Be patient therefore, brethren, vnto the comming of the Lord. Behold, the husbandman wayteth for the precious fruite of the earth, and hath long patience for it, vntill he receiue the former, and the latter rayne.
[GNV | EN | NT | James | Chapter 5 | Verse 8] Be ye also patient therefore and settle your hearts: for ye comming of the Lord draweth neere.
[GNV | EN | NT | James | Chapter 5 | Verse 9] Grudge not one against another, brethren, least ye be condemned: behold, the iudge standeth before the doore.
[GNV | EN | NT | James | Chapter 5 | Verse 10] Take, my brethren, the Prophets for an ensample of suffering aduersitie, and of long patience, which haue spoken in the Name of the Lord.
[GNV | EN | NT | James | Chapter 5 | Verse 11] Beholde, we count them blessed which endure. Ye haue heard of the patience of Iob, and haue knowen what ende the Lord made. For the Lord is very pitifull and mercifull.
[GNV | EN | NT | James | Chapter 5 | Verse 12] But before all thinges, my brethren, sweare not, neither by heauen, nor by earth, nor by any other othe: but let your yea, be yea, and your nay, nay, lest ye fall into condemnation.
[GNV | EN | NT | James | Chapter 5 | Verse 13] Is any among you afflicted? Let him pray. Is any merie? Let him sing.
[GNV | EN | NT | James | Chapter 5 | Verse 14] Is any sicke among you? Let him call for the Elders of the Church, and let them pray for him, and anoynt him with oyle in the Name of the Lord.
[GNV | EN | NT | James | Chapter 5 | Verse 15] And the prayer of faith shall saue the sicke, and the Lord shall raise him vp: and if he haue committed sinnes, they shalbe forgiuen him.
[GNV | EN | NT | James | Chapter 5 | Verse 16] Acknowledge your faultes one to another, and pray one for another, that ye may be healed: for the prayer of a righteous man auaileth much, if it be feruent.
[GNV | EN | NT | James | Chapter 5 | Verse 17] Helias was a man subiect to like passions as we are, and he prayed earnestly that it might not rayne, and it rayned not on the earth for three yeeres and sixe moneths.
[GNV | EN | NT | James | Chapter 5 | Verse 18] And he prayed againe, and the heauen gaue rayne, and the earth brought forth her fruite.
[GNV | EN | NT | James | Chapter 5 | Verse 19] Brethren, if any of you hath erred from the trueth, and some man hath conuerted him,
[GNV | EN | NT | James | Chapter 5 | Verse 20] Let him know that he which hath conuerted the sinner from going astray out of his way, shall saue a soule from death, and shall hide a multitude of sinnes.
