[IRV | GU | OT | Proverbs | Chapter 19 | Verse 1] અવળું બોલનારા મૂર્ખ શ્રીમંત કરતાં પ્રામાણિકપણાથી વર્તનાર ગરીબ વ્યક્તિ સારી છે.
[IRV | GU | OT | Proverbs | Chapter 19 | Verse 2] વળી ડહાપણ વગરની આકાંક્ષા સારી નથી અને ઉતાવળાં પગલાં ભરનાર પાપમાં પડે છે.
[IRV | GU | OT | Proverbs | Chapter 19 | Verse 3] વ્યક્તિ પોતાની મૂર્ખાઈથી પાયમાલ થાય છે અને તેનું હૃદય યહોવાહ વિરુદ્ધ ચિડાય છે.
[IRV | GU | OT | Proverbs | Chapter 19 | Verse 4] સંપત્તિ ઘણા મિત્રો વધારે છે, પણ ગરીબ વ્યક્તિના મિત્રો તેને છોડી જાય છે.
[IRV | GU | OT | Proverbs | Chapter 19 | Verse 5] જૂઠો સાક્ષી સજા પામ્યા વગર રહેશે નહિ. અને શ્વાસે શ્વાસે જૂઠું બોલનાર માણસ સજાથી બચી જશે નહિ.
[IRV | GU | OT | Proverbs | Chapter 19 | Verse 6] ઉદાર માણસની મહેરબાની માટે ઘણા માણસો ખુશામત કરે છે અને દરેક માણસ દાતારનો મિત્ર થવા ચાહે છે.
[IRV | GU | OT | Proverbs | Chapter 19 | Verse 7] દરિદ્રીના સર્વ ભાઈઓ તેનો ધિક્કાર કરે છે, તેના મિત્રો વિશેષે કરીને તેનાથી કેટલે બધે દૂર જાય છે! તે તેઓને બોલાવે છે, પણ તેઓ ચાલ્યા ગયા છે.
[IRV | GU | OT | Proverbs | Chapter 19 | Verse 8] જે ડહાપણ મેળવે છે તે પોતાના આત્માને જ ચાહે છે. જે વિવેક જાળવે છે તે સારી વસ્તુને મેળવે છે.
[IRV | GU | OT | Proverbs | Chapter 19 | Verse 9] જૂઠો સાક્ષી શિક્ષા પામ્યા વગર રહેશે નહિ, પણ જે શ્વાસે શ્વાસે જૂઠું બોલે છે તે અવશ્ય નાશ પામશે.
[IRV | GU | OT | Proverbs | Chapter 19 | Verse 10] મૂર્ખને માટે મોજશોખ ભોગવવો શોભાસ્પદ નથી ગુલામોને રાજકુમારો પર સત્તા ચલાવે તે કેટલું બધું અઘટિત છે.
[IRV | GU | OT | Proverbs | Chapter 19 | Verse 11] માણસની વિવેકબુદ્ધિ તેના ક્રોધને શાંત કરે છે અને અપરાધની ક્ષમા આપવી એ તેનો મહિમા છે.
[IRV | GU | OT | Proverbs | Chapter 19 | Verse 12] રાજાનો ક્રોધ સિંહની ગર્જના જેવો છે, પણ તેની કૃપા ઘાસ પરના ઝાકળ જેવી છે.
