[IRV | GU | OT | Proverbs | Chapter 5 | Verse 1] મારા દીકરા, મારા ડહાપણ તરફ લક્ષ આપ; મારી બુદ્ધિ તરફ તારા કાન ધર
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 2] જેથી તારી વિવેકબુદ્ધિ જળવાઈ રહે, અને તારા હોઠ વિદ્યા સંઘરી રાખે.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 3] કારણ કે વ્યભિચારી સ્ત્રીના હોઠોમાંથી મધ ટપકે છે. અને તેનું મુખ તેલ કરતાં સુંવાળુ છે.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 4] પણ તેનો અંત વિષ જેવો કડવો, બેધારી તલવાર જેવો તીક્ષ્ણ હોય છે.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 5] તેના પગ મૃત્યુ સુધી નીચે પહોંચે છે; તેના પગલાં શેઓલમાં પહોંચે છે.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 6] તેથી તેને સાચો જીવન માર્ગ મળતો નથી. તે પોતાના માર્ગેથી ભટકી જાય છે; અને તેને ખબર નથી કે તે ક્યાં જાય છે.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 7] હવે મારા દીકરાઓ, મારી વાત સાંભળો; અને મારા મુખના શબ્દોથી દૂર જશો નહિ.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 8] તમારા માર્ગો તેનાથી દૂર રાખો અને તેના ઘરના બારણા પાસે પણ જશો નહિ.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 9] રખેને તું તારી આબરુ બીજાઓને અને તારા જીવનનાં વર્ષો ઘાતકી માણસોને સ્વાધીન કરે;
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 10] રખેને તારા બળથી પારકા તૃપ્ત થાય, અને તારી મહેનતનું ફળ પારકાના કુટુંબને મળે.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 11] રખેને તારું માંસ અને તારું શરીર ક્ષીણ થાય અને તું અંત સમયે વિલાપ કરે.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 12] તું કહીશ કે, “મેં કેવી રીતે શિખામણનો ધિક્કાર કર્યો છે અને મારા હૃદયે ઠપકાને તુચ્છ ગણ્યો છે!
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 13] હું મારા શિક્ષકોને આધીન થયો નહિ અને મેં મને શિક્ષણ આપનારાઓને સાંભળ્યા નહિ.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 14] મંડળ અને સંમેલનોમાં હું સંપૂર્ણપણે પાપમય થઈ ગયો હતો.”
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 15] તારે તારા પોતાના જ ટાંકામાંથી પાણી પીવું, અને તું તારા પોતાના જ કૂવાના ઝરણામાંથી પાણી પીજે.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 16] શું તારા ઝરાઓનું પાણી શેરીઓમાં વહી જવા દેવું, અને ઝરણાઓનું પાણી જાહેરમાં વહી જવા દેવું?
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 17] એ પાણી ફક્ત તારા એકલા માટે જ હોય અને તારી સાથેના પારકાઓ માટે નહિ.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 18] તારું ઝરણું આશીર્વાદ પામો, અને તું તારી પોતાની યુવાન પત્ની સાથે આનંદ માન.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 19] જે પ્રેમાળ હરણી જેવી સુંદર અને મનોહર મૃગલી જેવી જાજરમાન નારી છે. તેનાં સ્તનોથી તું સદા સંતોષી રહેજે; હંમેશા તું તેના પ્રેમમાં જ ગરકાવ રહેજે.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 20] મારા દીકરા, તારે શા માટે પરસ્ત્રી પર મોહિત થવું જોઈએ? શા માટે તારે પરસ્ત્રીના શરીરને આલિંગન આપવું જોઈએ?
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 21] માણસના વર્તન-વ્યવહાર ઉપર યહોવાહની નજર હોય છે અને માણસ જે કંઈ કરે છે તેના ઉપર તે ધ્યાન રાખે છે.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 22] દુષ્ટ પોતાની જ દુષ્ટતામાં સપડાય છે; અને તેઓનાં પાપો તેઓને દોરડાની જેમ જકડી રાખે છે.
[IRV | GU | OT | Proverbs | Chapter 5 | Verse 23] કારણ કે, તેની અતિશય મૂર્ખાઈને લીધે તે રઝળી જશે; અને શિક્ષણ વિના તે માર્યો જશે.
