[IRV | GU | OT | Proverbs | Chapter 9 | Verse 1] જ્ઞાને પોતાનું ઘર બાંધ્યું છે. તેણે પોતાના સાત સ્તંભો કોતરી કાઢ્યા છે;
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 2] તેણે પોતાનાં પશુઓ કાપ્યાં છે અને દ્રાક્ષારસ મિશ્ર કર્યો છે; તેણે પોતાની મેજ પર ભોજન તૈયાર રાખ્યું છે.
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 3] તેણે પોતાની દાસીઓને મોકલીને ઊંચા સ્થાનેથી આ જાહેર કરવા મોકલી છે કે:
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 4] “જો કોઈ મૂર્ખ હોય, તે અહીં અંદર આવે!” અને વળી બુદ્ધિહીન લોકોને તે કહે છે કે,
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 5] આવો, મારી સાથે ભોજન લો અને મારો મિશ્ર કરેલો દ્રાક્ષારસ પીઓ.
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 6] હે મૂર્ખો તમારી હઠ છોડી દો અને જીવો; બુદ્ધિને માર્ગે ચાલો.
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 7] જે ઉદ્ધત માણસને ઠપકો આપે છે તે અપમાનિત થાય છે, જે દુષ્ટ માણસને સુધારવા જાય છે તેને બટ્ટો લાગે છે.
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 8] ઉદ્ધત માણસને ઠપકો ન આપો, નહિ તો તે તમારો તિરસ્કાર કરશે, જ્ઞાની માણસને ભૂલ બતાવશો તો તે તમને પ્રેમ કરશે.
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 9] જો તમે જ્ઞાની વ્યક્તિને સલાહ આપશો તો તે વધુ જ્ઞાની બનશે; અને ન્યાયી વ્યક્તિને શિક્ષણ આપશો તો તેના ડહાપણમાં વૃદ્ધિ થશે.
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 10] યહોવાહનો ભય એ ડહાપણનો આરંભ છે, પવિત્ર ઈશ્વરની ઓળખાણ એ જ બુદ્ધિની શરૂઆત છે.
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 11] ડહાપણને લીધે તારું આયુષ્ય દીર્ઘ થશે, અને તારી આવરદાનાં વર્ષો વધશે.
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 12] જો તું જ્ઞાની હોય તો તે તારે પોતાને માટે જ્ઞાની છે, જો તું તિરસ્કાર કરીશ તો તારે એકલા એ જ તેનું ફળ ભોગવવાનું છે.”
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 13] મૂર્ખ સ્ત્રી ઝઘડાખોર છે તે સમજણ વગરની છે અને તદ્દન અજાણ છે.
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 14] તે પોતાના ઘરના બારણા આગળ બેસે છે, તે નગરના ઊંચાં સ્થાનોએ આસન વાળીને બેસે છે.
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 15] તેથી ત્યાંથી થઈને જનારાઓને એટલે પોતાને સીધે માર્ગે ચાલનારાઓને તે બોલાવે છે.
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 16] “જે કોઈ મૂર્ખ હોય, તે વળીને અહીં અંદર આવે!” અને બુદ્ધિહીનને તે કહે છે કે.
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 17] “ચોરીને પીધેલું પાણી મીઠું લાગે છે, અને સંતાઈને ખાધેલી રોટલી સ્વાદિષ્ટ લાગે છે.”
[IRV | GU | OT | Proverbs | Chapter 9 | Verse 18] પરંતુ એ લોકોને ખબર નથી કે તે તો મૃત્યુની જગ્યા છે, અને તેના મહેમાનો મૃત્યુનાં ઊંડાણોમાં ઊતરનારા છે.
