[IRV | GU | OT | Proverbs | Chapter 24 | Verse 1] દુષ્ટ માણસોની અદેખાઈ ન કર, તેઓની સાથે રહેવાની ઇચ્છા ન કર.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 2] કારણ કે તેઓનાં મન હિંસાના વિચારો કરે છે અને તેઓના હોઠ ઉપદ્રવની વાતો કરે છે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 3] ડહાપણ વડે ઘર બંધાય છે અને બુદ્ધિથી તે સ્થિર થાય છે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 4] ડહાપણ વડે સર્વ મૂલ્યવાન તથા સુખદાયક દ્રવ્યથી ઓરડાઓ ભરપૂર થાય છે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 5] બહાદુર માણસ બળવાન હોય છે, પણ જે વ્યક્તિ પાસે ડહાપણ છે તે બહાદુર વ્યક્તિ કરતાં વધારે બળવાન હોય છે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 6] કેમ કે ચતુર માણસની સલાહ પ્રમાણે તું યુદ્ધ કરશે અને વધારે સલાહકારીઓમાં સલામતી છે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 7] ડહાપણ એ મૂર્ખની શક્તિ ઉપરાંત છે; તે જાહેરમાં પોતાનું મુખ ખોલી શકતો નથી.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 8] જે ખોટાં કામ કરવા માટે યુક્તિઓ રચે છે તેને લોકો ઉપદ્રવી પુરુષ કહેશે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 9] મૂર્ખની યોજનાઓ પાપી છે અને લોકો બડાઈ કરનારને ધિક્કારે છે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 10] જો તું સંકટને દિવસે નાહિંમત થઈ જાય, તો તારું બળ થોડું જ છે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 11] જેઓને મોત માટે ઘસડી જવામાં આવે છે તેઓને છોડાવ જેઓ માર્યા જવાની તૈયારીમાં છે તેઓને છોડાવવાનું ચૂકતો નહિ.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 12] જો તું કહે કે, “અમે તો એ જાણતા નહોતા.” તો જે અંત:કરણોની ચકાસણી કરે છે તે શું તેનો વિચાર કરશે નહિ? અને જે તારા જીવનો રક્ષક છે તે શું નથી જાણતો? અને શું તે દરેક માણસને તેની કરણી પ્રમાણે ફળ આપશે નહિ?
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 13] મારા દીકરા, મધ ખા કેમ કે તે ગુણકારી છે, મધનું ચાકું પણ ખા, કેમ કે તેનો સ્વાદ તને મીઠો લાગે છે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 14] ખરેખર ડહાપણ તારા આત્માને માટે છે, જો તને તે મળ્યું હોય, તો તને તેનું પ્રતિફળ મળશે અને તારી આશા વ્યર્થ જશે નહિ.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 15] હે દુષ્ટ માણસ, સજ્જનના ઘર આગળ લાગ જોઈ બેસી રહીશ નહિ, તેના ઘર પર આક્રમણ કરીશ નહિ.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 16] કારણ કે નીતિમાન માણસ સાત વાર પડશે તોપણ તે પાછો ઊભો થશે, પણ દુષ્ટો વિપત્તિથી પાયમાલ થઈ જશે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 17] જ્યારે તારા દુશ્મનની પડતી થાય, ત્યારે હર્ષ ન કર અને જ્યારે તે પાયમાલ થાય ત્યારે તારા હૃદયમાં તું મગ્ન થતો નહિ.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 18] નહિ તો યહોવાહ તે જોઈને નારાજ થશે અને તેના ઉપરથી પોતાનો રોષ પાછો ખેંચી લેશે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 19] દુષ્કર્મીઓને લીધે તું ચિડાતો નહિ અને દુષ્ટોની અદેખાઈ ન કર.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 20] કારણ કે દુર્જનોનું કોઈ ભવિષ્ય નથી અને દુષ્ટોનો દીવો હોલવાઈ જશે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 21] મારા દીકરા, યહોવાહનું તથા રાજાનું ભય રાખ; બળવાખોરો સાથે કશો સંબંધ ન રાખ,
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 22] કારણ કે તેઓના પર અચાનક આફત આવી પડશે અને તે બન્નેના તરફથી આવતા વિનાશની ખબર કોને છે?
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 23] આ પણ જ્ઞાનીઓનાં વચન છે. ન્યાયમાં પક્ષપાત બતાવવો તે યોગ્ય નથી.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 24] જે કોઈ દુષ્ટને કહે છે, “તું નેક છે,” તે લોકો દ્વારા શાપિત ગણાશે અને પ્રજાઓ તેને ધિક્કારશે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 25] પણ જે કોઈ દોષિતને ઠપકો આપશે તેઓ આનંદિત થશે અને તેઓના પર ઘણો આશીર્વાદ ઊતરશે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 26] જે કોઈ સાચો જવાબ આદરપૂર્વક આપે છે, તે હોઠોનું ચુંબન કરે છે.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 27] તારું બહારનું કામ તૈયાર રાખ અને તારા ખેતરનું કામ તૈયાર કર અને ત્યારપછી તારું ઘર બાંધ.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 28] વિનાકારણ તારા પડોશી વિરુદ્ધ સાક્ષી પૂરીશ નહિ અને તારા હોઠોથી ઠગાઈ ન કર.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 29] એમ ન કહે કે, “જેવું તેણે મને કર્યું છે, તેવું હું તેને કરીશ; તેને તેના કામ પ્રમાણે હું બદલો આપીશ.”
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 30] હું આળસુ વ્યક્તિના ખેતર પાસે થઈને તથા બેવકૂફ માણસની દ્રાક્ષવાડી પાસે થઈને જતો હતો;
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 31] ત્યારે મેં જોયું તો તેમાં બધે ઝાંખરાં ઊગી નીકળ્યાં હતાં, જમીન કાંટાથી છવાઈ ગઈ હતી અને તેની પથ્થરનો કોટ તૂટી ગયો હતો.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 32] પછી મેં જોયું અને વિચાર કર્યો; હું સમજ્યો અને મને શિખામણ મળી.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 33] હજી થોડીક નિદ્રા, થોડીક ઊંઘ લેવા દો, થોડીક વાર હાથ વાળીને સૂવા દો.
[IRV | GU | OT | Proverbs | Chapter 24 | Verse 34] એમ કરવાથી તારી દરિદ્રતા લૂંટારાની જેમ અને તારી કંગાલાવસ્થા હથિયારબંધ માણસની જેમ આવી પહોંચશે.
