[YLT | EN | NT | Acts | Chapter 16 | Verse 1] And he came to Derbe and Lystra, and lo, a certain disciple was there, by name Timotheus son of a certain woman, a believing Jewess, but of a father, a Greek,
[YLT | EN | NT | Acts | Chapter 16 | Verse 2] who was well testified to by the brethren in Lystra and Iconium;
[YLT | EN | NT | Acts | Chapter 16 | Verse 3] this one did Paul wish to go forth with him, and having taken [him], he circumcised him, because of the Jews who are in those places, for they all knew his father — that he was a Greek.
[YLT | EN | NT | Acts | Chapter 16 | Verse 4] And as they were going on through the cities, they were delivering to them the decrees to keep, that have been judged by the apostles and the elders who [are] in Jerusalem,
[YLT | EN | NT | Acts | Chapter 16 | Verse 5] then, indeed, were the assemblies established in the faith, and were abounding in number every day;
[YLT | EN | NT | Acts | Chapter 16 | Verse 6] and having gone through Phrygia and the region of Galatia, having been forbidden by the Holy Spirit to speak the word in Asia,
[YLT | EN | NT | Acts | Chapter 16 | Verse 7] having gone toward Mysia, they were trying to go on toward Bithynia, and the Spirit did not suffer them,
[YLT | EN | NT | Acts | Chapter 16 | Verse 8] and having passed by Mysia, they came down to Troas.
[YLT | EN | NT | Acts | Chapter 16 | Verse 9] And a vision through the night appeared to Paul — a certain man of Macedonia was standing, calling upon him, and saying, 'Having passed through to Macedonia, help us;' —
[YLT | EN | NT | Acts | Chapter 16 | Verse 10] and when he saw the vision, immediately we endeavoured to go forth to Macedonia, assuredly gathering that the Lord hath called us to preach good news to them,
[YLT | EN | NT | Acts | Chapter 16 | Verse 11] having set sail, therefore, from Troas, we came with a straight course to Samothracia, on the morrow also to Neapolis,
[YLT | EN | NT | Acts | Chapter 16 | Verse 12] thence also to Philippi, which is a principal city of the part of Macedonia — a colony. And we were in this city abiding certain days,
[YLT | EN | NT | Acts | Chapter 16 | Verse 13] on the sabbath-day also we went forth outside of the city, by a river, where there used to be prayer, and having sat down, we were speaking to the women who came together,
[YLT | EN | NT | Acts | Chapter 16 | Verse 14] and a certain woman, by name Lydia, a seller of purple, of the city of Thyatira, worshipping God, was hearing, whose heart the Lord did open to attend to the things spoken by Paul;
[YLT | EN | NT | Acts | Chapter 16 | Verse 15] and when she was baptized, and her household, she did call upon us, saying, 'If ye have judged me to be faithful to the Lord, having entered into my house, remain;' and she constrained us.
[YLT | EN | NT | Acts | Chapter 16 | Verse 16] And it came to pass in our going on to prayer, a certain maid, having a spirit of Python, did meet us, who brought much employment to her masters by soothsaying,
