[YLT | EN | NT | Acts | Chapter 2 | Verse 1] And in the day of the Pentecost being fulfilled, they were all with one accord at the same place,
[YLT | EN | NT | Acts | Chapter 2 | Verse 2] and there came suddenly out of the heaven a sound as of a bearing violent breath, and it filled all the house where they were sitting,
[YLT | EN | NT | Acts | Chapter 2 | Verse 3] and there appeared to them divided tongues, as it were of fire; it sat also upon each one of them,
[YLT | EN | NT | Acts | Chapter 2 | Verse 4] and they were all filled with the Holy Spirit, and began to speak with other tongues, according as the Spirit was giving them to declare.
[YLT | EN | NT | Acts | Chapter 2 | Verse 5] And there were dwelling in Jerusalem Jews, devout men from every nation of those under the heaven,
[YLT | EN | NT | Acts | Chapter 2 | Verse 6] and the rumour of this having come, the multitude came together, and was confounded, because they were each one hearing them speaking in his proper dialect,
[YLT | EN | NT | Acts | Chapter 2 | Verse 7] and they were all amazed, and did wonder, saying one unto another, 'Lo, are not all these who are speaking Galileans?
[YLT | EN | NT | Acts | Chapter 2 | Verse 8] and how do we hear, each in our proper dialect, in which we were born?
[YLT | EN | NT | Acts | Chapter 2 | Verse 9] Parthians, and Medes, and Elamites, and those dwelling in Mesopotamia, in Judea also, and Cappadocia, Pontus, and Asia,
[YLT | EN | NT | Acts | Chapter 2 | Verse 10] Phrygia also, and Pamphylia, Egypt, and the parts of Libya, that [are] along Cyrene, and the strangers of Rome, both Jews and proselytes,
[YLT | EN | NT | Acts | Chapter 2 | Verse 11] Cretes and Arabians, we did hear them speaking in our tongues the great things of God.'
[YLT | EN | NT | Acts | Chapter 2 | Verse 12] And they were all amazed, and were in doubt, saying one unto another, 'What would this wish to be?'
[YLT | EN | NT | Acts | Chapter 2 | Verse 13] and others mocking said, — 'They are full of sweet wine;'
[YLT | EN | NT | Acts | Chapter 2 | Verse 14] and Peter having stood up with the eleven, lifted up his voice and declared to them, 'Men, Jews! and all those dwelling in Jerusalem, let this be known to you, and harken to my sayings,
[YLT | EN | NT | Acts | Chapter 2 | Verse 15] for these are not drunken, as ye take it up, for it is the third hour of the day.
[YLT | EN | NT | Acts | Chapter 2 | Verse 16] 'But this is that which hath been spoken through the prophet Joel:
[YLT | EN | NT | Acts | Chapter 2 | Verse 17] And it shall be in the last days, saith God, I will pour out of My Spirit upon all flesh, and your sons and your daughters shall prophesy, and your young men shall see visions, and your old men shall dream dreams;
[YLT | EN | NT | Acts | Chapter 2 | Verse 18] and also upon My men-servants, and upon My maid-servants, in those days, I will pour out of My Spirit, and they shall prophesy;
[YLT | EN | NT | Acts | Chapter 2 | Verse 19] and I will give wonders in the heaven above, and signs upon the earth beneath — blood, and fire, and vapour of smoke,
[YLT | EN | NT | Acts | Chapter 2 | Verse 20] the sun shall be turned to darkness, and the moon to blood, before the coming of the day of the Lord — the great and illustrious;
[YLT | EN | NT | Acts | Chapter 2 | Verse 21] and it shall be, every one — whoever shall call upon the name of the Lord, he shall be saved.
[YLT | EN | NT | Acts | Chapter 2 | Verse 22] 'Men, Israelites! hear these words, Jesus the Nazarene, a man approved of God among you by mighty works, and wonders, and signs, that God did through him in the midst of you, according as also ye yourselves have known;
[YLT | EN | NT | Acts | Chapter 2 | Verse 23] this one, by the determinate counsel and foreknowledge of God, being given out, having taken by lawless hands, having crucified — ye did slay;
[YLT | EN | NT | Acts | Chapter 2 | Verse 24] whom God did raise up, having loosed the pains of the death, because it was not possible for him to be held by it,
[YLT | EN | NT | Acts | Chapter 2 | Verse 25] for David saith in regard to him: I foresaw the Lord always before me — because He is on my right hand — that I may not be moved;
[YLT | EN | NT | Acts | Chapter 2 | Verse 26] because of this was my heart cheered, and my tongue was glad, and yet — my flesh also shall rest on hope,
[YLT | EN | NT | Acts | Chapter 2 | Verse 27] because Thou wilt not leave my soul to hades, nor wilt Thou give Thy Kind One to see corruption;
[YLT | EN | NT | Acts | Chapter 2 | Verse 28] Thou didst make known to me ways of life, Thou shalt fill me with joy with Thy countenance.
[YLT | EN | NT | Acts | Chapter 2 | Verse 29] 'Men, brethren! it is permitted to speak with freedom unto you concerning the patriarch David, that he both died and was buried, and his tomb is among us unto this day;
[YLT | EN | NT | Acts | Chapter 2 | Verse 30] a prophet, therefore, being, and knowing that with an oath God did swear to him, out of the fruit of his loins, according to the flesh, to raise up the Christ, to sit upon his throne,
[YLT | EN | NT | Acts | Chapter 2 | Verse 31] having foreseen, he did speak concerning the rising again of the Christ, that his soul was not left to hades, nor did his flesh see corruption.
[YLT | EN | NT | Acts | Chapter 2 | Verse 32] 'This Jesus did God raise up, of which we are all witnesses;
[YLT | EN | NT | Acts | Chapter 2 | Verse 33] at the right hand then of God having been exalted — also the promise of the Holy Spirit having received from the Father — he was shedding forth this, which now ye see and hear;
[YLT | EN | NT | Acts | Chapter 2 | Verse 34] for David did not go up to the heavens, and he saith himself: The Lord saith to my lord, Sit thou at my right hand,
[YLT | EN | NT | Acts | Chapter 2 | Verse 35] till I make thy foes thy footstool;
[YLT | EN | NT | Acts | Chapter 2 | Verse 36] assuredly, therefore, let all the house of Israel know, that both Lord and Christ did God make him — this Jesus whom ye did crucify.'
[YLT | EN | NT | Acts | Chapter 2 | Verse 37] And having heard, they were pricked to the heart; they say also to Peter, and to the rest of the apostles, 'What shall we do, men, brethren?'
[YLT | EN | NT | Acts | Chapter 2 | Verse 38] and Peter said unto them, 'Reform, and be baptized each of you on the name of Jesus Christ, to remission of sins, and ye shall receive the gift of the Holy Spirit,
[YLT | EN | NT | Acts | Chapter 2 | Verse 39] for to you is the promise, and to your children, and to all those afar off, as many as the Lord our God shall call.'
[YLT | EN | NT | Acts | Chapter 2 | Verse 40] Also with many more other words he was testifying and exhorting, saying, 'Be saved from this perverse generation;'
[YLT | EN | NT | Acts | Chapter 2 | Verse 41] then those, indeed, who did gladly receive his word were baptized, and there were added on that day, as it were, three thousand souls,
[YLT | EN | NT | Acts | Chapter 2 | Verse 42] and they were continuing stedfastly in the teaching of the apostles, and the fellowship, and the breaking of the bread, and the prayers.
[YLT | EN | NT | Acts | Chapter 2 | Verse 43] And fear came on every soul, many wonders also and signs were being done through the apostles,
[YLT | EN | NT | Acts | Chapter 2 | Verse 44] and all those believing were at the same place, and had all things common,
[YLT | EN | NT | Acts | Chapter 2 | Verse 45] and the possessions and the goods they were selling, and were parting them to all, according as any one had need.
[YLT | EN | NT | Acts | Chapter 2 | Verse 46] Daily also continuing with one accord in the temple, breaking also at every house bread, they were partaking of food in gladness and simplicity of heart,
[YLT | EN | NT | Acts | Chapter 2 | Verse 47] praising God, and having favour with all the people, and the Lord was adding those being saved every day to the assembly.
