[YLT | EN | NT | Acts | Chapter 10 | Verse 1] And there was a certain man in Caesarea, by name Cornelius, a centurion from a band called Italian,
[YLT | EN | NT | Acts | Chapter 10 | Verse 2] pious, and fearing God with all his house, doing also many kind acts to the people, and beseeching God always,
[YLT | EN | NT | Acts | Chapter 10 | Verse 3] he saw in a vision manifestly, as it were the ninth hour of the day, a messenger of God coming in unto him, and saying to him, 'Cornelius;'
[YLT | EN | NT | Acts | Chapter 10 | Verse 4] and he having looked earnestly on him, and becoming afraid, said, 'What is it, Lord?' And he said to him, 'Thy prayers and thy kind acts came up for a memorial before God,
[YLT | EN | NT | Acts | Chapter 10 | Verse 5] and now send men to Joppa, and send for a certain one Simon, who is surnamed Peter,
[YLT | EN | NT | Acts | Chapter 10 | Verse 6] this one doth lodge with a certain Simon a tanner, whose house is by the sea; this one shall speak to thee what it behoveth thee to do.'
[YLT | EN | NT | Acts | Chapter 10 | Verse 7] And when the messenger who is speaking to Cornelius went away, having called two of his domestics, and a pious soldier of those waiting on him continually,
[YLT | EN | NT | Acts | Chapter 10 | Verse 8] and having declared to them all things, he sent them to Joppa.
[YLT | EN | NT | Acts | Chapter 10 | Verse 9] And on the morrow, as these are proceeding on the way, and are drawing nigh to the city, Peter went up upon the house-top to pray, about the sixth hour,
[YLT | EN | NT | Acts | Chapter 10 | Verse 10] and he became very hungry, and wished to eat; and they making ready, there fell upon him a trance,
[YLT | EN | NT | Acts | Chapter 10 | Verse 11] and he doth behold the heaven opened, and descending unto him a certain vessel, as a great sheet, bound at the four corners, and let down upon the earth,
[YLT | EN | NT | Acts | Chapter 10 | Verse 12] in which were all the four-footed beasts of the earth, and the wild beasts, and the creeping things, and the fowls of the heaven,
[YLT | EN | NT | Acts | Chapter 10 | Verse 13] and there came a voice unto him: 'Having risen, Peter, slay and eat.'
[YLT | EN | NT | Acts | Chapter 10 | Verse 14] And Peter said, 'Not so, Lord; because at no time did I eat anything common or unclean;'
[YLT | EN | NT | Acts | Chapter 10 | Verse 15] and [there is] a voice again a second time unto him: 'What God did cleanse, thou, declare not thou common;'
[YLT | EN | NT | Acts | Chapter 10 | Verse 16] and this was done thrice, and again was the vessel received up to the heaven.
[YLT | EN | NT | Acts | Chapter 10 | Verse 17] And as Peter was perplexed in himself what the vision that he saw might be, then, lo, the men who have been sent from Cornelius, having made inquiry for the house of Simon, stood at the gate,
[YLT | EN | NT | Acts | Chapter 10 | Verse 18] and having called, they were asking if Simon, who is surnamed Peter, doth lodge here?
[YLT | EN | NT | Acts | Chapter 10 | Verse 19] And Peter thinking about the vision, the Spirit said to him, 'Lo, three men do seek thee;
[YLT | EN | NT | Acts | Chapter 10 | Verse 20] but having risen, go down and go on with them, nothing doubting, because I have sent them;'
[YLT | EN | NT | Acts | Chapter 10 | Verse 21] and Peter having come down unto the men who have been sent from Cornelius unto him, said, 'Lo, I am he whom ye seek, what [is] the cause for which ye are present?'
[YLT | EN | NT | Acts | Chapter 10 | Verse 22] And they said, 'Cornelius, a centurion, a man righteous and fearing God, well testified to, also, by all the nation of the Jews, was divinely warned by a holy messenger to send for thee, to his house, and to hear sayings from thee.'
[YLT | EN | NT | Acts | Chapter 10 | Verse 23] Having called them in, therefore, he lodged them, and on the morrow Peter went forth with them, and certain of the brethren from Joppa went with him,
[YLT | EN | NT | Acts | Chapter 10 | Verse 24] and on the morrow they did enter into Caesarea; and Cornelius was waiting for them, having called together his kindred and near friends,
[YLT | EN | NT | Acts | Chapter 10 | Verse 25] and as it came that Peter entered in, Cornelius having met him, having fallen at [his] feet, did bow before [him];
[YLT | EN | NT | Acts | Chapter 10 | Verse 26] and Peter raised him, saying, 'Stand up; I also myself am a man;'
[YLT | EN | NT | Acts | Chapter 10 | Verse 27] and talking with him he went in, and doth find many having come together.
