[YLT | EN | NT | Acts | Chapter 15 | Verse 1] And certain having come down from Judea, were teaching the brethren — 'If ye be not circumcised after the custom of Moses, ye are not able to be saved;'
[YLT | EN | NT | Acts | Chapter 15 | Verse 2] there having been, therefore, not a little dissension and disputation to Paul and Barnabas with them, they arranged for Paul and Barnabas, and certain others of them, to go up unto the apostles and elders to Jerusalem about this question,
[YLT | EN | NT | Acts | Chapter 15 | Verse 3] they indeed, then, having been sent forward by the assembly, were passing through Phenice and Samaria, declaring the conversion of the nations, and they were causing great joy to all the brethren.
[YLT | EN | NT | Acts | Chapter 15 | Verse 4] And having come to Jerusalem, they were received by the assembly, and the apostles, and the elders, they declared also as many things as God did with them;
[YLT | EN | NT | Acts | Chapter 15 | Verse 5] and there rose up certain of those of the sect of the Pharisees who believed, saying — 'It behoveth to circumcise them, to command them also to keep the law of Moses.'
[YLT | EN | NT | Acts | Chapter 15 | Verse 6] And there were gathered together the apostles and the elders, to see about this matter,
[YLT | EN | NT | Acts | Chapter 15 | Verse 7] and there having been much disputing, Peter having risen up said unto them, 'Men, brethren, ye know that from former days, God among us did make choice, through my mouth, for the nations to hear the word of the good news, and to believe;
[YLT | EN | NT | Acts | Chapter 15 | Verse 8] and the heart-knowing God did bare them testimony, having given to them the Holy Spirit, even as also to us,
[YLT | EN | NT | Acts | Chapter 15 | Verse 9] and did put no difference also between us and them, by the faith having purified their hearts;
[YLT | EN | NT | Acts | Chapter 15 | Verse 10] now, therefore, why do ye tempt God, to put a yoke upon the neck of the disciples, which neither our fathers nor we were able to bear?
[YLT | EN | NT | Acts | Chapter 15 | Verse 11] but, through the grace of the Lord Jesus Christ, we believe to be saved, even as also they.'
[YLT | EN | NT | Acts | Chapter 15 | Verse 12] And all the multitude did keep silence, and were hearkening to Barnabas and Paul, declaring as many signs and wonders as God did among the nations through them;
[YLT | EN | NT | Acts | Chapter 15 | Verse 13] and after they are silent, James answered, saying, 'Men, brethren, hearken to me;
[YLT | EN | NT | Acts | Chapter 15 | Verse 14] Simeon did declare how at first God did look after to take out of the nations a people for His name,
[YLT | EN | NT | Acts | Chapter 15 | Verse 15] and to this agree the words of the prophets, as it hath been written:
[YLT | EN | NT | Acts | Chapter 15 | Verse 16] After these things I will turn back, and I will build again the tabernacle of David, that is fallen down, and its ruins I will build again, and will set it upright —
[YLT | EN | NT | Acts | Chapter 15 | Verse 17] that the residue of men may seek after the Lord, and all the nations, upon whom My name hath been called, saith the Lord, who is doing all these things.
[YLT | EN | NT | Acts | Chapter 15 | Verse 18] 'Known from the ages to God are all His works;
[YLT | EN | NT | Acts | Chapter 15 | Verse 19] wherefore I judge: not to trouble those who from the nations do turn back to God,
[YLT | EN | NT | Acts | Chapter 15 | Verse 20] but to write to them to abstain from the pollutions of the idols, and the whoredom, and the strangled thing; and the blood;
[YLT | EN | NT | Acts | Chapter 15 | Verse 21] for Moses from former generations in every city hath those preaching him — in the synagogues every sabbath being read.'
[YLT | EN | NT | Acts | Chapter 15 | Verse 22] Then it seemed good to the apostles and the elders, with the whole assembly, chosen men out of themselves to send to Antioch with Paul and Barnabas — Judas surnamed Barsabas, and Silas, leading men among the brethren —
[YLT | EN | NT | Acts | Chapter 15 | Verse 23] having written through their hand thus: 'The apostles, and the elders, and the brethren, to those in Antioch, and Syria, and Cilicia, brethren, who [are] of the nations, greeting;
[YLT | EN | NT | Acts | Chapter 15 | Verse 24] seeing we have heard that certain having gone forth from us did trouble you with words, subverting your souls, saying to be circumcised and to keep the law, to whom we did give no charge,
[YLT | EN | NT | Acts | Chapter 15 | Verse 25] it seemed good to us, having come together with one accord, chosen men to send unto you, with our beloved Barnabas and Paul —
[YLT | EN | NT | Acts | Chapter 15 | Verse 26] men who have given up their lives for the name of our Lord Jesus Christ —
[YLT | EN | NT | Acts | Chapter 15 | Verse 27] we have sent, therefore, Judas and Silas, and they by word are telling the same things.
[YLT | EN | NT | Acts | Chapter 15 | Verse 28] 'For it seemed good to the Holy Spirit, and to us, no more burden to lay upon you, except these necessary things:
[YLT | EN | NT | Acts | Chapter 15 | Verse 29] to abstain from things offered to idols, and blood, and a strangled thing, and whoredom; from which keeping yourselves, ye shall do well; be strong!'
[YLT | EN | NT | Acts | Chapter 15 | Verse 30] They then, indeed, having been let go, went to Antioch, and having brought the multitude together, did deliver the epistle,
[YLT | EN | NT | Acts | Chapter 15 | Verse 31] and they having read, did rejoice for the consolation;
[YLT | EN | NT | Acts | Chapter 15 | Verse 32] Judas also and Silas, being themselves also prophets, through much discourse did exhort the brethren, and confirm,
[YLT | EN | NT | Acts | Chapter 15 | Verse 33] and having passed some time, they were let go with peace from the brethren unto the apostles;
[YLT | EN | NT | Acts | Chapter 15 | Verse 34] and it seemed good to Silas to remain there still.
