[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 1] Give ear, O ye heavens, and I will speak; And hear, O earth, the words of my mouth.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 2] My doctrine shall drop as the rain, My speech shall distil as the dew, As the small rain upon the tender herb, And as the showers upon the grass:
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 3] Because I will publish the name of the Lord: Ascribe ye greatness unto our God.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 4] He is the Rock, his work is perfect: For all his ways are judgment: A God of truth and without iniquity, Just and right is he.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 5] They have corrupted themselves, their spot is not the spot of his children: They are a perverse and crooked generation.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 6] Do ye thus requite the Lord, O foolish people and unwise? Is not he thy Father that hath bought thee? Hath he not made thee, and established thee?
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 7] Remember the days of old, Consider the years of many generations: Ask thy father, and he will shew thee; Thy elders, and they will tell thee.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 8] When the most High divided to the nations their inheritance, When he separated the sons of Adam, He set the bounds of the people According to the number of the children of Israel.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 9] For the Lord’s portion is his people; Jacob is the lot of his inheritance.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 10] He found him in a desert land, And in the waste howling wilderness; He led him about, he instructed him, He kept him as the apple of his eye.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 11] As an eagle stirreth up her nest, Fluttereth over her young, Spreadeth abroad her wings, taketh them, Beareth them on her wings:
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 12] So the Lord alone did lead him, And there was no strange god with him.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 13] He made him ride on the high places of the earth, That he might eat the increase of the fields; And he made him to suck honey out of the rock, And oil out of the flinty rock;
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 14] Butter of kine, and milk of sheep, With fat of lambs, and rams of the breed of Bashan, And goats, with the fat of kidneys of wheat; And thou didst drink the pure blood of the grape.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 15] But Jeshurun waxed fat, and kicked: Thou art waxed fat, thou art grown thick, thou art covered with fatness; Then he forsook God which made him, And lightly esteemed the Rock of his salvation.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 16] They provoked him to jealousy with strange gods, With abominations provoked they him to anger.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 17] They sacrificed unto devils, not to God; To gods whom they knew not, To new gods that came newly up, Whom your fathers feared not.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 18] Of the Rock that begat thee thou art unmindful, And hast forgotten God that formed thee.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 19] And when the Lord saw it, he abhorred them, Because of the provoking of his sons, and of his daughters.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 20] And he said, I will hide my face from them, I will see what their end shall be: For they are a very froward generation, Children in whom is no faith.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 21] They have moved me to jealousy with that which is not God; They have provoked me to anger with their vanities: And I will move them to jealousy with those which are not a people; I will provoke them to anger with a foolish nation.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 22] For a fire is kindled in my anger, And shall burn unto the lowest hell, And shall consume the earth with her increase, And set on fire the foundations of the mountains.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 23] I will heap mischiefs upon them; I will spend mine arrows upon them.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 24] They shall be burnt with hunger, and devoured with burning heat, And with bitter destruction: I will also send the teeth of beasts upon them, With the poison of serpents of the dust.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 25] The sword without, And terror within, shall destroy Both the young man and the virgin, The suckling also with the man of gray hairs.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 26] I said, I would scatter them into corners, I would make the remembrance of them to cease from among men:
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 27] Were it not that I feared the wrath of the enemy, Lest their adversaries should behave themselves strangely, And lest they should say, Our hand is high, And the Lord hath not done all this.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 28] For they are a nation void of counsel, Neither is there any understanding in them.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 29] O that they were wise, that they understood this, That they would consider their latter end!
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 30] How should one chase a thousand, And two put ten thousand to flight, Except their Rock had sold them, And the Lord had shut them up?
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 31] For their rock is not as our Rock, Even our enemies themselves being judges.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 32] For their vine is of the vine of Sodom, And of the fields of Gomorrah: Their grapes are grapes of gall, Their clusters are bitter:
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 33] Their wine is the poison of dragons, And the cruel venom of asps.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 34] Is not this laid up in store with me, And sealed up among my treasures?
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 35] To me belongeth vengeance, and recompence; Their foot shall slide in due time: For the day of their calamity is at hand, And the things that shall come upon them make haste.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 36] For the Lord shall judge his people, And repent himself for his servants, When he seeth that their power is gone, And there is none shut up, or left.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 37] And he shall say, Where are their gods, Their rock in whom they trusted,
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 38] Which did eat the fat of their sacrifices, And drank the wine of their drink offerings? Let them rise up and help you, And be your protection.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 39] See now that I, even I, am he, And there is no god with me: I kill, and I make alive; I wound, and I heal: Neither is there any that can deliver out of my hand.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 40] For I lift up my hand to heaven, And say, I live for ever.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 41] If I whet my glittering sword, And mine hand take hold on judgment; I will render vengeance to mine enemies, And will reward them that hate me.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 42] I will make mine arrows drunk with blood, And my sword shall devour flesh; And that with the blood of the slain and of the captives, From the beginning of revenges upon the enemy.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 43] Rejoice, O ye nations, with his people: For he will avenge the blood of his servants, And will render vengeance to his adversaries, And will be merciful unto his land, and to his people.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 44] And Moses came and spake all the words of this song in the ears of the people, he and Hoshea the son of Nun.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 45] And Moses made an end of speaking all these words to all Israel:
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 46] and he said unto them, Set your hearts unto all the words which I testify among you this day, which ye shall command your children to observe to do, all the words of this law.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 47] For it is not a vain thing for you; because it is your life: and through this thing ye shall prolong your days in the land, whither ye go over Jordan to possess it.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 48] And the Lord spake unto Moses that selfsame day, saying,
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 49] Get thee up into this mountain Abarim, unto mount Nebo, which is in the land of Moab, that is over against Jericho; and behold the land of Canaan, which I give unto the children of Israel for a possession:
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 50] and die in the mount whither thou goest up, and be gathered unto thy people; as Aaron thy brother died in mount Hor, and was gathered unto his people:
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 51] because ye trespassed against me among the children of Israel at the waters of Meribah-Kadesh, in the wilderness of Zin; because ye sanctified me not in the midst of the children of Israel.
[KJV | EN | OT | Deuteronomy | Chapter 32 | Verse 52] Yet thou shalt see the land before thee; but thou shalt not go thither unto the land which I give the children of Israel.
