[JPS | EN | OT | Job | Chapter 38 | Verse 1] Then the LORD answered Job out of the whirlwind, and said:
[JPS | EN | OT | Job | Chapter 38 | Verse 2] Who is this that darkeneth counsel by words without knowledge?
[JPS | EN | OT | Job | Chapter 38 | Verse 3] Gird up now thy loins like a man; for I will demand of thee, and declare thou unto Me.
[JPS | EN | OT | Job | Chapter 38 | Verse 4] Where wast thou when I laid the foundations of the earth? Declare, if thou hast the understanding.
[JPS | EN | OT | Job | Chapter 38 | Verse 5] Who determined the measures thereof, if thou knowest? Or who stretched the line upon it?
[JPS | EN | OT | Job | Chapter 38 | Verse 6] Whereupon were the foundations thereof fastened? Or who laid the corner-stone thereof,
[JPS | EN | OT | Job | Chapter 38 | Verse 7] When the morning stars sang together, and all the sons of God shouted for joy?
[JPS | EN | OT | Job | Chapter 38 | Verse 8] Or who shut up the sea with doors, when it broke forth, and issued out of the womb;
[JPS | EN | OT | Job | Chapter 38 | Verse 9] When I made the cloud the garment thereof, and thick darkness a swaddlingband for it,
[JPS | EN | OT | Job | Chapter 38 | Verse 10] And prescribed for it My decree, and set bars and doors,
[JPS | EN | OT | Job | Chapter 38 | Verse 11] And said: 'Thus far shalt thou come, but no further; and here shall thy proud waves be stayed'?
[JPS | EN | OT | Job | Chapter 38 | Verse 12] Hast thou commanded the morning since thy days began, and caused the dayspring to know its place;
[JPS | EN | OT | Job | Chapter 38 | Verse 13] That it might take hold of the ends of the earth, and the wicked be shaken out of it?
[JPS | EN | OT | Job | Chapter 38 | Verse 14] It is changed as clay under the seal; and they stand as a garment.
[JPS | EN | OT | Job | Chapter 38 | Verse 15] But from the wicked their light is withholden, and the high arm is broken.
[JPS | EN | OT | Job | Chapter 38 | Verse 16] Hast thou entered into the springs of the sea? Or hast thou walked in the recesses of the deep?
[JPS | EN | OT | Job | Chapter 38 | Verse 17] Have the gates of death been revealed unto thee? Or hast thou seen the gates of the shadow of death?
[JPS | EN | OT | Job | Chapter 38 | Verse 18] Hast thou surveyed unto the breadths of the earth? Declare, if thou knowest it all.
[JPS | EN | OT | Job | Chapter 38 | Verse 19] Where is the way to the dwelling of light, and as for darkness, where is the place thereof;
[JPS | EN | OT | Job | Chapter 38 | Verse 20] That thou shouldest take it to the bound thereof, and that thou shouldest know the paths to the house thereof?
[JPS | EN | OT | Job | Chapter 38 | Verse 21] Thou knowest it, for thou wast then born, and the number of thy days is great!
[JPS | EN | OT | Job | Chapter 38 | Verse 22] Hast thou entered the treasuries of the snow, or hast thou seen the treasuries of the hail,
[JPS | EN | OT | Job | Chapter 38 | Verse 23] Which I have reserved against the time of trouble, against the day of battle and war?
[JPS | EN | OT | Job | Chapter 38 | Verse 24] By what way is the light parted, or the east wind scattered upon the earth?
[JPS | EN | OT | Job | Chapter 38 | Verse 25] Who hath cleft a channel for the waterflood, or a way for the lightning of the thunder;
[JPS | EN | OT | Job | Chapter 38 | Verse 26] To cause it to rain on a land where no man is, on the wilderness, wherein there is no man;
[JPS | EN | OT | Job | Chapter 38 | Verse 27] To satisfy the desolate and waste ground, and to cause the bud of the tender herb to spring forth?
[JPS | EN | OT | Job | Chapter 38 | Verse 28] Hath the rain a father? Or who hath begotten the drops of dew?
[JPS | EN | OT | Job | Chapter 38 | Verse 29] Out of whose womb came the ice? And the hoar-frost of heaven, who hath gendered it?
[JPS | EN | OT | Job | Chapter 38 | Verse 30] The waters are congealed like stone, and the face of the deep is frozen.
[JPS | EN | OT | Job | Chapter 38 | Verse 31] Canst thou bind the chains of the Pleiades, or loose the bands of Orion?
[JPS | EN | OT | Job | Chapter 38 | Verse 32] Canst thou lead forth the Mazzaroth in their season? Or canst thou guide the Bear with her sons?
[JPS | EN | OT | Job | Chapter 38 | Verse 33] Knowest thou the ordinances of the heavens? Canst thou establish the dominion thereof in the earth?
[JPS | EN | OT | Job | Chapter 38 | Verse 34] Canst thou lift up thy voice to the clouds, that abundance of waters may cover thee?
[JPS | EN | OT | Job | Chapter 38 | Verse 35] Canst thou send forth lightnings, that they may go, and say unto thee: 'Here we are'?
[JPS | EN | OT | Job | Chapter 38 | Verse 36] Who hath put wisdom in the inward parts? Or who hath given understanding to the mind?
[JPS | EN | OT | Job | Chapter 38 | Verse 37] Who can number the clouds by wisdom? Or who can pour out the bottles of heaven,
[JPS | EN | OT | Job | Chapter 38 | Verse 38] When the dust runneth into a mass, and the clods cleave fast together?
[JPS | EN | OT | Job | Chapter 38 | Verse 39] Wilt thou hunt the prey for the lioness? Or satisfy the appetite of the young lions,
[JPS | EN | OT | Job | Chapter 38 | Verse 40] When they couch in their dens, and abide in the covert to lie in wait?
[JPS | EN | OT | Job | Chapter 38 | Verse 41] Who provideth for the raven his prey, when his young ones cry unto God, and wander for lack of food?
