[JPS | EN | OT | Job | Chapter 39 | Verse 1] Knowest thou the time when the wild goats of the rock bring forth? Or canst thou mark when the hinds do calve?
[JPS | EN | OT | Job | Chapter 39 | Verse 2] Canst thou number the months that they fulfil? Or knowest thou the time when they bring forth?
[JPS | EN | OT | Job | Chapter 39 | Verse 3] They bow themselves, they bring forth their young, they cast out their fruit.
[JPS | EN | OT | Job | Chapter 39 | Verse 4] Their young ones wax strong, they grow up in the open field; they go forth, and return not again.
[JPS | EN | OT | Job | Chapter 39 | Verse 5] Who hath sent out the wild ass free? Or who hath loosed the bands of the wild ass?
[JPS | EN | OT | Job | Chapter 39 | Verse 6] Whose house I have made the wilderness, and the salt land his dwelling-place.
[JPS | EN | OT | Job | Chapter 39 | Verse 7] He scorneth the tumult of the city, neither heareth he the shoutings of the driver.
[JPS | EN | OT | Job | Chapter 39 | Verse 8] The range of the mountains is his pasture, and he searcheth after every green thing.
[JPS | EN | OT | Job | Chapter 39 | Verse 9] Will the wild-ox be willing to serve thee? Or will he abide by thy crib?
[JPS | EN | OT | Job | Chapter 39 | Verse 10] Canst thou bind the wild-ox with his band in the furrow? Or will he harrow the valleys after thee?
[JPS | EN | OT | Job | Chapter 39 | Verse 11] Wilt thou trust him, because his strength is great? Or wilt thou leave thy labour to him?
[JPS | EN | OT | Job | Chapter 39 | Verse 12] Wilt thou rely on him, that he will bring home thy seed, and gather the corn of thy threshing-floor?
[JPS | EN | OT | Job | Chapter 39 | Verse 13] The wing of the ostrich beateth joyously; but are her pinions and feathers the kindly stork's?
[JPS | EN | OT | Job | Chapter 39 | Verse 14] For she leaveth her eggs on the earth, and warmeth them in dust,
[JPS | EN | OT | Job | Chapter 39 | Verse 15] And forgetteth that the foot may crush them, or that the wild beast may trample them.
[JPS | EN | OT | Job | Chapter 39 | Verse 16] She is hardened against her young ones, as if they were not hers; though her labour be in vain, she is without fear;
[JPS | EN | OT | Job | Chapter 39 | Verse 17] Because God hath deprived her of wisdom, neither hath He imparted to her understanding.
[JPS | EN | OT | Job | Chapter 39 | Verse 18] When the time cometh, she raiseth her wings on high, and scorneth the horse and his rider.
[JPS | EN | OT | Job | Chapter 39 | Verse 19] Hast thou given the horse his strength? Hast thou clothed his neck with fierceness?
[JPS | EN | OT | Job | Chapter 39 | Verse 20] Hast thou made him to leap as a locust? The glory of his snorting is terrible.
[JPS | EN | OT | Job | Chapter 39 | Verse 21] He paweth in the valley, and rejoiceth in his strength; he goeth out to meet the clash of arms.
[JPS | EN | OT | Job | Chapter 39 | Verse 22] He mocketh at fear, and is not affrighted; neither turneth he back from the sword.
[JPS | EN | OT | Job | Chapter 39 | Verse 23] The quiver rattleth upon him, the glittering spear and the javelin.
[JPS | EN | OT | Job | Chapter 39 | Verse 24] He swalloweth the ground with storm and rage; neither believeth he that it is the voice of the horn.
[JPS | EN | OT | Job | Chapter 39 | Verse 25] As oft as he heareth the horn he saith: 'Ha, ha!' and he smelleth the battle afar off, the thunder of the captains, and the shouting.
[JPS | EN | OT | Job | Chapter 39 | Verse 26] Doth the hawk soar by thy wisdom, and stretch her wings toward the south?
[JPS | EN | OT | Job | Chapter 39 | Verse 27] Doth the vulture mount up at thy command, and make her nest on high?
[JPS | EN | OT | Job | Chapter 39 | Verse 28] She dwelleth and abideth on the rock, upon the crag of the rock, and the stronghold.
[JPS | EN | OT | Job | Chapter 39 | Verse 29] From thence she spieth out the prey; her eyes behold it afar off.
[JPS | EN | OT | Job | Chapter 39 | Verse 30] Her young ones also suck up blood; and where the slain are, there is she.
