[JPS | EN | OT | Job | Chapter 8 | Verse 1] Then answered Bildad the Shuhite, and said:
[JPS | EN | OT | Job | Chapter 8 | Verse 2] How long wilt thou speak these things, seeing that the words of thy mouth are as a mighty wind?
[JPS | EN | OT | Job | Chapter 8 | Verse 3] Doth God pervert judgment? Or doth the Almighty pervert justice?
[JPS | EN | OT | Job | Chapter 8 | Verse 4] If thy children sinned against Him, He delivered them into the hand of their transgression.
[JPS | EN | OT | Job | Chapter 8 | Verse 5] If thou wouldest seek earnestly unto God, and make thy supplication to the Almighty;
[JPS | EN | OT | Job | Chapter 8 | Verse 6] If thou wert pure and upright; surely now He would awake for thee, and make the habitation of thy righteousness prosperous.
[JPS | EN | OT | Job | Chapter 8 | Verse 7] And though thy beginning was small, yet thy end should greatly increase.
[JPS | EN | OT | Job | Chapter 8 | Verse 8] For inquire, I pray thee, of the former generation, and apply thyself to that which their fathers have searched out —
[JPS | EN | OT | Job | Chapter 8 | Verse 9] For we are but of yesterday, and know nothing, because our days upon earth are a shadow —
[JPS | EN | OT | Job | Chapter 8 | Verse 10] Shall not they teach thee, and tell thee, and utter words out of their heart?
[JPS | EN | OT | Job | Chapter 8 | Verse 11] Can the rush shoot up without mire? Can the reed-grass grow without water?
[JPS | EN | OT | Job | Chapter 8 | Verse 12] Whilst it is yet in its greenness, and not cut down, it withereth before any other herb.
[JPS | EN | OT | Job | Chapter 8 | Verse 13] So are the paths of all that forget God; and the hope of the godless man shall perish;
[JPS | EN | OT | Job | Chapter 8 | Verse 14] Whose confidence is gossamer, and whose trust is a spider's web.
[JPS | EN | OT | Job | Chapter 8 | Verse 15] He shall lean upon his house, but it shall not stand; he shall hold fast thereby, but it shall not endure.
[JPS | EN | OT | Job | Chapter 8 | Verse 16] He is green before the sun, and his shoots go forth over his garden.
[JPS | EN | OT | Job | Chapter 8 | Verse 17] His roots are wrapped about the heap, he beholdeth the place of stones.
[JPS | EN | OT | Job | Chapter 8 | Verse 18] If he be destroyed from his place, then it shall deny him: 'I have not seen thee.'
[JPS | EN | OT | Job | Chapter 8 | Verse 19] Behold, this is the joy of his way, and out of the earth shall others spring.
[JPS | EN | OT | Job | Chapter 8 | Verse 20] Behold, God will not cast away an innocent man, neither will He uphold the evil-doers;
[JPS | EN | OT | Job | Chapter 8 | Verse 21] Till He fill thy mouth with laughter, and thy lips with shouting.
[JPS | EN | OT | Job | Chapter 8 | Verse 22] They that hate thee shall be clothed with shame; and the tent of the wicked shall be no more.
