[JPS | EN | OT | Job | Chapter 34 | Verse 1] Moreover Elihu answered and said:
[JPS | EN | OT | Job | Chapter 34 | Verse 2] Hear my words, ye wise men; and give ear unto me, ye that have knowledge.
[JPS | EN | OT | Job | Chapter 34 | Verse 3] For the ear trieth words, as the palate tasteth food.
[JPS | EN | OT | Job | Chapter 34 | Verse 4] Let us choose for us that which is right; let us know among ourselves what is good.
[JPS | EN | OT | Job | Chapter 34 | Verse 5] For Job hath said: 'I am righteous, and God hath taken away my right;
[JPS | EN | OT | Job | Chapter 34 | Verse 6] Notwithstanding my right I am accounted a liar; my wound is incurable, though I am without transgression.'
[JPS | EN | OT | Job | Chapter 34 | Verse 7] What man is like Job, who drinketh up scorning like water?
[JPS | EN | OT | Job | Chapter 34 | Verse 8] Who goeth in company with the workers of iniquity, and walketh with wicked men.
[JPS | EN | OT | Job | Chapter 34 | Verse 9] For he hath said: 'It profiteth a man nothing that he should be in accord with God.'
[JPS | EN | OT | Job | Chapter 34 | Verse 10] Therefore hearken unto me, ye men of understanding: Far be it from God, that He should do wickedness; and from the Almighty, that He should commit iniquity.
[JPS | EN | OT | Job | Chapter 34 | Verse 11] For the work of a man will He requite unto him, and cause every man to find according to his ways.
[JPS | EN | OT | Job | Chapter 34 | Verse 12] Yea, of a surety, God will not do wickedly, neither will the Almighty pervert justice.
[JPS | EN | OT | Job | Chapter 34 | Verse 13] Who gave Him a charge over the earth? Or who hath disposed the whole world?
[JPS | EN | OT | Job | Chapter 34 | Verse 14] If He set His heart upon man, if He gather unto Himself his spirit and his breath;
[JPS | EN | OT | Job | Chapter 34 | Verse 15] All flesh shall perish together, and man shall return unto dust.
[JPS | EN | OT | Job | Chapter 34 | Verse 16] If now thou hast understanding, hear this; hearken to the voice of my words.
[JPS | EN | OT | Job | Chapter 34 | Verse 17] Shall even one that hateth right govern? And wilt thou condemn Him that is just and mighty —
[JPS | EN | OT | Job | Chapter 34 | Verse 18] Is it fit to say to a king: 'Thou art base'? Or to nobles: 'Ye are wicked'? —
[JPS | EN | OT | Job | Chapter 34 | Verse 19] That respecteth not the persons of princes, nor regardeth the rich more than the poor? For they all are the work of His hands.
[JPS | EN | OT | Job | Chapter 34 | Verse 20] In a moment they die, even at midnight; the people are shaken and pass away, and the mighty are taken away without hand.
[JPS | EN | OT | Job | Chapter 34 | Verse 21] For His eyes are upon the ways of a man, and He seeth all his goings.
[JPS | EN | OT | Job | Chapter 34 | Verse 22] There is no darkness, nor shadow of death, where the workers of iniquity may hide themselves.
[JPS | EN | OT | Job | Chapter 34 | Verse 23] For He doth not appoint a time unto any man, when he should go before God in judgment.
[JPS | EN | OT | Job | Chapter 34 | Verse 24] He breaketh in pieces mighty men without inquisition, and setteth others in their stead.
[JPS | EN | OT | Job | Chapter 34 | Verse 25] Therefore He taketh knowledge of their works; and He overturneth them in the night, so that they are crushed.
[JPS | EN | OT | Job | Chapter 34 | Verse 26] He striketh them as wicked men in the open sight of others;
[JPS | EN | OT | Job | Chapter 34 | Verse 27] Because they turned aside from following Him, and would not have regard to any of His ways;
[JPS | EN | OT | Job | Chapter 34 | Verse 28] So that they cause the cry of the poor to come unto Him, and He heareth the cry of the afflicted.
[JPS | EN | OT | Job | Chapter 34 | Verse 29] When He giveth quietness, who then can condemn? And when He hideth His face, who then can behold Him? whether it be done unto a nation, or unto a man, alike;
[JPS | EN | OT | Job | Chapter 34 | Verse 30] That the godless man reign not, that there be none to ensnare the people.
[JPS | EN | OT | Job | Chapter 34 | Verse 31] For hath any said unto God: 'I have borne chastisement, though I offend not;
[JPS | EN | OT | Job | Chapter 34 | Verse 32] That which I see not teach Thou me; if I have done iniquity, I will do it no more'?
[JPS | EN | OT | Job | Chapter 34 | Verse 33] Shall His recompense be as thou wilt? For thou loathest it, so that thou must choose, and not I; therefore speak what thou knowest.
[JPS | EN | OT | Job | Chapter 34 | Verse 34] Men of understanding will say unto me, yea, every wise man that heareth me:
[JPS | EN | OT | Job | Chapter 34 | Verse 35] 'Job speaketh without knowledge, and his words are without discernment.'
[JPS | EN | OT | Job | Chapter 34 | Verse 36] Would that Job were tried unto the end, because of his answering like wicked men.
[JPS | EN | OT | Job | Chapter 34 | Verse 37] For he addeth rebellion unto his sin, he clappeth his hands among us, and multiplieth his words against God.
