[JPS | EN | OT | Job | Chapter 24 | Verse 1] Why are times not laid up by the Almighty? And why do not they that know Him see His days?
[JPS | EN | OT | Job | Chapter 24 | Verse 2] There are that remove the landmarks; they violently take away flocks, and feed them.
[JPS | EN | OT | Job | Chapter 24 | Verse 3] They drive away the ass of the fatherless, they take the widow's ox for a pledge.
[JPS | EN | OT | Job | Chapter 24 | Verse 4] They turn the needy out of the way; the poor of the earth hide themselves together.
[JPS | EN | OT | Job | Chapter 24 | Verse 5] Behold, as wild asses in the wilderness they go forth to their work, seeking diligently for food; the desert yieldeth them bread for their children.
[JPS | EN | OT | Job | Chapter 24 | Verse 6] They cut his provender in the field; and they despoil the vineyard of the wicked.
[JPS | EN | OT | Job | Chapter 24 | Verse 7] They lie all night naked without clothing, and have no covering in the cold.
[JPS | EN | OT | Job | Chapter 24 | Verse 8] They are wet with the showers of the mountains, and embrace the rock for want of a shelter.
[JPS | EN | OT | Job | Chapter 24 | Verse 9] There are that pluck the fatherless from the breast, and take a pledge of the poor;
[JPS | EN | OT | Job | Chapter 24 | Verse 10] So that they go about naked without clothing, and being hungry they carry the sheaves;
[JPS | EN | OT | Job | Chapter 24 | Verse 11] They make oil within the rows of these men; they tread their winepresses, and suffer thirst.
[JPS | EN | OT | Job | Chapter 24 | Verse 12] From out of the populous city men groan, and the soul of the wounded crieth out; yet God imputeth it not for unseemliness.
[JPS | EN | OT | Job | Chapter 24 | Verse 13] These are of them that rebel against the light; they know not the ways thereof, nor abide in the paths thereof.
[JPS | EN | OT | Job | Chapter 24 | Verse 14] The murderer riseth with the light, to kill the poor and needy; and in the night he is as a thief.
[JPS | EN | OT | Job | Chapter 24 | Verse 15] The eye also of the adulterer waiteth for the twilight, saying: 'No eye shall see me'; and he putteth a covering on his face.
[JPS | EN | OT | Job | Chapter 24 | Verse 16] In the dark they dig through houses; they shut themselves up in the day-time; they know not the light.
[JPS | EN | OT | Job | Chapter 24 | Verse 17] For the shadow of death is to all of them as the morning; for they know the terrors of the shadow of death.
[JPS | EN | OT | Job | Chapter 24 | Verse 18] He is swift upon the face of the waters; their portion is cursed in the earth; he turneth not by the way of the vineyards.
[JPS | EN | OT | Job | Chapter 24 | Verse 19] Drought and heat consume the snow waters; so doth the nether-world those that have sinned.
[JPS | EN | OT | Job | Chapter 24 | Verse 20] The womb forgetteth him; the worm feedeth sweetly on him; he shall be no more remembered; and unrighteousness is broken as a tree.
[JPS | EN | OT | Job | Chapter 24 | Verse 21] He devoureth the barren that beareth not; and doeth not good to the widow.
[JPS | EN | OT | Job | Chapter 24 | Verse 22] He draweth away the mighty also by his power; he riseth up, and he trusteth not his own life.
[JPS | EN | OT | Job | Chapter 24 | Verse 23] Though it be given him to be in safety, whereon he resteth, yet His eyes are upon their ways.
[JPS | EN | OT | Job | Chapter 24 | Verse 24] They are exalted for a little while, and they are gone; yea, they are brought low, they are gathered in as all others, and wither as the tops of the ears of corn.
[JPS | EN | OT | Job | Chapter 24 | Verse 25] And if it be not so now, who will prove me a liar, and make my speech nothing worth?
