[JPS | EN | OT | Job | Chapter 18 | Verse 1] Then answered Bildad the Shuhite, and said:
[JPS | EN | OT | Job | Chapter 18 | Verse 2] How long will ye lay snares for words? Consider, and afterwards we will speak.
[JPS | EN | OT | Job | Chapter 18 | Verse 3] Wherefore are we counted as beasts, and reputed dull in your sight?
[JPS | EN | OT | Job | Chapter 18 | Verse 4] Thou that tearest thyself in thine anger, shall the earth be forsaken for thee? Or shall the rock be removed out of its place?
[JPS | EN | OT | Job | Chapter 18 | Verse 5] Yea, the light of the wicked shall be put out, and the spark of his fire shall not shine.
[JPS | EN | OT | Job | Chapter 18 | Verse 6] The light shall be dark in his tent, and his lamp over him shall be put out.
[JPS | EN | OT | Job | Chapter 18 | Verse 7] The steps of his strength shall be straitened, and his own counsel shall cast him down.
[JPS | EN | OT | Job | Chapter 18 | Verse 8] For he is cast into a net by his own feet, and he walketh upon the toils.
[JPS | EN | OT | Job | Chapter 18 | Verse 9] A gin shall take him by the heel, and a snare shall lay hold on him.
[JPS | EN | OT | Job | Chapter 18 | Verse 10] A noose is hid for him in the ground, and a trap for him in the way.
[JPS | EN | OT | Job | Chapter 18 | Verse 11] Terrors shall overwhelm him on every side, and shall entrap him at his feet.
[JPS | EN | OT | Job | Chapter 18 | Verse 12] His trouble shall be ravenous, and calamity shall be ready for his fall.
[JPS | EN | OT | Job | Chapter 18 | Verse 13] It shall devour the members of his body, yea, the first-born of death shall devour his members.
[JPS | EN | OT | Job | Chapter 18 | Verse 14] That wherein he trusteth shall be plucked out of his tent; and he shall be brought to the king of terrors.
[JPS | EN | OT | Job | Chapter 18 | Verse 15] There shall dwell in his tent that which is none of his; brimstone shall be scattered upon his habitation.
[JPS | EN | OT | Job | Chapter 18 | Verse 16] His roots shall dry up beneath, and above shall his branch wither.
[JPS | EN | OT | Job | Chapter 18 | Verse 17] His remembrance shall perish from the earth, and he shall have no name abroad.
[JPS | EN | OT | Job | Chapter 18 | Verse 18] He shall be driven from light into darkness, and chased out of the world.
[JPS | EN | OT | Job | Chapter 18 | Verse 19] He shall have neither son nor son's son among his people, nor any remaining in his dwellings.
[JPS | EN | OT | Job | Chapter 18 | Verse 20] They that come after shall be astonished at his day, as they that went before are affrighted.
[JPS | EN | OT | Job | Chapter 18 | Verse 21] Surely such are the dwellings of the wicked, and this is the place of him that knoweth not God.
