[JPS | EN | OT | Job | Chapter 23 | Verse 1] Then Job answered and said:
[JPS | EN | OT | Job | Chapter 23 | Verse 2] Even to-day is my complaint bitter; my hand is become heavy because of my groaning.
[JPS | EN | OT | Job | Chapter 23 | Verse 3] Oh that I knew where I might find Him, that I might come even to His seat!
[JPS | EN | OT | Job | Chapter 23 | Verse 4] I would order my cause before Him, and fill my mouth with arguments.
[JPS | EN | OT | Job | Chapter 23 | Verse 5] I would know the words which He would answer me, and understand what He would say unto me.
[JPS | EN | OT | Job | Chapter 23 | Verse 6] Would He contend with me in His great power? Nay; but He would give heed unto me.
[JPS | EN | OT | Job | Chapter 23 | Verse 7] There the upright might reason with Him; so should I be delivered for ever from my Judge.
[JPS | EN | OT | Job | Chapter 23 | Verse 8] Behold, I go forward, but He is not there, and backward, but I cannot perceive Him;
[JPS | EN | OT | Job | Chapter 23 | Verse 9] On the left hand, when He doth work, but I cannot behold Him, He turneth Himself to the right hand, but I cannot see Him.
[JPS | EN | OT | Job | Chapter 23 | Verse 10] For He knoweth the way that I take; when He hath tried me, I shall come forth as gold.
[JPS | EN | OT | Job | Chapter 23 | Verse 11] My foot hath held fast to His steps, His way have I kept, and turned not aside.
[JPS | EN | OT | Job | Chapter 23 | Verse 12] I have not gone back from the commandment of His lips; I have treasured up the words of His mouth more than my necessary food.
[JPS | EN | OT | Job | Chapter 23 | Verse 13] But He is at one with Himself, and who can turn Him? And what His soul desireth, even that He doeth.
[JPS | EN | OT | Job | Chapter 23 | Verse 14] For He will perform that which is appointed for me; and many such things are with Him.
[JPS | EN | OT | Job | Chapter 23 | Verse 15] Therefore am I affrighted at His presence; when I consider, I am afraid of Him.
[JPS | EN | OT | Job | Chapter 23 | Verse 16] Yea, God hath made my heart faint, and the Almighty hath affrighted me;
[JPS | EN | OT | Job | Chapter 23 | Verse 17] Because I was not cut off before the darkness, neither did He cover the thick darkness from my face.
