[JPS | EN | OT | Job | Chapter 36 | Verse 1] Elihu also proceeded, and said:
[JPS | EN | OT | Job | Chapter 36 | Verse 2] Suffer me a little, and I will tell thee; for there are yet words on God's behalf.
[JPS | EN | OT | Job | Chapter 36 | Verse 3] I will fetch my knowledge from afar, and will ascribe righteousness to my Maker.
[JPS | EN | OT | Job | Chapter 36 | Verse 4] For truly my words are not false; one that is upright in mind is with thee.
[JPS | EN | OT | Job | Chapter 36 | Verse 5] Behold, God is mighty, yet He despiseth not any; He is mighty in strength of understanding.
[JPS | EN | OT | Job | Chapter 36 | Verse 6] He preserveth not the life of the wicked; but giveth to the poor their right.
[JPS | EN | OT | Job | Chapter 36 | Verse 7] He withdraweth not His eyes from the righteous; but with kings upon the throne He setteth them for ever, and they are exalted.
[JPS | EN | OT | Job | Chapter 36 | Verse 8] And if they be bound in fetters, and be holden in cords of affliction;
[JPS | EN | OT | Job | Chapter 36 | Verse 9] Then He declareth unto them their work, and their transgressions, that they have behaved themselves proudly.
[JPS | EN | OT | Job | Chapter 36 | Verse 10] He openeth also their ear to discipline, and commandeth that they return from iniquity.
[JPS | EN | OT | Job | Chapter 36 | Verse 11] If they hearken and serve Him, they shall spend their days in prosperity, and their years in pleasures.
[JPS | EN | OT | Job | Chapter 36 | Verse 12] But if they hearken not, they shall perish by the sword, and they shall die without knowledge.
[JPS | EN | OT | Job | Chapter 36 | Verse 13] But they that are godless in heart lay up anger; they cry not for help when He bindeth them.
[JPS | EN | OT | Job | Chapter 36 | Verse 14] Their soul perisheth in youth, and their life as that of the depraved.
[JPS | EN | OT | Job | Chapter 36 | Verse 15] He delivereth the afflicted by His affliction, and openeth their ear by tribulation.
[JPS | EN | OT | Job | Chapter 36 | Verse 16] Yea, He hath allured thee out of distress into a broad place, where there is no straitness; and that which is set on thy table is full of fatness;
[JPS | EN | OT | Job | Chapter 36 | Verse 17] And thou art full of the judgment of the wicked; judgment and justice take hold on them.
[JPS | EN | OT | Job | Chapter 36 | Verse 18] For beware of wrath, lest thou be led away by thy sufficiency; neither let the greatness of the ransom turn thee aside.
[JPS | EN | OT | Job | Chapter 36 | Verse 19] Will thy riches avail, that are without stint, or all the forces of thy strength?
[JPS | EN | OT | Job | Chapter 36 | Verse 20] Desire not the night, when peoples are cut off in their place.
[JPS | EN | OT | Job | Chapter 36 | Verse 21] Take heed, regard not iniquity; for this hast thou chosen rather than affliction.
[JPS | EN | OT | Job | Chapter 36 | Verse 22] Behold, God doeth loftily in His power; who is a teacher like Him?
[JPS | EN | OT | Job | Chapter 36 | Verse 23] Who hath enjoined Him His way? Or who hath said: 'Thou hast wrought unrighteousness'?
[JPS | EN | OT | Job | Chapter 36 | Verse 24] Remember that thou magnify His work, whereof men have sung.
[JPS | EN | OT | Job | Chapter 36 | Verse 25] All men have looked thereon; man beholdeth it afar off.
[JPS | EN | OT | Job | Chapter 36 | Verse 26] Behold, God is great, beyond our knowledge; the number of His years is unsearchable.
[JPS | EN | OT | Job | Chapter 36 | Verse 27] For He draweth away the drops of water, which distil rain from His vapour;
[JPS | EN | OT | Job | Chapter 36 | Verse 28] Which the skies pour down and drop upon the multitudes of men.
[JPS | EN | OT | Job | Chapter 36 | Verse 29] Yea, can any understand the spreadings of the clouds, the crashings of His pavilion?
[JPS | EN | OT | Job | Chapter 36 | Verse 30] Behold, He spreadeth His light upon it; and He covereth the depths of the sea.
[JPS | EN | OT | Job | Chapter 36 | Verse 31] For by these He judgeth the peoples; He giveth food in abundance.
[JPS | EN | OT | Job | Chapter 36 | Verse 32] He covereth His hands with the lightning, and giveth it a charge that it strike the mark.
[JPS | EN | OT | Job | Chapter 36 | Verse 33] The noise thereof telleth concerning it, the cattle also concerning the storm that cometh up.
