[JPS | EN | OT | Job | Chapter 32 | Verse 1] So these three men ceased to answer Job, because he was righteous in his own eyes.
[JPS | EN | OT | Job | Chapter 32 | Verse 2] Then was kindled the wrath of Elihu the son of Barachel the Buzite, of the family of Ram; against Job was his wrath kindled, because he justified himself rather than God.
[JPS | EN | OT | Job | Chapter 32 | Verse 3] Also against his three friends was his wrath kindled, because they had found no answer, and yet had condemned Job.
[JPS | EN | OT | Job | Chapter 32 | Verse 4] Now Elihu had waited to speak unto Job, because they were older than he.
[JPS | EN | OT | Job | Chapter 32 | Verse 5] And when Elihu saw that there was no answer in the mouth of these three men, his wrath was kindled.
[JPS | EN | OT | Job | Chapter 32 | Verse 6] And Elihu the son of Barachel the Buzite answered and said: I am young, and ye are very old; wherefore I held back, and durst not declare you mine opinion.
[JPS | EN | OT | Job | Chapter 32 | Verse 7] I said: 'Days should speak, and multitude of years should teach wisdom.'
[JPS | EN | OT | Job | Chapter 32 | Verse 8] But it is a spirit in man, and the breath of the Almighty, that giveth them understanding.
[JPS | EN | OT | Job | Chapter 32 | Verse 9] It is not the great that are wise, nor the aged that discern judgment.
[JPS | EN | OT | Job | Chapter 32 | Verse 10] Therefore I say: 'Hearken to me; I also will declare mine opinion.'
[JPS | EN | OT | Job | Chapter 32 | Verse 11] Behold, I waited for your words, I listened for your reasons, whilst ye searched out what to say.
[JPS | EN | OT | Job | Chapter 32 | Verse 12] Yea, I attended unto you, and, behold, there was none that convinced Job, or that answered his words, among you.
[JPS | EN | OT | Job | Chapter 32 | Verse 13] Beware lest ye say: 'We have found wisdom; God may vanquish him, not man!'
[JPS | EN | OT | Job | Chapter 32 | Verse 14] For he hath not directed his words against me; neither will I answer him with your speeches.
[JPS | EN | OT | Job | Chapter 32 | Verse 15] They are amazed, they answer no more; words are departed from them.
[JPS | EN | OT | Job | Chapter 32 | Verse 16] And shall I wait, because they speak not, because they stand still, and answer no more?
[JPS | EN | OT | Job | Chapter 32 | Verse 17] I also will answer my part, I also will declare mine opinion.
[JPS | EN | OT | Job | Chapter 32 | Verse 18] For I am full of words; the spirit within me constraineth me.
[JPS | EN | OT | Job | Chapter 32 | Verse 19] Behold, mine inwards are as wine which hath no vent; like new wine-skins which are ready to burst.
[JPS | EN | OT | Job | Chapter 32 | Verse 20] I will speak, that I may find relief; I will open my lips and answer.
[JPS | EN | OT | Job | Chapter 32 | Verse 21] Let me not, I pray you, respect any man's person; neither will I give flattering titles unto any man.
[JPS | EN | OT | Job | Chapter 32 | Verse 22] For I know not to give flattering titles; else would my Maker soon take me away.
