[JPS | EN | OT | Job | Chapter 15 | Verse 1] Then answered Eliphaz the Temanite, and said:
[JPS | EN | OT | Job | Chapter 15 | Verse 2] Should a wise man make answer with windy knowledge, and fill his belly with the east wind?
[JPS | EN | OT | Job | Chapter 15 | Verse 3] Should he reason with unprofitable talk, or with speeches wherewith he can do no good?
[JPS | EN | OT | Job | Chapter 15 | Verse 4] Yea, thou doest away with fear, and impairest devotion before God.
[JPS | EN | OT | Job | Chapter 15 | Verse 5] For thine iniquity teacheth thy mouth, and thou choosest the tongue of the crafty.
[JPS | EN | OT | Job | Chapter 15 | Verse 6] Thine own mouth condemneth thee, and not I; yea, thine own lips testify against thee.
[JPS | EN | OT | Job | Chapter 15 | Verse 7] Art thou the first man that was born? Or wast thou brought forth before the hills?
[JPS | EN | OT | Job | Chapter 15 | Verse 8] Dost thou hearken in the council of God? And dost thou restrain wisdom to thyself?
[JPS | EN | OT | Job | Chapter 15 | Verse 9] What knowest thou, that we know not? What understandest thou, which is not in us?
[JPS | EN | OT | Job | Chapter 15 | Verse 10] With us are both the gray-headed and the very aged men, much older than thy father.
[JPS | EN | OT | Job | Chapter 15 | Verse 11] Are the consolations of God too small for thee, and the word that dealeth gently with thee?
[JPS | EN | OT | Job | Chapter 15 | Verse 12] Why doth thy heart carry thee away? And why do thine eyes wink?
[JPS | EN | OT | Job | Chapter 15 | Verse 13] That thou turnest thy spirit against God, and lettest such words go out of thy mouth.
[JPS | EN | OT | Job | Chapter 15 | Verse 14] What is man, that he should be clean? And he that is born of a woman, that he should be righteous?
[JPS | EN | OT | Job | Chapter 15 | Verse 15] Behold, He putteth no trust in His holy ones; yea, the heavens are not clean in His sight.
[JPS | EN | OT | Job | Chapter 15 | Verse 16] How much less one that is abominable and impure, man who drinketh iniquity like water!
[JPS | EN | OT | Job | Chapter 15 | Verse 17] I will tell thee, hear thou me; and that which I have seen I will declare —
[JPS | EN | OT | Job | Chapter 15 | Verse 18] Which wise men have told from their fathers, and have not hid it;
[JPS | EN | OT | Job | Chapter 15 | Verse 19] Unto whom alone the land was given, and no stranger passed among them.
[JPS | EN | OT | Job | Chapter 15 | Verse 20] The wicked man travaileth with pain all his days, even the number of years that are laid up for the oppressor.
[JPS | EN | OT | Job | Chapter 15 | Verse 21] A sound of terrors is in his ears: in prosperity the destroyer shall come upon him.
[JPS | EN | OT | Job | Chapter 15 | Verse 22] He believeth not that he shall return out of darkness, and he is waited for of the sword.
[JPS | EN | OT | Job | Chapter 15 | Verse 23] He wandereth abroad for bread: 'Where is it?' He knoweth that the day of darkness is ready at his hand.
[JPS | EN | OT | Job | Chapter 15 | Verse 24] Distress and anguish overwhelm him; they prevail against him, as a king ready to the battle.
[JPS | EN | OT | Job | Chapter 15 | Verse 25] Because he hath stretched out his hand against God, and behaveth himself proudly against the Almighty;
[JPS | EN | OT | Job | Chapter 15 | Verse 26] He runneth upon him with a stiff neck, with the thick bosses of his bucklers.
[JPS | EN | OT | Job | Chapter 15 | Verse 27] Because he hath covered his face with his fatness, and made collops of fat on his loins;
[JPS | EN | OT | Job | Chapter 15 | Verse 28] And he hath dwelt in desolate cities, in houses which no man would inhabit, which were ready to become heaps.
[JPS | EN | OT | Job | Chapter 15 | Verse 29] He shall not be rich, neither shall his substance continue, neither shall their produce bend to the earth.
[JPS | EN | OT | Job | Chapter 15 | Verse 30] He shall not depart out of darkness; the flame shall dry up his branches, and by the breath of His mouth shall he go away.
[JPS | EN | OT | Job | Chapter 15 | Verse 31] Let him not trust in vanity, deceiving himself; for vanity shall be his recompense.
[JPS | EN | OT | Job | Chapter 15 | Verse 32] It shall be accomplished before his time, and his branch shall not be leafy.
[JPS | EN | OT | Job | Chapter 15 | Verse 33] He shall shake off his unripe grape as the vine, and shall cast off his flower as the olive.
[JPS | EN | OT | Job | Chapter 15 | Verse 34] For the company of the godless shall be desolate, and fire shall consume the tents of bribery.
[JPS | EN | OT | Job | Chapter 15 | Verse 35] They conceive mischief, and bring forth iniquity, and their belly prepareth deceit.
