[IRV | KN | OT | Exodus | Chapter 40 | Verse 1] ಆಗ ಯೆಹೋವನು ಮೋಶೆಗೆ,
[IRV | KN | OT | Exodus | Chapter 40 | Verse 2] “ಮೊದಲನೆಯ ತಿಂಗಳಿನ ಪ್ರಥಮ ದಿನದಲ್ಲಿ ದೇವದರ್ಶನದ ಗುಡಾರವನ್ನು ತೆರೆಯಬೇಕು.
[IRV | KN | OT | Exodus | Chapter 40 | Verse 3] ಆಜ್ಞಾಶಾಸನಗಳ ಮಂಜೂಷವನ್ನು ಅದರಲ್ಲಿ ಇಟ್ಟು ಆ ಮಂಜೂಷವನ್ನು ಪರದೆಯಿಂದ ಮರೆಮಾಡಬೇಕು.
[IRV | KN | OT | Exodus | Chapter 40 | Verse 4] ಆ ಮೇಲೆ ಮೇಜನ್ನು ಒಳಗೆ ತಂದು ಅದರ ಮೇಲಿಡಬೇಕಾದದ್ದನ್ನು ಸರಿಯಾಗಿ ಇಡಬೇಕು; ದೀಪಸ್ತಂಭವನ್ನು ಒಳಗೆ ತಂದು ಅದರ ಹಣತೆಗಳನ್ನು ಸರಿಯಾಗಿ ಇಡಬೇಕು.
[IRV | KN | OT | Exodus | Chapter 40 | Verse 5] ಆಜ್ಞಾಶಾಸನಗಳ ಮಂಜೂಷದ ಎದುರಾಗಿ ಚಿನ್ನದ ಧೂಪವೇದಿಯನ್ನು ಇಟ್ಟು ಗುಡಾರದ ಬಾಗಿಲಿನ ಪರದೆಯನ್ನು ಕಟ್ಟಬೇಕು.
[IRV | KN | OT | Exodus | Chapter 40 | Verse 6] ದೇವದರ್ಶನ ಗುಡಾರದ ಬಾಗಿಲಿನ ಮುಂದೆ ಸರ್ವಾಂಗಹೋಮ ಯಜ್ಞವೇದಿಯನ್ನು ಇರಿಸಬೇಕು.
[IRV | KN | OT | Exodus | Chapter 40 | Verse 7] ದೇವದರ್ಶನದ ಗುಡಾರಕ್ಕೂ, ಯಜ್ಞವೇದಿಗೂ ನಡುವೆ ದೊಡ್ಡ ತೊಟ್ಟಿಯೊಂದನ್ನು ಇಟ್ಟು ಅದರಲ್ಲಿ ನೀರನ್ನು ತುಂಬಿಸಬೇಕು.
[IRV | KN | OT | Exodus | Chapter 40 | Verse 8] ಅಂಗಳದ ಸುತ್ತಲಿನ ಆವರಣವನ್ನು ತೆರೆದು, ಅಂಗಳದ ಬಾಗಿಲಿಗೆ ಪರದೆಯನ್ನು ತೂಗಿಬಿಡಬೇಕು.
[IRV | KN | OT | Exodus | Chapter 40 | Verse 9] “ನೀನು ಅಭಿಷೇಕತೈಲವನ್ನು ತೆಗೆದುಕೊಂಡು ಗುಡಾರವನ್ನೂ ಅದರಲ್ಲಿರುವುದೆಲ್ಲವನ್ನೂ ಅದರ ಎಲ್ಲಾ ಉಪಕರಣಗಳನ್ನೂ ಅಭಿಷೇಕಿಸಿ ನನಗಾಗಿ ಪ್ರತಿಷ್ಠಿಸಬೇಕು; ಅಂದಿನಿಂದ ಅದು ಪರಿಶುದ್ಧವಾಗಿರುವುದು.
[IRV | KN | OT | Exodus | Chapter 40 | Verse 10] ಯಜ್ಞವೇದಿಯನ್ನೂ ಅದರ ಉಪಕರಣಗಳನ್ನೂ ಅಭಿಷೇಕಿಸಿ ಸರ್ವಾಂಗಹೋಮ ಯಜ್ಞವೇದಿಯನ್ನು ಪ್ರತಿಷ್ಠಿಸಬೇಕು; ಆ ಯಜ್ಞವೇದಿ ಅತ್ಯಂತ ಪರಿಶುದ್ಧವಾಗಿರಬೇಕು.
[IRV | KN | OT | Exodus | Chapter 40 | Verse 11] ನೀನು ತಾಮ್ರದ ಬೋಗುಣಿಯನ್ನೂ ಅದರ ಪೀಠವನ್ನೂ ಅಭಿಷೇಕಿಸಿ ಪ್ರತಿಷ್ಠಿಸಬೇಕು.
