[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 1] وَانْتَقَدَتْ مَرْيَمُ وَهروُنُ مُوسَى لِزَوَاجِهِ مِنِ امْرَأَةٍ كُوشِيَّةٍ،
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 2] وَقَالا: «هَلْ كَلَّمَ الرَّبُّ مُوسَى وَحْدَهُ؟ أَلَمْ يُكَلِّمْنَا نَحْنُ أَيْضاً؟» فَسَمِعَ الرَّبُّ.
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 3] أَمَّا مُوسَى فَقَدْ كَانَ أَكْثَرَ حِلْماً مِنْ جَمِيعِ النَّاسِ الَّذِينَ عَلَى وَجْهِ الأَرْضِ.
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 4] فَقَالَ الرَّبُّ حَالاً لِمُوسَى وَهَرُونَ وَمَرْيَمَ: «اذْهَبُوا أَنْتُمُ الثَّلاثَةُ إِلَى خَيْمَةِ الاجْتِمَاعِ». فَمَضَى ثَلاثَتُهُمْ.
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 5] فَنَزَلَ الرَّبُّ فِي عَمُودِ سَحَابٍ وَحَلَّ عِنْدَ بَابِ الْخَيْمَةِ، وَنَادَى هَرُونَ وَمَرْيَمَ، فَتَقَدَّمَا وَحْدَهُمَا،
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 6] فَقَالَ: «اسْمَعَا كَلامِي: إِنْ كَانَ بَيْنَكُمْ نَبِيٌّ لِلرَّبِّ فَإِنِّي أَسْتَعْلِنُ لَهُ بِالرُّؤْيَا، وَأُكَلِّمُهُ بِالْحُلْمِ،
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 7] أَمَّا عَبْدِي مُوسَى فَلَسْتُ أُعَامِلُهُ هَكَذَا، بَلْ هُوَ أَمِينٌ فِي بَيْتِي،
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 8] لِذَلِكَ أُكَلِّمُهُ وَجْهاً لِوَجْهٍ، وَبِوُضُوحٍ مِنْ غَيْرِ أَلْغَازٍ، وَيُعَايِنُ صُورَةَ الرَّبِّ. فَلِمَاذَا جَرُؤْتُمَا عَلَى انْتِقَادِ عَبْدِي مُوسَى؟»
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 9] وَاحْتَدَّ غَضَبُ الرَّبِّ عَلَيْهِمَا، ثُمَّ مَضَى عَنْهُمَا.
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 10] فَلَمَّا ارْتَفَعَتِ السَّحَابَةُ عَنْ خَيْمَةِ الاجْتِمَاعِ، إِذَا مَرْيَمُ بَرْصَاءُ كَالثَّلْجِ فَالْتَفَتَ هَرُونُ وَمُوسَى نَحْوَ مَرْيَمَ، وَإذَا هِيَ مُصَابَةٌ بِالْبَرَصِ.
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 11] فَقَالَ هَروُنُ لِمُوسَى: «أَرْجُوكَ يَا سَيِّدِي، لَا تُحَمِّلْنَا الْخَطِيئَةَ الَّتِي ارْتَكَبْنَاهَا كَالْحَمْقَى، وَأَسَأْنَا بِها إِلَيْكَ.
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 12] وَلا تَجْعَلْ مَرْيَمَ كَالْجَنِينِ الْمَيْتِ الْخَارِجِ مِنْ رَحِمِ أُمِّهِ وَقَدْ تَهَرَّأَ نِصْفُ لَحْمِهِ».
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 13] فَصَرَخَ مُوسَى إِلَى الرَّبِّ قَائِلاً: «اللهُمَّ اشْفِهَا».
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 14] فَأَجَابَهُ الرَّبُّ: «لَوْ أَنَّ أَبَاهَا بَصَقَ فِي وَجْهِهَا، أَمَا كَانَتْ تَمْكُثُ خَجِلَةً سَبْعَةَ أَيَّامٍ؟ فَلْتُحْجَزْ خَارِجَ الْمُخَيَّمِ سَبْعَةَ أَيَّامٍ وَبَعْدَ ذَلِكَ تَرْجِعُ».
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 15] فَحُجِزَتْ مَرْيَمُ سَبْعَةَ أَيَّامٍ خَارِجَ الْمُخَيَّمِ، وَلَمْ يَرْتَحِلِ الشَّعْبُ حَتَّى عَادَتْ مَرْيَمُ،
[VANDYKE | AR | OT | Numbers | Chapter 12 | Verse 16] وَبَعْدَ ذَلِكَ ارْتَحَلَ الشَّعْبُ مِنْ حَضَيْرُوتَ وَنَزَلُوا فِي صَحْرَاءِ فَارَانَ.
