[VANDYKE | AR | OT | Numbers | Chapter 15 | Verse 1] وَكَلَّمَ ٱلرَّبُّ مُوسَى قَائِلًا:
[VANDYKE | AR | OT | Numbers | Chapter 15 | Verse 2] «كَلِّمْ بَنِي إِسْرَائِيلَ وَقُلْ لَهُمْ: مَتَى جِئْتُمْ إِلَى أَرْضِ مَسْكَنِكُمُ ٱلَّتِي أَنَا أُعْطِيكُمْ،
[VANDYKE | AR | OT | Numbers | Chapter 15 | Verse 3] وَعَمِلْتُمْ وَقُودًا لِلرَّبِّ، مُحْرَقَةً أَوْ ذَبِيحَةً، وَفَاءً لِنَذْرٍ أَوْ نَافِلَةً أَوْ فِي أَعْيَادِكُمْ، لِعَمَلِ رَائِحَةِ سَرُورٍ لِلرَّبِّ مِنَ ٱلْبَقَرِ أَوْ مِنَ ٱلْغَنَمِ،
[VANDYKE | AR | OT | Numbers | Chapter 15 | Verse 4] يُقَرِّبُ ٱلَّذِي قَرَّبَ قُرْبَانَهُ لِلرَّبِّ تَقْدِمَةً مِنْ دَقِيقٍ، عُشْرًا مَلْتُوتًا بِرُبْعِ ٱلْهِينِ مِنَ ٱلزَّيْتِ،
[VANDYKE | AR | OT | Numbers | Chapter 15 | Verse 5] وَخَمْرًا لِلسَّكِيبِ رُبْعَ ٱلْهِينِ. تَعْمَلُ عَلَى ٱلْمُحْرَقَةِ أَوِ ٱلذَّبِيحَةِ لِلْخَرُوفِ ٱلْوَاحِدِ.
[VANDYKE | AR | OT | Numbers | Chapter 15 | Verse 6] لَكِنْ لِلْكَبْشِ تَعْمَلُ تَقْدِمَةً مِنْ دَقِيقٍ عُشْرَيْنِ مَلْتُوتَيْنِ بِثُلْثِ ٱلْهِينِ مِنَ ٱلزَّيْتِ،
[VANDYKE | AR | OT | Numbers | Chapter 15 | Verse 7] وَخَمْرًا لِلسَّكِيبِ ثُلْثَ ٱلْهِينِ تُقَرِّبُ لِرَائِحَةِ سَرُورٍ لِلرَّبِّ.
[VANDYKE | AR | OT | Numbers | Chapter 15 | Verse 8] وَإِذَا عَمِلْتَ ٱبْنَ بَقَرٍ مُحْرَقَةً أَوْ ذَبِيحَةً وَفَاءً لِنَذْرٍ أَوْ ذَبِيحَةَ سَلَامَةٍ لِلرَّبِّ،
[VANDYKE | AR | OT | Numbers | Chapter 15 | Verse 9] تُقَرِّبُ عَلَى ٱبْنِ ٱلْبَقَرِ تَقْدِمَةً مِنْ دَقِيقٍ ثَلَاثَةَ أَعْشَارٍ مَلْتُوتَةً بِنِصْفِ ٱلْهِينِ مِنَ ٱلزَّيْتِ،
[VANDYKE | AR | OT | Numbers | Chapter 15 | Verse 10] وَخَمْرًا تُقَرِّبُ لِلسَّكِيبِ نِصْفَ ٱلْهِينِ وَقُودَ رَائِحَةِ سَرُورٍ لِلرَّبِّ.
[VANDYKE | AR | OT | Numbers | Chapter 15 | Verse 11] هَكَذَا يُعْمَلُ لِلثَّوْرِ ٱلْوَاحِدِ أَوْ لِلْكَبْشِ ٱلْوَاحِدِ أَوْ لِلشَّاةِ مِنَ ٱلضَّأْنِ أَوْ مِنَ ٱلْمَعْزِ.
