[VANDYKE | AR | OT | Numbers | Chapter 7 | Verse 1] وَيَوْمَ فَرَغَ مُوسَى مِنْ إِقَامَةِ ٱلْمَسْكَنِ، وَمَسَحَهُ وَقَدَّسَهُ وَجَمِيعَ أَمْتِعَتِهِ، وَٱلْمَذْبَحَ وَجَمِيعَ أَمْتِعَتِهِ وَمَسَحَهَا وَقَدَّسَهَا،
[VANDYKE | AR | OT | Numbers | Chapter 7 | Verse 2] قَرَّبَ رُؤَسَاءُ إِسْرَائِيلَ، رُؤُوسُ بُيُوتِ آبَائِهِمْ، هُمْ رُؤَسَاءُ ٱلْأَسْبَاطِ ٱلَّذِينَ وَقَفُوا عَلَى ٱلْمَعْدُودِينَ.
[VANDYKE | AR | OT | Numbers | Chapter 7 | Verse 3] أَتَوْا بِقَرَابِينِهِمْ أَمَامَ ٱلرَّبِّ: سِتَّ عَجَلَاتٍ مُغَطَّاةً، وَٱثْنَيْ عَشَرَ ثَوْرًا. لِكُلِّ رَئِيسَيْنِ عَجَلَةٌ، وَلِكُلِّ وَاحِدٍ ثَوْرٌ، وَقَدَّمُوهَا أَمَامَ ٱلْمَسْكَنِ.
[VANDYKE | AR | OT | Numbers | Chapter 7 | Verse 4] فَكَلَّمَ ٱلرَّبُّ مُوسَى قَائِلًا:
[VANDYKE | AR | OT | Numbers | Chapter 7 | Verse 5] «خُذْهَا مِنْهُمْ فَتَكُونَ لِعَمَلِ خِدْمَةِ خَيْمَةِ ٱلِٱجْتِمَاعِ، وَأَعْطِهَا لِلَّاوِيِّينَ، لِكُلِّ وَاحِدٍ حَسَبَ خِدْمَتِهِ».
[VANDYKE | AR | OT | Numbers | Chapter 7 | Verse 6] فَأَخَذَ مُوسَى ٱلْعَجَلَاتِ وَٱلثِّيرَانَ وَأَعْطَاهَا لِلَّاوِيِّينَ:
[VANDYKE | AR | OT | Numbers | Chapter 7 | Verse 7] ٱثْنَتَانِ مِنَ ٱلْعَجَلَاتِ وَأَرْبَعَةٌ مِنَ ٱلثِّيرَانِ أَعْطَاهَا لِبَنِي جَرْشُونَ حَسَبَ خِدْمَتِهِمْ،
[VANDYKE | AR | OT | Numbers | Chapter 7 | Verse 8] وَأَرْبَعٌ مِنَ ٱلْعَجَلَاتِ وَثَمَانِيَةٌ مِنَ ٱلثِّيرَانِ أَعْطَاهَا لِبَنِي مَرَارِي حَسَبَ خِدْمَتِهِمْ بِيَدِ إِيثَامَارَ بْنِ هَارُونَ ٱلْكَاهِنِ.
[VANDYKE | AR | OT | Numbers | Chapter 7 | Verse 9] وَأَمَّا بَنُو قَهَاتَ فَلَمْ يُعْطِهِمْ، لِأَنَّ خِدْمَةَ ٱلْقُدْسِ كَانَتْ عَلَيْهِمْ، عَلَى ٱلْأَكْتَافِ كَانُوا يَحْمِلُونَ.
[VANDYKE | AR | OT | Numbers | Chapter 7 | Verse 10] وَقَرَّبَ ٱلرُّؤَسَاءُ لِتَدْشِينِ ٱلْمَذْبَحِ يَوْمَ مَسْحِهِ. وَقَدَّمَ ٱلرُّؤَسَاءُ قَرَابِينَهُمْ أَمَامَ ٱلْمَذْبَحِ.
[VANDYKE | AR | OT | Numbers | Chapter 7 | Verse 11] فَقَالَ ٱلرَّبُّ لِمُوسَى: «رَئِيسًا رَئِيسًا فِي كُلِّ يَوْمٍ يُقَرِّبُونَ قَرَابِينَهُمْ لِتَدْشِينِ ٱلْمَذْبَحِ».
