[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 1] وَٱرْتَحَلَ بَنُو إِسْرَائِيلَ وَنَزَلُوا فِي عَرَبَاتِ مُوآبَ مِنْ عَبْرِ أُرْدُنِّ أَرِيحَا.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 2] وَلَمَّا رَأَى بَالَاقُ بْنُ صِفُّورَ جَمِيعَ مَا فَعَلَ إِسْرَائِيلُ بِٱلْأَمُورِيِّينَ،
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 3] فَزِعَ مُوآبُ مِنَ ٱلشَّعْبِ جِدًّا لِأَنَّهُ كَثِيرٌ، وَضَجِرَ مُوآبُ مِنْ قِبَلَ بَنِي إِسْرَائِيلَ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 4] فَقَالَ مُوآبُ لِشُيُوخِ مِدْيَانَ: «ٱلْآنَ يَلْحَسُ ٱلْجُمْهُورُ كُلَّ مَا حَوْلَنَا كَمَا يَلْحَسُ ٱلثَّوْرُ خُضْرَةَ ٱلْحَقْلِ». وَكَانَ بَالَاقُ بْنُ صِفُّورَ مَلِكًا لِمُوآبَ فِي ذَلِكَ ٱلزَّمَانِ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 5] فَأَرْسَلَ رُسُلًا إِلَى بَلْعَامَ بْنِ بَعُورَ، إِلَى فَتُورَ ٱلَّتِي عَلَى ٱلنَّهْرِ فِي أَرْضِ بَنِي شَعْبِهِ لِيَدْعُوَهُ قَائِلًا: «هُوَذَا شَعْبٌ قَدْ خَرَجَ مِنْ مِصْرَ. هُوَذَا قَدْ غَشَّى وَجْهَ ٱلْأَرْضِ، وَهُوَ مُقِيمٌ مُقَابِلِي.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 6] فَٱلْآنَ تَعَالَ وَٱلْعَنْ لِي هَذَا ٱلشَّعْبَ، لِأَنَّهُ أَعْظَمُ مِنِّي، لَعَلَّهُ يُمْكِنُنَا أَنْ نَكْسِرَهُ فَأَطْرُدَهُ مِنَ ٱلْأَرْضِ، لِأَنِّي عَرَفْتُ أَنَّ ٱلَّذِي تُبَارِكُهُ مُبَارَكٌ وَٱلَّذِي تَلْعَنُهُ مَلْعُونٌ».
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 7] فَٱنْطَلَقَ شُيُوخُ مُوآبَ وَشُيُوخُ مِدْيَانَ، وَحُلْوَانُ ٱلْعِرَافَةِ فِي أَيْدِيهِمْ، وَأَتَوْا إِلَى بَلْعَامَ وَكَلَّمُوهُ بِكَلَامِ بَالَاقَ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 8] فَقَالَ لَهُمْ: «بِيتُوا هُنَا ٱللَّيْلَةَ فَأَرُدَّ عَلَيْكُمْ جَوَابًا كَمَا يُكَلِّمُنِي ٱلرَّبُّ». فَمَكَثَ رُؤَسَاءُ مُوآبَ عِنْدَ بَلْعَامَ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 9] فَأَتَى ٱللهُ إِلَى بَلْعَامَ وَقَالَ: «مَنْ هُمْ هَؤُلَاءِ ٱلرِّجَالُ ٱلَّذِينَ عِنْدَكَ؟»
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 10] فَقَالَ بَلْعَامُ لِلهِ: «بَالَاقُ بْنُ صِفُّورَ مَلِكُ مُوآبَ قَدْ أَرْسَلَ إِلَيَّ يَقُولُ:
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 11] هُوَذَا ٱلشَّعْبُ ٱلْخَارِجُ مِنْ مِصْرَ قَدْ غَشَّى وَجْهَ ٱلْأَرْضِ. تَعَالَ ٱلْآنَ ٱلْعَنْ لِي إِيَّاهُ، لَعَلِّي أَقْدِرُ أَنْ أُحَارِبَهُ وَأَطْرُدَهُ».
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 12] فَقَالَ ٱللهُ لِبَلْعَامَ: «لَا تَذْهَبْ مَعَهُمْ وَلَا تَلْعَنِ ٱلشَّعْبَ، لِأَنَّهُ مُبَارَكٌ».
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 13] فَقَامَ بَلْعَامُ صَبَاحًا وَقَالَ لِرُؤَسَاءِ بَالَاقَ: «ٱنْطَلِقُوا إِلَى أَرْضِكُمْ لِأَنَّ ٱلرَّبَّ أَبَى أَنْ يَسْمَحَ لِي بِٱلذَّهَابِ مَعَكُمْ».
