[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 1] وَقَالَ الرَّبُّ لِمُوسَى:
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 2] «اصْنَعْ لَكَ بُوقَيْنِ مِنْ فِضَّةٍ مَطْرُوقَةٍ تَسْتَخْدِمُهُمَا لِدَعْوَةِ الشَّعْبِ، وَلإِعْلانِ نَفِيرِ الرَّحِيلِ،
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 3] فَحَالَمَا يُنْفَخُ فِيهِمَا يَجْتَمِعُ إِلَيْكَ الشَّعْبُ عِنْدَ مَدْخَلِ خَيْمَةِ الاجْتِمَاعِ.
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 4] أَمَّا إِذَا نُفِخَ فِي بُوقٍ وَاحِدٍ، يَتَوَافَدُ إِلَيْكَ رُؤَسَاءُ أَسْبَاطِ إِسْرَائِيلَ.
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 5] وَعِنْدَمَا يَرْتَفِعُ نَفِيرُ هُتَافٍ، تَرْتَحِلُ الأَسْبَاطُ الْمُخَيِّمَةُ إِلَى الشَّرْقِ،
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 6] وَإذَا ارْتَفَعَ نَفِيرُ هُتَافٍ ثَانٍ تَرْتَحِلُ الأَسْبَاطُ النَّازِلَةُ إِلَى الْجَنُوبِ، وَهَكَذَا يُعْلَنُ عَنِ الارْتِحَالِ بِنَفِيرِ الْهُتَافِ.
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 7] أَمَّا عِنْدَ جَمْعِ الشَّعْبِ، فَانْفُخُوا بِالْبُوقَيْنِ، وَلَكِنْ مِنْ غَيْرِ هُتَافٍ،
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 8] وَيَكُونُ أَبْنَاءُ هَرُونَ هُمُ النَّافِخُونَ بِالأَبْوَاقِ، فَرِيضَةً دَائِمَةً لَكُمْ جِيلاً بَعْدَ جِيلٍ.
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 9] وَإِنْ ذَهَبْتُمْ لِمُحَارَبَةِ عَدُوٍّ فِي أَرْضِكُمْ يَضُرُّ بِكُمْ، فَاضْرِبُوا بِالأَبْوَاقِ، فَأَذْكُرَكُمْ وَأُخَلِّصَكُمْ مِنْ أَعْدَائِكُمْ.
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 10] انْفُخُوا فِي الأَبْوَاقِ أَيْضاً فِي أَيَّامِ فَرَحِكُمْ وَفِي أَعْيَادِكُمْ وَرُؤُوسِ شُهُورِكُمْ، وَكَذَلِكَ عَلَى مُحْرَقَاتِكُمْ وَذَبَائِحِ سَلامِكُمْ، فَتَكُونَ لَكُمْ تَذْكَاراً أَمَامِي. أَنَا الرَّبُّ إِلَهُكُمْ».
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 11] وَفِي الْيَوْمِ الْعِشْرِينَ مِنَ الشَّهْرِ الثَّانِي مِنَ السَّنَةِ الثَّانِيَةِ (الْعِبْرِيَّةِ) ارْتَفَعَتِ السَّحَابَةُ عَنْ مَسْكَنِ الشَّهَادَةِ،
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 12] فَارْتَحَلَ بَنُو إِسْرَائِيلَ فِي صَحْرَاءِ سِينَاءَ مِنْ مَكَانٍ إِلَى آخَرَ إِلَى أَنِ اسْتَقَرَّتِ السَّحَابَةُ فِي بَرِّيَّةِ فَارَانَ.
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 13] وَكَانَتْ هَذِهِ أَوَّلَ مَرَّةٍ يَرْتَحِلُونَ فِيهَا بِمُوْجِبِ التَّنْظِيمِ الْجَدِيدِ الَّذِي أَمَرَ بِهِ الرَّبُّ عَلَى لِسَانِ مُوسَى،
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 14] فَقَدِ ارْتَحَلَتْ أَوَّلاً مُخَيَّمَاتُ سِبْطِ يَهُوذَا طِبْقاً لِعَشَائِرِهِمْ، وَعَلَى رَأْسِهِمْ نَحْشُونُ بْنُ عَمِّينَادَابَ.
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 15] ثُمَّ عَشَائِرُ سِبْطِ يَسَّاكَرَ، وَعَلَى رَأْسِهِمْ نَثَنَائِيلُ بْنُ صُوغَرَ،
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 16] وَتَلاهُمْ سِبْطُ زَبُولُونَ، وَعَلَى رَأْسِهِ آلِيآبُ بْنُ حِيلُونَ،
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 17] ثُمَّ أُنْزِلَ الْمَسْكَنُ، فَارْتَحَلَ بَنُو جَرْشُونَ وَبَنُو مَرَارِي حَامِلِينَ الْمَسْكَنَ،
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 18] وَأَعْقَبَتْهُمْ مُخَيَّمَاتُ سِبْطِ رَأُوبَيْنَ وَفْقاً لِعَشَائِرِهِمْ، وَعَلَى رَأْسِهِمْ أَلِيصُورُ بْنُ شَدَيْئُورَ.
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 19] ثُمَّ عَشَائِرُ سِبْطِ شِمْعُونَ، وَعَلَى رَأْسِهِمْ شَلُومِيئِيلُ بْنُ صُورِيشَدَّاي،
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 20] وَتَبِعَتْهُمْ عَشَائِرُ سِبْطِ جَادٍ، وَعَلَى رَأْسِهِمْ أَلِيَاسَافُ بْنُ دَعُوئِيلَ،
[VANDYKE | AR | OT | Numbers | Chapter 10 | Verse 21] ثُمَّ ارْتَحَلَ الْقَهَاتِيُّونَ حَامِلِينَ الْمَقْدِسَ إِلَى حَيْثُ كَانَ الْمَسْكَنُ قَدْ أُقِيمَ فِي انْتِظَارِهِمْ.
