[IRV | PA | OT | Ezekiel | Chapter 4 | Verse 1] ਹੇ ਮਨੁੱਖ ਦੇ ਪੁੱਤਰ, ਤੂੰ ਇੱਕ ਇੱਟ ਲੈ ਅਤੇ ਆਪਣੇ ਅੱਗੇ ਰੱਖ ਕੇ ਉਸ ਉੱਤੇ ਇੱਕ ਸ਼ਹਿਰ, ਹਾਂ, ਯਰੂਸ਼ਲਮ ਦੀ ਤਸਵੀਰ ਬਣਾ।
[IRV | PA | OT | Ezekiel | Chapter 4 | Verse 2] ਉਸ ਦੇ ਦੁਆਲੇ ਘੇਰਾ ਪਾ, ਅਤੇ ਉਸ ਦੇ ਸਾਹਮਣੇ ਗੜ੍ਹ ਬਣਾ ਅਤੇ ਉਸ ਦੇ ਸਾਹਮਣੇ ਘੇਰਾ ਬੰਦੀ ਕਰ ਅਤੇ ਉਸ ਦੇ ਦੁਆਲੇ ਤੰਬੂ ਖੜ੍ਹੇ ਕਰ, ਅਤੇ ਚਾਰੋਂ ਪਾਸੇ ਕਿਲ੍ਹਾ ਤੋੜਨ ਵਾਲੇ ਹਥਿਆਰ ਰੱਖ।
[IRV | PA | OT | Ezekiel | Chapter 4 | Verse 3] ਫਿਰ ਤੂੰ ਲੋਹੇ ਦਾ ਇੱਕ ਤਵਾ ਲੈ ਕੇ ਆਪਣੇ ਅਤੇ ਸ਼ਹਿਰ ਦੇ ਵਿਚਾਲੇ ਉਹ ਨੂੰ ਗੱਡ। ਉਹ ਲੋਹੇ ਦੀ ਕੰਧ ਬਣ ਜਾਵੇ ਅਤੇ ਆਪਣਾ ਮੂੰਹ ਉਸ ਦੇ ਵੱਲ ਕਰ। ਉਹ ਘੇਰੇ ਵਿੱਚ ਆਇਆ ਹੋਵੇਗਾ ਅਤੇ ਤੂੰ ਉਸ ਨੂੰ ਘੇਰਨ ਵਾਲਾ ਹੋਵੇਂਗਾ। ਇਹ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ ਲਈ ਨਿਸ਼ਾਨ ਹੈ।
[IRV | PA | OT | Ezekiel | Chapter 4 | Verse 4] ਉਸ ਤੋਂ ਬਾਅਦ ਤੂੰ ਆਪਣੇ ਖੱਬੇ ਪਾਸੇ ਲੇਟ ਅਤੇ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ ਦਾ ਅਪਰਾਧ ਆਪਣੇ ਉੱਤੇ ਲੈ। ਜਿੰਨੇ ਦਿਨ ਤੱਕ ਤੂੰ ਲੇਟਿਆ ਰਹੇਂਗਾ, ਤੂੰ ਉਹਨਾਂ ਦਾ ਪਾਪ ਆਪਣੇ ਉੱਤੇ ਝੱਲੇਂਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 4 | Verse 5] ਕਿਉਂ ਜੋ ਮੈਂ ਉਹਨਾਂ ਦੇ ਪਾਪਾਂ ਦੇ ਸਾਲਾਂ ਦੀ ਗਿਣਤੀ ਦੇ ਅਨੁਸਾਰ ਦਿਨ ਠਹਿਰਾਏ ਹਨ, ਇੱਕ ਸਾਲ ਦੇ ਲਈ ਇੱਕ ਦਿਨ, ਜੋ ਤਿੰਨ ਸੌ ਨੱਬੇ ਦਿਨ ਹਨ। ਇਸ ਤਰ੍ਹਾਂ ਤੂੰ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ ਦਾ ਪਾਪ ਝੱਲੇਂਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 4 | Verse 6] ਜਦ ਤੂੰ ਉਹਨਾਂ ਦਿਨਾਂ ਨੂੰ ਪੂਰਾ ਕਰ ਲਵੇਂ, ਤਾਂ ਫਿਰ ਆਪਣੇ ਸੱਜੇ ਪਾਸੇ ਵੱਲ ਲੇਟ ਜਾਵੀਂ ਅਤੇ ਚਾਲ੍ਹੀ ਦਿਨਾਂ ਤੱਕ ਯਹੂਦਾਹ ਦੇ ਘਰਾਣੇ ਦੇ ਪਾਪਾਂ ਨੂੰ ਝੱਲੀਂ। ਮੈਂ ਤੇਰੇ ਲਈ ਇੱਕ-ਇੱਕ ਸਾਲ ਬਦਲੇ ਇੱਕ-ਇੱਕ ਦਿਨ ਠਹਿਰਾਇਆ ਹੈ।
[IRV | PA | OT | Ezekiel | Chapter 4 | Verse 7] ਫਿਰ ਤੂੰ ਯਰੂਸ਼ਲਮ ਦੇ ਘੇਰੇ ਵੱਲ ਮੂੰਹ ਕਰ ਅਤੇ ਆਪਣੀ ਬਾਂਹ ਨੰਗੀ ਕਰ ਅਤੇ ਉਹ ਦੇ ਵਿਰੁੱਧ ਭਵਿੱਖਬਾਣੀ ਕਰ
[IRV | PA | OT | Ezekiel | Chapter 4 | Verse 8] ਅਤੇ ਵੇਖ, ਮੈਂ ਤੇਰੇ ਉੱਤੇ ਬੰਧਨ ਪਾਵਾਂਗਾ ਤਾਂ ਜੋ ਤੂੰ ਪਾਸਾ ਨਾ ਪਰਤ ਸਕੇਂ, ਜਦੋਂ ਤੱਕ ਤੂੰ ਆਪਣੇ ਘੇਰੇ ਦੇ ਦਿਨਾਂ ਨੂੰ ਪੂਰਾ ਨਾ ਕਰ ਲਵੇਂ।
[IRV | PA | OT | Ezekiel | Chapter 4 | Verse 9] ਤੂੰ ਆਪਣੇ ਲਈ ਕਣਕ, ਜੌਂ, ਫਲੀਆਂ, ਦਾਲ, ਚੀਣਾ ਅਤੇ ਬਾਜਰਾ ਲੈ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਇੱਕ ਭਾਂਡੇ ਵਿੱਚ ਰੱਖ ਅਤੇ ਉਹਨਾਂ ਦੀਆਂ ਐਨੀਆਂ ਰੋਟੀਆਂ ਪਕਾ ਜਿੰਨੇ ਦਿਨਾਂ ਤੱਕ ਤੂੰ ਪਾਸੇ ਪਰਨੇ ਲੇਟਿਆ ਰਹੇਂਗਾ, ਤੂੰ ਤਿੰਨ ਸੌ ਨੱਬੇ ਦਿਨਾਂ ਤੱਕ ਉਹਨਾਂ ਨੂੰ ਖਾਵੀਂ।
[IRV | PA | OT | Ezekiel | Chapter 4 | Verse 10] ਤੇਰਾ ਖਾਣਾ ਜੋ ਤੂੰ ਖਾਵੇਂਗਾ ਤੋਲ ਅਨੁਸਾਰ ਪਾਉ ਪੱਕਾ ਰੋਜ਼ ਦਾ ਹੋਵੇਗਾ। ਤੂੰ ਕਦੇ-ਕਦੇ ਖਾਈਂ।
[IRV | PA | OT | Ezekiel | Chapter 4 | Verse 11] ਤੂੰ ਪਾਣੀ ਵੀ ਮਿਣ ਕੇ ਇੱਕ ਸੇਰ ਪੀਵੇਂਗਾ। ਤੂੰ ਕਦੇ-ਕਦੇ ਪੀਣਾ।
