[IRV | PA | OT | Ezekiel | Chapter 37 | Verse 1] ਯਹੋਵਾਹ ਦਾ ਹੱਥ ਮੇਰੇ ਉੱਤੇ ਸੀ, ਉਹ ਮੈਨੂੰ ਯਹੋਵਾਹ ਦੇ ਆਤਮਾ ਵਿੱਚ ਬਾਹਰ ਲੈ ਗਿਆ ਅਤੇ ਉਸ ਵਾਦੀ ਵਿੱਚ ਜਿਹੜੀ ਹੱਡੀਆਂ ਨਾਲ ਭਰੀ ਹੋਈ ਸੀ, ਮੈਨੂੰ ਉਤਾਰ ਦਿੱਤਾ।
[IRV | PA | OT | Ezekiel | Chapter 37 | Verse 2] ਮੈਨੂੰ ਉਹਨਾਂ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਚਾਰੇ ਪਾਸੇ ਘੁਮਾਇਆ ਅਤੇ ਵੇਖੋ, ਉਹ ਉਸ ਵਾਦੀ ਦੇ ਮੂੰਹ ਉੱਤੇ ਬਹੁਤ ਸਾਰੀਆਂ ਸਨ ਅਤੇ ਵੇਖੋ, ਉਹ ਬਹੁਤ ਸੁੱਕੀਆਂ ਹੋਈਆਂ ਸਨ।
[IRV | PA | OT | Ezekiel | Chapter 37 | Verse 3] ਉਹ ਨੇ ਮੇਰੇ ਕੋਲੋਂ ਪੁੱਛਿਆ, ਹੇ ਮਨੁੱਖ ਦੇ ਪੁੱਤਰ, ਕੀ ਇਹ ਹੱਡੀਆਂ ਜੀਉਂਦੀਆਂ ਹੋ ਸਕਦੀਆਂ ਹਨ? ਮੈਂ ਆਖਿਆ, ਹੇ ਪ੍ਰਭੂ ਯਹੋਵਾਹ, ਤੂੰ ਹੀ ਜਾਣਦਾ ਹੈ।
[IRV | PA | OT | Ezekiel | Chapter 37 | Verse 4] ਫੇਰ ਉਸ ਮੈਨੂੰ ਆਖਿਆ, ਤੂੰ ਇਹਨਾਂ ਹੱਡੀਆਂ ਉੱਤੇ ਭਵਿੱਖਬਾਣੀ ਕਰ ਅਤੇ ਇਹਨਾਂ ਨੂੰ ਆਖ, ਹੇ ਸੁੱਕੀ ਹੱਡੀਓ, ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਸੁਣੋ!
[IRV | PA | OT | Ezekiel | Chapter 37 | Verse 5] ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਇਹਨਾਂ ਹੱਡੀਆਂ ਨੂੰ ਇਹ ਆਖਦਾ ਹੈ, ਵੇਖੋ! ਮੈਂ ਤੁਹਾਡੇ ਅੰਦਰ ਸਾਹ ਪਾਵਾਂਗਾ ਅਤੇ ਤੁਸੀਂ ਜੀਉਂਦੀਆਂ ਹੋ ਜਾਓਗੀਆਂ।
[IRV | PA | OT | Ezekiel | Chapter 37 | Verse 6] ਮੈਂ ਤੁਹਾਡੇ ਉੱਤੇ ਨਾੜਾਂ ਦਿਆਂਗਾ, ਤੁਹਾਡੇ ਉੱਤੇ ਮਾਸ ਚੜ੍ਹਾਵਾਂਗਾ ਅਤੇ ਤੁਹਾਨੂੰ ਚੰਮ ਨਾਲ ਢੱਕਾਂਗਾ। ਤੁਹਾਡੇ ਵਿੱਚ ਆਤਮਾ ਪਾਵਾਂਗਾ, ਤੁਸੀਂ ਜੀ ਪਵੋਗੀਆਂ ਅਤੇ ਤੁਸੀਂ ਜਾਣੋਗੀਆਂ ਕਿ ਮੈਂ ਯਹੋਵਾਹ ਹਾਂ!
[IRV | PA | OT | Ezekiel | Chapter 37 | Verse 7] ਇਸ ਲਈ ਮੈਂ ਹੁਕਮ ਅਨੁਸਾਰ ਭਵਿੱਖਬਾਣੀ ਕੀਤੀ ਅਤੇ ਜਿਸ ਵੇਲੇ ਮੈਂ ਭਵਿੱਖਬਾਣੀ ਕਰ ਰਿਹਾ ਸੀ, ਤਾਂ ਇੱਕ ਸ਼ੋਰ ਆਇਆ ਅਤੇ ਵੇਖੋ, ਇਹ ਭੂਚਾਲ ਸੀ ਅਤੇ ਹੱਡੀਆਂ ਇੱਕ ਦੂਜੀ ਨਾਲ ਜੁੜ ਗਈਆਂ, ਹਰੇਕ ਹੱਡੀ ਆਪਣੀ ਹੱਡੀ ਨਾਲ।
[IRV | PA | OT | Ezekiel | Chapter 37 | Verse 8] ਮੈਂ ਵੇਖਿਆ ਤਾਂ ਕੀ ਵੇਖਦਾ ਹਾਂ, ਕਿ ਉਹਨਾਂ ਉੱਤੇ ਨਾੜਾਂ ਤੇ ਮਾਸ ਚੜ੍ਹ ਆਇਆ ਅਤੇ ਚੰਮ ਨੇ ਉਹਨਾਂ ਨੂੰ ਢੱਕ ਲਿਆ, ਪਰ ਉਹਨਾਂ ਵਿੱਚ ਸਾਹ ਨਹੀਂ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 37 | Verse 9] ਤਦ ਉਹ ਨੇ ਮੈਨੂੰ ਆਖਿਆ ਕਿ ਸਾਹ ਲਈ ਭਵਿੱਖਬਾਣੀ ਕਰ, ਹੇ ਮਨੁੱਖ ਦੇ ਪੁੱਤਰ, ਭਵਿੱਖਬਾਣੀ ਕਰ! ਤੂੰ ਸਾਹ ਨੂੰ ਆਖ ਕਿ ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਇਹ ਆਖਦਾ ਹੈ, ਹੇ ਸਾਹ, ਤੁਸੀਂ ਚਾਰੇ ਪਾਸੇ ਦੀਆਂ ਹਵਾਵਾਂ ਤੋਂ ਆਓ ਅਤੇ ਵੱਢਿਆਂ ਹੋਇਆਂ ਵਿੱਚ ਸਾਹ ਪਾਓ, ਤਾਂ ਕਿ ਉਹ ਜੀਉਂਦੀਆਂ ਹੋ ਜਾਣ।
[IRV | PA | OT | Ezekiel | Chapter 37 | Verse 10] ਇਸ ਲਈ ਮੈਂ ਉਹ ਦੇ ਹੁਕਮ ਦੇ ਅਨੁਸਾਰ ਭਵਿੱਖਬਾਣੀ ਅਤੇ ਉਹਨਾਂ ਵਿੱਚ ਸਾਹ ਪੈ ਗਿਆ। ਉਹ ਜੀਉਂਦੀਆਂ ਹੋ ਕੇ ਆਪਣੇ ਪੈਰਾਂ ਉੱਤੇ ਖੜੀਆਂ ਹੋ ਗਈਆਂ, ਇੱਕ ਬਹੁਤ ਹੀ ਵੱਡੀ ਫੌਜ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 37 | Verse 11] ਤਦ ਉਹ ਨੇ ਮੈਨੂੰ ਆਖਿਆ, ਹੇ ਮਨੁੱਖ ਦੇ ਪੁੱਤਰ, ਇਹ ਹੱਡੀਆਂ ਇਸਰਾਏਲ ਦਾ ਸਾਰਾ ਘਰਾਣਾ ਹੈ। ਵੇਖ, ਇਹ ਆਖਦੇ ਹਨ, ਸਾਡੀਆਂ ਹੱਡੀਆਂ ਸੁੱਕ ਗਈਆਂ ਅਤੇ ਸਾਡੀ ਆਸ ਮੁੱਕ ਗਈ, ਅਸੀਂ ਤਾਂ ਪੂਰੀ ਤਰ੍ਹਾਂ ਨਾਲ ਕੱਟੇ ਗਏ ਹਾਂ!
