[IRV | PA | OT | Ezekiel | Chapter 48 | Verse 1] ਗੋਤਾਂ ਦੇ ਨਾਮ ਇਹ ਹਨ - ਐਨ ਉੱਤਰ ਵਿੱਚ ਹਥਲੋਨ ਦੇ ਰਸਤੇ ਦੇ ਨਾਲ-ਨਾਲ ਹਮਾਥ ਦੇ ਦਰਵਾਜ਼ੇ ਤੱਕ, ਹਸਰ-ਏਨਾਨ ਤੱਕ ਜਿਹੜਾ ਦੰਮਿਸ਼ਕ ਦੀ ਉੱਤਰੀ ਹੱਦ ਤੇ ਹਮਾਥ ਦੇ ਕੋਲ ਹੈ। ਪੂਰਬ ਤੋਂ ਪੱਛਮ ਤੱਕ ਦਾਨ ਦੇ ਲਈ ਇੱਕ ਭਾਗ।
[IRV | PA | OT | Ezekiel | Chapter 48 | Verse 2] ਦਾਨ ਦੀ ਹੱਦ ਦੇ ਨਾਲ ਲੱਗਦੀ ਪੂਰਬੀ ਹੱਦ ਤੋਂ ਪੱਛਮੀ ਹੱਦ ਤੱਕ ਆਸ਼ੇਰ ਦੇ ਲਈ ਇੱਕ ਭਾਗ।
[IRV | PA | OT | Ezekiel | Chapter 48 | Verse 3] ਆਸ਼ੇਰ ਦੀ ਹੱਦ ਦੇ ਨਾਲ ਲੱਗਦੀ ਪੂਰਬੀ ਹੱਦ ਤੋਂ ਪੱਛਮੀ ਹੱਦ ਤੱਕ ਨਫ਼ਤਾਲੀ ਦੇ ਲਈ ਇੱਕ ਭਾਗ।
[IRV | PA | OT | Ezekiel | Chapter 48 | Verse 4] ਨਫ਼ਤਾਲੀ ਦੀ ਹੱਦ ਦੇ ਨਾਲ ਲੱਗਦੀ ਪੂਰਬੀ ਹੱਦ ਤੋਂ ਪੱਛਮੀ ਹੱਦ ਤੱਕ ਮਨੱਸ਼ਹ ਦੇ ਲਈ ਇੱਕ ਭਾਗ।
[IRV | PA | OT | Ezekiel | Chapter 48 | Verse 5] ਮਨੱਸ਼ਹ ਦੀ ਹੱਦ ਦੇ ਨਾਲ ਲੱਗਦੀ ਪੂਰਬੀ ਹੱਦ ਤੋਂ ਪੱਛਮੀ ਹੱਦ ਤੱਕ ਇਫ਼ਰਾਈਮ ਦੇ ਲਈ ਇੱਕ ਭਾਗ।
[IRV | PA | OT | Ezekiel | Chapter 48 | Verse 6] ਇਫ਼ਰਾਈਮ ਦੀ ਹੱਦ ਦੇ ਨਾਲ ਲੱਗਦੀ ਪੂਰਬੀ ਹੱਦ ਤੋਂ ਪੱਛਮੀ ਹੱਦ ਤੱਕ ਰਊਬੇਨ ਦੇ ਲਈ ਇੱਕ ਭਾਗ।
[IRV | PA | OT | Ezekiel | Chapter 48 | Verse 7] ਰਊਬੇਨ ਦੀ ਹੱਦ ਦੇ ਨਾਲ ਲੱਗਦੀ ਪੂਰਬੀ ਹੱਦ ਤੋਂ ਪੱਛਮੀ ਹੱਦ ਤੱਕ ਯਹੂਦਾਹ ਦੇ ਲਈ ਇੱਕ ਭਾਗ।
[IRV | PA | OT | Ezekiel | Chapter 48 | Verse 8] ਯਹੂਦਾਹ ਦੀ ਹੱਦ ਦੇ ਨਾਲ ਲੱਗਦੀ ਪੂਰਬੀ ਹੱਦ ਤੋਂ ਪੱਛਮੀ ਹੱਦ ਤੱਕ ਭੇਟਾਂ ਦਾ ਭਾਗ ਹੋਵੇਗਾ। ਉਹ ਦੀ ਚੌੜਾਈ ਪੱਚੀ ਹਜ਼ਾਰ ਅਤੇ ਲੰਬਾਈ ਰਹਿੰਦੇ ਭਾਗਾਂ ਵਿੱਚੋਂ ਇੱਕ ਦੇ ਬਰਾਬਰ ਪੂਰਬੀ ਹੱਦ ਤੋਂ ਪੱਛਮੀ ਹੱਦ ਤੱਕ ਅਤੇ ਪਵਿੱਤਰ ਸਥਾਨ ਉਹ ਦੇ ਵਿਚਕਾਰ ਹੋਵੇਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 48 | Verse 9] ਭੇਟਾਂ ਦਾ ਭਾਗ ਜਿਹੜਾ ਤੁਸੀਂ ਯਹੋਵਾਹ ਦੇ ਲਈ ਛੱਡੋਗੇ, ਪੱਚੀ ਹਜ਼ਾਰ ਲੰਮਾ ਅਤੇ ਦਸ ਹਜ਼ਾਰ ਚੌੜਾ ਹੋਵੇਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 48 | Verse 10] ਇਹ ਪਵਿੱਤਰ ਭੇਟਾਂ ਦਾ ਭਾਗ ਉਹਨਾਂ ਦੇ ਲਈ, ਹਾਂ, ਜਾਜਕਾਂ ਦੇ ਲਈ ਹੋਵੇਗਾ। ਉਤਰ ਵੱਲ ਉਹ ਦੀ ਲੰਬਾਈ ਪੱਚੀ ਹਜ਼ਾਰ ਹੋਵੇਗੀ ਅਤੇ ਦਸ ਹਜ਼ਾਰ ਉਹ ਦੀ ਚੌੜਾਈ ਪੱਛਮ ਦੀ ਵੱਲ ਅਤੇ ਦਸ ਹਜ਼ਾਰ ਉਹ ਦੀ ਚੌੜਾਈ ਪੂਰਬ ਦੀ ਵੱਲ ਅਤੇ ਪੱਚੀ ਹਜ਼ਾਰ ਉਹ ਦੀ ਲੰਬਾਈ ਦੱਖਣ ਦੀ ਵੱਲ, ਅਤੇ ਯਹੋਵਾਹ ਦਾ ਪਵਿੱਤਰ ਸਥਾਨ ਉਹ ਦੇ ਵਿਚਕਾਰ ਹੋਵੇਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 48 | Verse 11] ਇਹ ਉਹਨਾਂ ਜਾਜਕਾਂ ਦੇ ਲਈ ਹੋਵੇਗਾ ਜਿਹੜੇ ਸਾਦੋਕ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਪਵਿੱਤਰ ਕੀਤੇ ਗਏ ਹਨ, ਜਿਹਨਾਂ ਨੇ ਮੇਰੇ ਫਰਜ਼ ਦੀ ਸੰਭਾਲ ਕੀਤੀ ਅਤੇ ਬੇਮੁੱਖ ਨਾ ਹੋਏ, ਜਦੋਂ ਇਸਰਾਏਲੀ ਬੇਮੁੱਖ ਹੋ ਗਏ, ਜਿਹਾ ਕਿ ਲੇਵੀ ਬੇਮੁੱਖ ਹੋ ਗਏ।
