[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 1] ਫੇਰ ਉਹ ਮਨੁੱਖ ਮੈਨੂੰ ਭਵਨ ਦੇ ਦਰਵਾਜ਼ੇ ਤੇ ਮੋੜ ਲਿਆਇਆ ਅਤੇ ਵੇਖੋ, ਹੈਕਲ ਦੀ ਸਰਦਲ ਦੇ ਹੇਠੋਂ ਪਾਣੀ ਪੂਰਬ ਵੱਲ ਵਗ ਰਿਹਾ ਸੀ, ਕਿਉਂ ਜੋ ਭਵਨ ਦਾ ਮੂੰਹ ਪੂਰਬ ਵੱਲ ਸੀ ਅਤੇ ਪਾਣੀ ਭਵਨ ਦੇ ਸੱਜੇ ਪਾਸੇ ਦੇ ਹੇਠਾਂ ਤੋਂ ਜਗਵੇਦੀ ਦੇ ਦੱਖਣ ਵੱਲੋਂ ਵਗ ਕੇ ਜਾਂਦਾ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 2] ਤਦ ਉਹ ਮੈਨੂੰ ਉੱਤਰੀ ਫਾਟਕ ਦੇ ਰਸਤੇ ਬਾਹਰ ਲੈ ਆਇਆ ਅਤੇ ਮੈਨੂੰ ਉਸ ਰਾਹ ਵਿੱਚੋਂ ਜਿਸ ਦਾ ਮੂੰਹ ਪੂਰਬ ਵੱਲ ਹੈ, ਬਾਹਰਲੇ ਫਾਟਕ ਤੇ ਮੋੜ ਲਿਆਇਆ ਅਰਥਾਤ ਚੜ੍ਹਦੇ ਵੱਲ ਮੂੰਹ ਵਾਲੇ ਫਾਟਕ ਤੇ ਅਤੇ ਵੇਖੋ, ਸੱਜੇ ਪਾਸਿਓਂ ਪਾਣੀ ਵਗ ਰਿਹਾ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 3] ਇਸ ਮਨੁੱਖ ਨੇ ਜਿਹ ਦੇ ਹੱਥ ਵਿੱਚ ਫੀਤਾ ਸੀ ਪੂਰਬ ਵੱਲ ਵੱਧ ਕੇ ਹਜ਼ਾਰ ਹੱਥ ਮਿਣਿਆ ਅਤੇ ਮੈਨੂੰ ਪਾਣੀ ਵਿੱਚੋਂ ਲੰਘਾਇਆ ਅਤੇ ਪਾਣੀ ਗਿੱਟਿਆਂ ਤੱਕ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 4] ਫੇਰ ਉਸ ਨੇ ਹਜ਼ਾਰ ਹੱਥ ਹੋਰ ਮਿਣਿਆ ਅਤੇ ਮੈਨੂੰ ਪਾਣੀ ਵਿੱਚੋਂ ਲੰਘਾਇਆ ਅਤੇ ਪਾਣੀ ਗੋਡਿਆਂ ਤੱਕ ਸੀ। ਫੇਰ ਉਸ ਨੇ ਇੱਕ ਹਜ਼ਾਰ ਹੋਰ ਮਿਣਿਆ ਅਤੇ ਮੈਨੂੰ ਪਾਣੀ ਵਿੱਚੋਂ ਲੰਘਾਇਆ ਅਤੇ ਪਾਣੀ ਲੱਕ ਤੱਕ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 5] ਫੇਰ ਉਹ ਨੇ ਇੱਕ ਹਜ਼ਾਰ ਹੋਰ ਮਿਣਿਆ ਅਤੇ ਉਹ ਅਜਿਹਾ ਨਾਲਾ ਸੀ ਕਿ ਮੈਂ ਉਹ ਨੂੰ ਪਾਰ ਨਹੀਂ ਕਰ ਸਕਦਾ ਸੀ, ਕਿਉਂ ਜੋ ਪਾਣੀ ਚੜ੍ਹ ਕੇ ਤੈਰਨ ਵਾਲਾ ਹੋ ਗਿਆ ਸੀ ਅਤੇ ਅਜਿਹਾ ਨਾਲਾ ਬਣ ਗਿਆ, ਜਿਹ ਨੂੰ ਪਾਰ ਕਰਨਾ ਅਸੰਭਵ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 6] ਤਦ ਉਹ ਨੇ ਮੈਨੂੰ ਆਖਿਆ, ਹੇ ਮਨੁੱਖ ਦੇ ਪੁੱਤਰ, ਕੀ ਤੂੰ ਇਹ ਵੇਖਿਆ? ਤਦ ਉਹ ਮੈਨੂੰ ਲੈ ਆਇਆ ਅਤੇ ਨਾਲੇ ਦੇ ਕੰਢੇ ਤੇ ਮੋੜ ਲਿਆਂਦਾ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 7] ਜਦ ਮੈਂ ਮੁੜ ਕੇ ਪਹੁੰਚਿਆ ਤਾਂ ਵੇਖੋ, ਨਾਲੇ ਦੇ ਇਸ ਪਾਸੇ ਤੇ ਦੂਜੇ ਪਾਸੇ ਬਹੁਤ ਸਾਰੇ ਰੁੱਖ ਸਨ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 8] ਤਦ ਉਹ ਨੇ ਮੈਨੂੰ ਆਖਿਆ ਕਿ ਇਹ ਪਾਣੀ ਪੂਰਬੀ ਇਲਾਕੇ ਵੱਲ ਵਗਦੇ ਹਨ ਅਤੇ ਅਰਾਬਾਹ ਵਿੱਚੋਂ ਵਗ ਕੇ ਹੇਠਾਂ ਸਾਗਰ ਵਿੱਚ ਜਾ ਪੈਂਦੇ ਹਨ ਅਤੇ ਸਾਗਰ ਵਿੱਚ ਮਿਲਦਿਆਂ ਹੀ ਉਹ ਦੇ ਪਾਣੀਆਂ ਨੂੰ ਤਾਜ਼ਾ ਕਰ ਦੇਣਗੇ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 9] ਅਜਿਹਾ ਹੋਵੇਗਾ ਕਿ ਜਿੱਥੇ ਇਹ ਨਾਲੇ ਜਾਣਗੇ ਹਰੇਕ ਜਲ ਜੰਤੂ ਜੋ ਬਹੁਤ ਸਾਰੇ ਹਨ, ਜੀਉਂਦਾ ਰਹੇਗਾ ਅਤੇ ਮੱਛੀਆਂ ਦਾ ਬਹੁਤ ਵਾਧਾ ਹੋਵੇਗਾ, ਕਿਉਂ ਜੋ ਇਹ ਪਾਣੀ ਉੱਥੇ ਪਹੁੰਚਿਆ ਅਤੇ ਉਹ ਤਾਜ਼ਾ ਹੋ ਗਿਆ। ਸੋ ਜਿੱਥੇ ਕਿਤੇ ਇਹ ਨਾਲੇ ਪਹੁੰਚਣਗੇ ਜੀਵਨ ਬਖ਼ਸ਼ਣਗੇ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 10] ਅਜਿਹਾ ਹੋਵੇਗਾ ਕਿ ਮਾਛੀ ਉਹ ਦੇ ਕੰਢੇ ਤੇ ਖਲੋਤੇ ਰਹਿਣਗੇ। ਏਨ-ਗਦੀ ਤੋਂ ਲੈ ਕੇ ਏਨ-ਅਗਲਇਮ ਤੱਕ ਜਾਲ਼ ਸੁੱਟਣ ਦੇ ਘਾਟ ਹੋਣਗੇ। ਉਹ ਦੀਆਂ ਮੱਛੀਆਂ ਆਪਣੀ-ਆਪਣੀ ਜਾਤੀ ਦੇ ਅਨੁਸਾਰ ਵੱਡੇ ਸਾਗਰ ਦੀਆਂ ਮੱਛੀਆਂ ਵਾਂਗੂੰ ਬਹੁਤ ਹੀ ਹੋਣਗੀਆਂ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 11] ਪਰ ਉਹ ਦੀਆਂ ਚਿੱਕੜ ਵਾਲੀਆਂ ਅਤੇ ਜਿਲਣ ਵਾਲੀਆਂ ਜਗ੍ਹਾਂ ਤਾਜ਼ੀਆਂ ਨਾ ਕੀਤੀਆਂ ਜਾਣਗੀਆਂ, ਉਹ ਲੂਣ ਵਾਲੀਆਂ ਹੀ ਰਹਿਣਗੀਆਂ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 12] ਨਾਲੇ ਦੇ ਨੇੜੇ ਉਹ ਦੇ ਦੋਨਾਂ ਕੰਢਿਆਂ ਤੇ ਹਰ ਪ੍ਰਕਾਰ ਦੇ ਮੇਵੇ ਵਾਲੇ ਰੁੱਖ ਉੱਗਣਗੇ, ਜਿਹਨਾਂ ਦੇ ਪੱਤੇ ਕਦੇ ਨਾ ਸੁੱਕਣਗੇ ਅਤੇ ਜਿਹਨਾਂ ਦੇ ਮੇਵੇ ਕਦੇ ਨਾ ਮੁੱਕਣਗੇ। ਉਹਨਾਂ ਨੂੰ ਹਰ ਮਹੀਨੇ ਨਵੇਂ ਮੇਵੇ ਲੱਗਣਗੇ, ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਨੂੰ ਉਹ ਪਾਣੀ ਲੱਗਦੇ ਹਨ, ਜਿਹੜੇ ਪਵਿੱਤਰ ਸਥਾਨ ਵਿੱਚੋਂ ਨਿੱਕਲਦੇ ਹਨ ਅਤੇ ਉਹਨਾਂ ਦੇ ਮੇਵੇ ਖਾਣ ਲਈ ਅਤੇ ਉਹਨਾਂ ਦੇ ਪੱਤੇ ਦਵਾਈ ਦੇ ਕੰਮ ਆਉਣਗੇ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 13] ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਇਹ ਆਖਦਾ ਹੈ, ਇਹ ਉਹ ਹੱਦ ਹੈ ਜਿਸ ਦੇ ਅਨੁਸਾਰ ਤੁਸੀਂ ਦੇਸ ਨੂੰ ਵੰਡੋਗੇ, ਤਾਂ ਜੋ ਇਸਰਾਏਲ ਦੇ ਬਾਰਾਂ ਗੋਤਾਂ ਦੀ ਮਿਰਾਸ ਹੋਵੇ। ਯੂਸੁਫ਼ ਦੇ ਘਰਾਣੇ ਦੇ ਲਈ ਦੁਗਣਾ ਭਾਗ ਹੋਵੇਗਾ।
