[IRV | PA | OT | Ezekiel | Chapter 41 | Verse 1] ਤਦ ਉਹ ਮਨੁੱਖ ਮੈਨੂੰ ਹੈਕਲ ਵਿੱਚ ਲਿਆਇਆ ਅਤੇ ਥੰਮਾਂ ਨੂੰ ਮਿਣਿਆ, ਛੇ ਹੱਥ ਦੀ ਚੌੜਾਈ ਇੱਕ ਪਾਸੇ ਅਤੇ ਛੇ ਹੱਥ ਦੀ ਚੌੜਾਈ ਦੂਜੇ ਪਾਸੇ, ਇਹੀ ਡੇਰੇ ਦੀ ਚੌੜਾਈ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 41 | Verse 2] ਦਰਵਾਜ਼ੇ ਦੀ ਚੌੜਾਈ ਦਸ ਹੱਥ ਸੀ। ਉਹ ਦਾ ਇੱਕ ਪਾਸਾ ਪੰਜ ਹੱਥ ਦਾ ਸੀ ਅਤੇ ਦੂਜਾ ਵੀ ਪੰਜ ਹੱਥ ਦਾ ਸੀ ਅਤੇ ਉਸ ਨੇ ਉਹ ਦੀ ਲੰਬਾਈ ਚਾਲ੍ਹੀ ਹੱਥ ਅਤੇ ਚੌੜਾਈ ਵੀਹ ਹੱਥ ਮਿਣੀ।
[IRV | PA | OT | Ezekiel | Chapter 41 | Verse 3] ਤਦ ਉਹ ਅੰਦਰ ਗਿਆ ਅਤੇ ਦਰਵਾਜ਼ੇ ਦੇ ਹਰੇਕ ਥੰਮ੍ਹ ਨੂੰ, ਦੋ ਹੱਥ, ਮਿਣਿਆ ਅਤੇ ਦਰਵਾਜ਼ੇ ਨੂੰ, ਛੇ ਹੱਥ ਅਤੇ ਦਰਵਾਜ਼ੇ ਦੀ ਚੌੜਾਈ ਸੱਤ ਹੱਥ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 41 | Verse 4] ਉਸ ਨੇ ਹੈਕਲ ਦੇ ਸਾਹਮਣੇ ਦੀ ਲੰਬਾਈ ਨੂੰ ਵੀਹ ਹੱਥ ਅਤੇ ਚੌੜਾਈ ਨੂੰ ਵੀਹ ਹੱਥ ਮਿਣਿਆ ਅਤੇ ਮੈਨੂੰ ਆਖਿਆ ਕਿ ਇਹੀ ਅੱਤ ਪਵਿੱਤਰ ਸਥਾਨ ਹੈ।
[IRV | PA | OT | Ezekiel | Chapter 41 | Verse 5] ਉਹ ਨੇ ਭਵਨ ਦੀ ਕੰਧ ਛੇ ਹੱਥ ਮਿਣੀ ਅਤੇ ਪਾਸੇ ਦੀ ਹਰੇਕ ਕੋਠੜੀ ਦੀ ਚੌੜਾਈ ਭਵਨ ਦੇ ਚੁਫ਼ੇਰੇ ਚਾਰ ਹੱਥ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 41 | Verse 6] ਪਾਸੇ ਦੀਆਂ ਕੋਠੜੀਆਂ ਤਿੰਨ ਮੰਜ਼ਲਾਂ ਵਾਲੀਆਂ ਸਨ, ਕੋਠੜੀ ਦੇ ਉੱਤੇ ਕੋਠੜੀ, ਪਾਲਾਂ ਵਿੱਚ ਤੀਹ ਅਤੇ ਉਹ ਉਸ ਕੰਧ ਵਿੱਚ ਜੋ ਭਵਨ ਦੇ ਚੁਫ਼ੇਰੇ ਦੀਆਂ ਕੋਠੜੀਆਂ ਦੇ ਲਈ ਸੀ, ਅੰਦਰ ਬਣਾਈਆਂ ਗਈਆਂ ਸਨ, ਤਾਂ ਜੋ ਪੱਕੀਆਂ ਹੋਣ, ਪਰ ਉਹ ਭਵਨ ਦੀ ਕੰਧ ਨਾਲ ਮਿਲੀਆਂ ਹੋਈਆਂ ਨਾ ਸਨ।
[IRV | PA | OT | Ezekiel | Chapter 41 | Verse 7] ਉਹ ਪਾਸੇ ਵੱਲ ਦੀਆਂ ਕੋਠੜੀਆਂ ਉੱਤੇ ਤੱਕ ਚਾਰੇ ਪਾਸੇ ਬਹੁਤੀਆਂ ਖੁੱਲ੍ਹੀਆਂ ਹੁੰਦੀਆਂ ਜਾਂਦੀਆਂ ਸਨ, ਕਿਉਂ ਜੋ ਭਵਨ ਚੁਫ਼ੇਰਿਓਂ ਉੱਚਾ ਹੁੰਦਾ ਚਲਾ ਜਾਂਦਾ ਸੀ, ਭਵਨ ਦੀ ਚੌੜਾਈ ਉੱਤੇ ਤੱਕ ਇੱਕੋ ਜਿੰਨੀ ਸੀ ਅਤੇ ਉੱਪਰ ਦੀਆਂ ਕੋਠੜੀਆਂ ਦਾ ਰਾਹ ਵਿਚਕਾਰਲੀਆਂ ਕੋਠੜੀਆਂ ਦੇ ਵਿੱਚੋਂ ਦੀ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 41 | Verse 8] ਮੈਂ ਭਵਨ ਦੇ ਚੁਫ਼ੇਰੇ ਉੱਚਾ ਥੜਾ ਵੇਖਿਆ। ਪਾਸੇ ਦੀਆਂ ਕੋਠੜੀਆਂ ਦੀ ਨੀਂਹ ਛੇ ਵੱਡੇ ਹੱਥ ਦੇ ਪੂਰੇ ਕਾਨੇ ਜਿੰਨੀ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 41 | Verse 9] ਪਾਸੇ ਦੀਆਂ ਕੋਠੜੀਆਂ ਦੀ ਬਾਹਰਲੀ ਕੰਧ ਦੀ ਚੌੜਾਈ ਪੰਜ ਹੱਥ ਸੀ ਅਤੇ ਜਿਹੜੀ ਥਾਂ ਬਾਕੀ ਰਹੀ ਉਹ ਭਵਨ ਦੇ ਪਾਸੇ ਵੱਲ ਦੀਆਂ ਕੋਠੜੀਆਂ ਵਿਚਕਾਰ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 41 | Verse 10] ਕੋਠੜੀਆਂ ਦੇ ਵਿਚਕਾਰ ਭਵਨ ਦੇ ਚੁਫ਼ੇਰੇ ਵੀਹ ਹੱਥ ਦਾ ਫ਼ਾਸਲਾ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 41 | Verse 11] ਪਾਸੇ ਦੀਆਂ ਕੋਠੜੀਆਂ ਦੇ ਦਰਵਾਜ਼ੇ ਉਸ ਖਾਲੀ ਥਾਂ ਵੱਲ ਸਨ। ਇੱਕ ਦਰਵਾਜ਼ਾ ਉਤਰ ਵੱਲ ਦੇ ਰਾਹ ਵੱਲ ਅਤੇ ਇੱਕ ਦੱਖਣ ਵੱਲ ਅਤੇ ਖਾਲੀ ਥਾਂ ਦੀ ਚੌੜਾਈ ਚਾਰੇ ਪਾਸੇ ਪੰਜ ਹੱਥ ਸੀ।
