[IRV | PA | OT | Ezekiel | Chapter 24 | Verse 1] ਫੇਰ ਨੌਵੇਂ ਸਾਲ ਦੇ ਦਸਵੇਂ ਮਹੀਨੇ ਦੀ ਦਸ ਤਾਰੀਖ਼ ਨੂੰ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਮੇਰੇ ਕੋਲ ਆਇਆ ਕਿ
[IRV | PA | OT | Ezekiel | Chapter 24 | Verse 2] ਹੇ ਮਨੁੱਖ ਦੇ ਪੁੱਤਰ, ਅੱਜ ਦੇ ਦਿਨ ਹਾਂ, ਇਸੇ ਦਿਨ ਦਾ ਨਾਮ ਲਿਖ ਲੈ ਕਿ ਬਾਬਲ ਦੇ ਰਾਜੇ ਨੇ ਠੀਕ ਇਸੇ ਦਿਨ ਯਰੂਸ਼ਲਮ ਉੱਤੇ ਘੇਰਾ ਪਾਇਆ।
[IRV | PA | OT | Ezekiel | Chapter 24 | Verse 3] ਇਸ ਵਿਦਰੋਹੀ ਘਰਾਣੇ ਦੇ ਲਈ ਇੱਕ ਕਹਾਉਤ ਕਹਿ ਅਤੇ ਤੂੰ ਇਹਨਾਂ ਨੂੰ ਆਖ, ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਇਹ ਆਖਦਾ ਹੈ, ਇੱਕ ਕੜਾਹਾ ਚੜ੍ਹਾ ਦੇ, ਹਾਂ, ਉਹ ਨੂੰ ਚਾੜ੍ਹ, ਤੇ ਉਸ ਵਿੱਚ ਪਾਣੀ ਭਰ ਦੇ,
[IRV | PA | OT | Ezekiel | Chapter 24 | Verse 4] ਇਹ ਦੇ ਵਿੱਚ ਟੋਟੇ ਇਕੱਠੇ ਕਰ, ਹਰੇਕ ਚੰਗਾ ਟੁੱਕੜਾ ਅਰਥਾਤ ਪੱਟ, ਮੋਢੇ, ਹਰ ਇੱਕ ਚੰਗਾ ਟੁੱਕੜਾ ਅਤੇ ਚੁਣਵੀਆਂ ਹੱਡੀਆਂ ਉਸ ਵਿੱਚ ਭਰ ਦੇ,
[IRV | PA | OT | Ezekiel | Chapter 24 | Verse 5] ਅਤੇ ਇੱਜੜ ਵਿੱਚੋਂ ਚੁਣ-ਚੁਣ ਕੇ ਲੈ, ਅਤੇ ਉਹ ਦੇ ਹੇਠਾਂ ਹੱਡੀਆਂ ਦਾ ਢੇਰ ਲਾ ਦੇ, ਅਤੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਉਬਾਲ, ਤਾਂ ਜੋ ਉਹ ਦੀਆਂ ਹੱਡੀਆਂ ਉਸ ਵਿੱਚ ਚੰਗੀ ਤਰ੍ਹਾਂ ਉੱਬਲ ਜਾਣ।
[IRV | PA | OT | Ezekiel | Chapter 24 | Verse 6] ਇਸ ਲਈ ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਇਹ ਆਖਦਾ ਹੈ, ਉਸ ਖੂਨੀ ਸ਼ਹਿਰ ਉੱਤੇ ਅਫ਼ਸੋਸ ਅਤੇ ਉਸ ਕੜਾਹੇ ਉੱਤੇ ਜਿਸ ਵਿੱਚ ਜੰਗਾਲ ਲੱਗਾ ਹੈ ਅਤੇ ਉਹ ਦਾ ਜੰਗਾਲ ਲਾਹਿਆ ਨਹੀਂ ਗਿਆ। ਇੱਕ-ਇੱਕ ਟੁੱਕੜਾ ਕਰਕੇ ਉਸ ਵਿੱਚੋਂ ਕੱਢ ਅਤੇ ਉਸ ਉੱਤੇ ਪਰਚੀਆਂ ਨਾ ਪਾਈਆਂ ਜਾਣ।
[IRV | PA | OT | Ezekiel | Chapter 24 | Verse 7] ਕਿਉਂ ਜੋ ਉਹ ਦਾ ਲਹੂ ਉਹ ਦੇ ਵਿੱਚ ਹੈ। ਉਸ ਨੇ ਉਹ ਨੂੰ ਸੁੱਕੀ ਚੱਟਾਨ ਤੇ ਰੱਖਿਆ, ਧਰਤੀ ਤੇ ਨਹੀਂ ਡੋਲ੍ਹਿਆ ਕਿ ਮਿੱਟੀ ਵਿੱਚ ਢੱਕਿਆ ਜਾਏ।
[IRV | PA | OT | Ezekiel | Chapter 24 | Verse 8] ਇਸ ਲਈ ਕਿ ਉਹ ਕਹਿਰ ਨੂੰ ਚੜ੍ਹਾਵੇ, ਤਾਂ ਕਿ ਬਦਲਾ ਲਿਆ ਜਾਵੇ, ਮੈਂ ਉਹ ਦਾ ਲਹੂ ਸੁੱਕੀ ਚੱਟਾਨ ਤੇ ਰੱਖਿਆ, ਤਾਂ ਜੋ ਉਹ ਢੱਕਿਆ ਨਾ ਜਾਵੇ।
[IRV | PA | OT | Ezekiel | Chapter 24 | Verse 9] ਇਸ ਲਈ ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਇਹ ਆਖਦਾ ਹੈ, ਖੂਨੀ ਸ਼ਹਿਰ ਉੱਤੇ ਹਾਏ ਹਾਏ! ਮੈਂ ਵੀ ਵੱਡਾ ਢੇਰ ਲਾਵਾਂਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 24 | Verse 10] ਲੱਕੜਾਂ ਦਾ ਢੇਰ ਲਾ ਅਤੇ ਅੱਗ ਭੜਕਾ, ਮਾਸ ਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਉਬਾਲ, ਤਰੀ ਨੂੰ ਸੰਘਣਾ ਕਰ ਅਤੇ ਹੱਡੀਆਂ ਸਾੜੀਆਂ ਜਾਣ।
[IRV | PA | OT | Ezekiel | Chapter 24 | Verse 11] ਤਦ ਉਹ ਨੂੰ ਖ਼ਾਲੀ ਕਰ ਕੇ ਅੰਗਿਆਰਿਆਂ ਤੇ ਰੱਖ, ਤਾਂ ਜੋ ਉਹ ਦਾ ਪਿੱਤਲ ਗਰਮ ਹੋਵੇ ਅਤੇ ਪਿਘਲ ਜਾਵੇ। ਉਸ ਦੇ ਅੰਦਰ ਦੀ ਮੈਲ਼ ਸੜ ਜਾਵੇ ਅਤੇ ਉਹ ਦਾ ਜੰਗਾਲ ਸੜ ਜਾਵੇ।
[IRV | PA | OT | Ezekiel | Chapter 24 | Verse 12] ਉਹ ਸਖ਼ਤ ਮਿਹਨਤ ਤੋਂ ਥੱਕ ਗਈ, ਪਰ ਉਹ ਦਾ ਬਹੁਤਾ ਜੰਗਾਲ ਉਸ ਵਿੱਚੋਂ ਦੂਰ ਨਹੀਂ ਹੋਇਆ। ਅੱਗ ਨਾਲ ਵੀ ਉਹ ਦਾ ਜੰਗਾਲ ਦੂਰ ਨਹੀਂ ਹੁੰਦਾ।
