[IRV | PA | OT | Ezekiel | Chapter 30 | Verse 1] ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਮੇਰੇ ਕੋਲ ਆਇਆ ਕਿ
[IRV | PA | OT | Ezekiel | Chapter 30 | Verse 2] ਹੇ ਮਨੁੱਖ ਦੇ ਪੁੱਤਰ, ਭਵਿੱਖਬਾਣੀ ਕਰ ਅਤੇ ਤੂੰ ਆਖ, ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਇਹ ਆਖਦਾ ਹੈ, ਕੁਰਲਾ, ਅਫ਼ਸੋਸ ਉਸ ਦਿਨ ਤੇ!
[IRV | PA | OT | Ezekiel | Chapter 30 | Verse 3] ਇਸ ਲਈ ਕਿ ਦਿਨ ਨੇੜੇ ਹੈ, ਹਾਂ, ਯਹੋਵਾਹ ਦਾ ਦਿਨ ਨੇੜੇ ਹੈ, ਅਰਥਾਤ ਬੱਦਲਾਂ ਦਾ ਦਿਨ, ਇਹ ਕੌਮਾਂ ਦਾ ਸਮਾਂ ਹੋਵੇਗਾ!
[IRV | PA | OT | Ezekiel | Chapter 30 | Verse 4] ਤਲਵਾਰ ਮਿਸਰ ਵਿੱਚ ਆਵੇਗੀ, ਤੇ ਕੂਸ਼ ਵਿੱਚ ਕੰਬਣੀ ਹੋਵੇਗੀ, ਜਦੋਂ ਮਿਸਰ ਵਿੱਚ ਵੱਢੇ ਹੋਏ ਡਿੱਗਣਗੇ, ਅਤੇ ਉਹ ਭੀੜ ਨੂੰ ਲੈ ਜਾਣਗੇ ਅਤੇ ਉਹ ਦੀਆਂ ਨੀਂਹਾਂ ਪੁੱਟੀਆਂ ਜਾਣਗੀਆਂ।
[IRV | PA | OT | Ezekiel | Chapter 30 | Verse 5] ਕੂਸ਼, ਪੂਟ, ਲੂਦ ਅਤੇ ਸਾਰੇ ਮਿਲਵੇਂ ਲੋਕ ਅਤੇ ਕੂਬ, ਅਤੇ ਉਸ ਨੇਮ ਵਾਲੀ ਧਰਤੀ ਦੇ ਵਾਸੀ ਉਹਨਾਂ ਦੇ ਨਾਲ ਤਲਵਾਰ ਨਾਲ ਡਿੱਗ ਪੈਣਗੇ।
[IRV | PA | OT | Ezekiel | Chapter 30 | Verse 6] ਯਹੋਵਾਹ ਇਹ ਆਖਦਾ ਹੈ, ਮਿਸਰ ਦੇ ਸਹਾਇਕ ਡਿੱਗ ਪੈਣਗੇ, ਅਤੇ ਉਹ ਦੀ ਸ਼ਕਤੀ ਦਾ ਘਮੰਡ ਟੁੱਟ ਜਾਵੇਗਾ, ਮਿਗਦੋਲ ਸਵੇਨੇਹ ਤੋਂ, ਉਹ ਉਸ ਵਿੱਚ ਤਲਵਾਰ ਨਾਲ ਡਿੱਗ ਪੈਣਗੇ, ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ।
[IRV | PA | OT | Ezekiel | Chapter 30 | Verse 7] ਉਹ ਉੱਜੜੇ ਦੇਸਾਂ ਦੇ ਵਿਚਕਾਰ ਉੱਜੜਨਗੇ, ਅਤੇ ਉਹ ਦੇ ਸ਼ਹਿਰ ਉੱਜੜੇ ਸ਼ਹਿਰਾਂ ਦੇ ਵਿਚਕਾਰ ਉਜਾੜ ਰਹਿਣਗੇ।
[IRV | PA | OT | Ezekiel | Chapter 30 | Verse 8] ਜਦੋਂ ਮੈਂ ਮਿਸਰ ਵਿੱਚ ਅੱਗ ਲਾਵਾਂਗਾ, ਅਤੇ ਉਹ ਦੇ ਸਾਰੇ ਸਹਾਇਕ ਤੋੜੇ ਜਾਣਗੇ, ਤਦ ਉਹ ਜਾਣਨਗੇ ਕਿ ਮੈਂ ਯਹੋਵਾਹ ਹਾਂ!
[IRV | PA | OT | Ezekiel | Chapter 30 | Verse 9] ਉਸ ਦਿਨ ਬਹੁਤ ਸਾਰੇ ਜਹਾਜ਼ਾਂ ਵਿੱਚ ਮੇਰੇ ਵੱਲੋਂ ਭੇਜੇ ਜਾਣਗੇ, ਭਈ ਮਨਮੁੱਖ ਕੂਸ਼ੀਆਂ ਨੂੰ ਡਰਾਉਣ, ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਸਖ਼ਤ ਪੀੜ ਹੋਵੇਗੀ, ਜਿਵੇਂ ਮਿਸਰ ਦੇ ਦਿਨ ਵਿੱਚ, ਕਿਉਂ ਜੋ ਵੇਖ! ਉਹ ਆਉਂਦਾ ਹੈ।
[IRV | PA | OT | Ezekiel | Chapter 30 | Verse 10] ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਇਹ ਆਖਦਾ ਹੈ, ਮੈਂ ਮਿਸਰ ਦੀ ਭੀੜ ਨੂੰ, ਬਾਬਲ ਦੇ ਰਾਜਾ ਨਬੂਕਦਨੱਸਰ ਦੇ ਹੱਥੋਂ ਮੁਕਾ ਦੇਵਾਂਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 30 | Verse 11] ਉਹ ਅਤੇ ਉਹ ਦੇ ਲੋਕ ਜੋ ਕੌਮਾਂ ਵਿੱਚ ਭਿਆਨਕ ਹਨ, ਦੇਸ ਉਜਾੜਨ ਲਈ ਭੇਜੇ ਜਾਣਗੇ, ਉਹ ਮਿਸਰ ਦੇ ਵਿਰੁੱਧ ਆਪਣੀਆਂ ਤਲਵਾਰਾਂ ਖਿੱਚਣਗੇ, ਅਤੇ ਦੇਸ ਨੂੰ ਵੱਢਿਆ ਹੋਇਆਂ ਨਾਲ ਭਰ ਦੇਣਗੇ।
