[IRV | PA | OT | Ezekiel | Chapter 43 | Verse 1] ਫੇਰ ਉਹ ਮਨੁੱਖ ਮੈਨੂੰ ਫਾਟਕ ਤੇ ਲੈ ਆਇਆ, ਅਰਥਾਤ ਉਸ ਫਾਟਕ ਤੇ ਜਿਸ ਦਾ ਮੂੰਹ ਪੂਰਬ ਵੱਲ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 43 | Verse 2] ਵੇਖੋ, ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਪਰਤਾਪ ਪੂਰਬ ਦੇ ਰਾਹ ਵੱਲੋਂ ਆਇਆ ਅਤੇ ਉਹ ਦੀ ਅਵਾਜ਼ ਵੱਡੇ ਪਾਣੀਆਂ ਵਾਂਗੂੰ ਸੀ। ਧਰਤੀ ਉਹ ਦੇ ਪਰਤਾਪ ਨਾਲ ਚਮਕ ਉੱਠੀ।
[IRV | PA | OT | Ezekiel | Chapter 43 | Verse 3] ਇਹ ਉਸ ਦਰਸ਼ਣ ਦੇ ਅਨੁਸਾਰ ਸੀ ਜੋ ਮੈਂ ਵੇਖਿਆ ਸੀ, ਹਾਂ, ਉਸ ਦਰਸ਼ਣ ਦੇ ਅਨੁਸਾਰ ਜਿਹੜਾ ਮੈਂ ਉਸ ਵੇਲੇ ਵੇਖਿਆ ਸੀ, ਜਦੋਂ ਮੈਂ ਸ਼ਹਿਰ ਨੂੰ ਨਾਸ ਕਰਨ ਲਈ ਆਇਆ ਸੀ ਅਤੇ ਇਹ ਦਰਸ਼ਣ ਉਸ ਦਰਸ਼ਣ ਦੇ ਵਾਂਗੂੰ ਸਨ, ਜਿਹੜੇ ਮੈਂ ਕਬਾਰ ਨਹਿਰ ਦੇ ਕੋਲ ਵੇਖੇ ਸਨ, ਤਦ ਮੈਂ ਮੂਧੇ ਮੂੰਹ ਡਿੱਗ ਪਿਆ।
[IRV | PA | OT | Ezekiel | Chapter 43 | Verse 4] ਯਹੋਵਾਹ ਦਾ ਪਰਤਾਪ ਉਸ ਫਾਟਕ ਦੇ ਰਾਹ ਜਿਸ ਦਾ ਮੂੰਹ ਪੂਰਬ ਦੇ ਰਾਹ ਵੱਲ ਹੈ ਭਵਨ ਵਿੱਚ ਆਇਆ।
[IRV | PA | OT | Ezekiel | Chapter 43 | Verse 5] ਯਹੋਵਾਹ ਦਾ ਆਤਮਾ ਨੇ ਮੈਨੂੰ ਚੁੱਕ ਕੇ ਅੰਦਰਲੇ ਵੇਹੜੇ ਵਿੱਚ ਪਹੁੰਚਾ ਦਿੱਤਾ ਅਤੇ ਵੇਖੋ, ਭਵਨ ਯਹੋਵਾਹ ਦੇ ਪਰਤਾਪ ਨਾਲ ਭਰਿਆ ਹੋਇਆ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 43 | Verse 6] ਮੈਂ ਕਿਸੇ ਨੂੰ ਸੁਣਿਆ ਜਿਹੜਾ ਭਵਨ ਵਿੱਚੋਂ ਮੇਰੇ ਨਾਲ ਗੱਲਾਂ ਕਰਦਾ ਸੀ ਅਤੇ ਇੱਕ ਮਨੁੱਖ ਮੇਰੇ ਕੋਲ ਖੜਾ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 43 | Verse 7] ਉਹ ਨੇ ਮੈਨੂੰ ਆਖਿਆ, ਹੇ ਮਨੁੱਖ ਦੇ ਪੁੱਤਰ, ਇਹ ਮੇਰੇ ਸਿੰਘਾਸਣ ਦਾ ਥਾਂ ਹੈ ਅਤੇ ਮੇਰੇ ਪੈਰਾਂ ਦੀ ਕੁਰਸੀ ਹੈ, ਜਿੱਥੇ ਮੈਂ ਇਸਰਾਏਲੀਆਂ ਦੇ ਵਿਚਕਾਰ ਸਦਾ ਲਈ ਵੱਸਾਂਗਾ ਅਤੇ ਇਸਰਾਏਲ ਦਾ ਘਰਾਣਾ ਅਤੇ ਉਹਨਾਂ ਦੇ ਰਾਜਾ ਫੇਰ ਕਦੇ ਮੇਰੇ ਪਵਿੱਤਰ ਨਾਮ ਨੂੰ ਆਪਣੇ ਵਿਭਚਾਰ ਨਾਲ ਅਤੇ ਆਪਣੇ ਰਾਜਿਆਂ ਦੀਆਂ ਲਾਸ਼ਾਂ ਨਾਲ, ਉਹਨਾਂ ਦੀਆਂ ਉੱਚਿਆਈਆਂ ਵਿੱਚ ਭਰਿਸ਼ਟ ਨਾ ਕਰਨਗੇ।
[IRV | PA | OT | Ezekiel | Chapter 43 | Verse 8] ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਦੀ ਸਰਦਲ ਮੇਰੀ ਸਰਦਲ ਦੇ ਕੋਲ ਅਤੇ ਉਹਨਾਂ ਦੀ ਚੁਗਾਠ ਮੇਰੀ ਚੁਗਾਠ ਦੇ ਨਾਲ ਲਗਵੀਂ ਸੀ ਅਤੇ ਮੇਰੇ ਅਤੇ ਉਹਨਾਂ ਦੇ ਵਿਚਾਲੇ ਇੱਕ ਕੰਧ ਸੀ। ਉਹਨਾਂ ਆਪਣੇ ਘਿਣਾਉਣੇ ਕੰਮਾਂ ਕਰਕੇ ਜਿਹੜੇ ਉਹਨਾਂ ਕੀਤੇ ਮੇਰੇ ਪਵਿੱਤਰ ਨਾਮ ਨੂੰ ਪਲੀਤ ਕੀਤਾ, ਇਸ ਲਈ ਮੈਂ ਆਪਣੇ ਸ਼ਹਿਰ ਵਿੱਚ ਉਹਨਾਂ ਨੂੰ ਖਾ ਲਿਆ।
[IRV | PA | OT | Ezekiel | Chapter 43 | Verse 9] ਸੋ ਹੁਣ ਉਹ ਆਪਣੇ ਵਿਭਚਾਰਾਂ ਨੂੰ ਅਤੇ ਆਪਣੇ ਰਾਜਿਆਂ ਦੀਆਂ ਲਾਸ਼ਾਂ ਨੂੰ ਮੇਰੇ ਤੋਂ ਦੂਰ ਕਰ ਦੇਣ, ਤਾਂ ਮੈਂ ਸਦਾ ਤੱਕ ਉਹਨਾਂ ਦੇ ਵਿਚਕਾਰ ਵੱਸਾਂਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 43 | Verse 10] ਹੇ ਮਨੁੱਖ ਦੇ ਪੁੱਤਰ, ਤੂੰ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ ਨੂੰ ਇਹ ਭਵਨ ਵਿਖਾ, ਤਾਂ ਜੋ ਉਹ ਆਪਣੇ ਪਾਪਾਂ ਤੋਂ ਸ਼ਰਮਿੰਦੇ ਹੋਣ ਅਤੇ ਇਸ ਨਮੂਨੇ ਨੂੰ ਮਿਣਨ।
[IRV | PA | OT | Ezekiel | Chapter 43 | Verse 11] ਜੇ ਉਹ ਇਹਨਾਂ ਸਾਰਿਆਂ ਕੰਮਾਂ ਤੋਂ ਸ਼ਰਮਿੰਦੇ ਹੋਣ, ਜਿਹੜੇ ਉਹਨਾਂ ਨੇ ਕੀਤੇ ਅਤੇ ਇਸ ਭਵਨ ਦਾ ਨਕਸ਼ਾ, ਇਹ ਦੀ ਬਣਾਵਟ, ਉਹ ਦਾ ਅੰਦਰ-ਬਾਹਰ ਆਉਣ ਦਾ ਰਾਹ, ਸਾਰਾ ਨਕਸ਼ਾ, ਸਾਰੀਆਂ ਬਿਧੀਆਂ, ਸਾਰੇ ਕਨੂੰਨ ਅਤੇ ਸਾਰੀ ਬਿਵਸਥਾ ਉਹਨਾਂ ਨੂੰ ਜਤਾ ਤੇ ਉਹਨਾਂ ਦੀਆਂ ਅੱਖਾਂ ਦੇ ਸਾਹਮਣੇ ਲਿਖ, ਤਾਂ ਕਿ ਉਹ ਉਸ ਦੇ ਸਾਰੇ ਨਕਸ਼ੇ ਨੂੰ ਅਤੇ ਸਾਰੀਆਂ ਬਿਧੀਆਂ ਨੂੰ ਮੰਨ ਕੇ ਉਹਨਾਂ ਉੱਤੇ ਅਮਲ ਕਰਨ।
