[IRV | PA | OT | Ezekiel | Chapter 46 | Verse 1] ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਇਹ ਆਖਦਾ ਹੈ ਕਿ ਅੰਦਰਲੇ ਵੇਹੜੇ ਦਾ ਫਾਟਕ ਜਿਸ ਦਾ ਮੂੰਹ ਪੂਰਬ ਵੱਲ ਹੈ, ਕੰਮ ਕਾਜ ਦੇ ਛੇ ਦਿਨ ਬੰਦ ਰਹੇਗਾ, ਪਰ ਸਬਤ ਦੇ ਦਿਨ ਖੋਲ੍ਹਿਆ ਜਾਵੇਗਾ ਅਤੇ ਨਵੇਂ ਚੰਦ ਦੇ ਦਿਨ ਵੀ ਖੋਲ੍ਹਿਆ ਜਾਵੇਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 46 | Verse 2] ਰਾਜਕੁਮਾਰ ਬਾਹਰਲੇ ਫਾਟਕ ਦੀ ਡਿਉੜ੍ਹੀ ਦੇ ਰਾਹ ਵਿੱਚੋਂ ਅੰਦਰ ਆਵੇਗਾ ਅਤੇ ਫਾਟਕ ਦੀ ਚੁਗਾਠ ਦੇ ਕੋਲ ਖਲੋਤਾ ਰਹੇਗਾ। ਜਾਜਕ ਉਸ ਦੀਆਂ ਹੋਮ ਦੀਆਂ ਬਲੀਆਂ ਅਤੇ ਸੁੱਖ ਦੀਆਂ ਭੇਟਾਂ ਚੜ੍ਹਾਉਣਗੇ ਅਤੇ ਉਹ ਫਾਟਕ ਦੀ ਸਰਦਲ ਤੇ ਮੱਥਾ ਟੇਕ ਕੇ ਬਾਹਰ ਨਿੱਕਲੇਗਾ, ਪਰ ਫਾਟਕ ਸ਼ਾਮ ਤੱਕ ਬੰਦ ਨਾ ਹੋਵੇਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 46 | Verse 3] ਦੇਸ ਦੇ ਲੋਕ ਉਸ ਫਾਟਕ ਦੇ ਦਰਵਾਜ਼ੇ ਤੇ ਸਬਤਾਂ ਅਤੇ ਨਵੇਂ ਚੰਦ ਵਿੱਚ ਯਹੋਵਾਹ ਦੇ ਸਾਹਮਣੇ ਮੱਥਾ ਟੇਕਿਆ ਕਰਨਗੇ।
[IRV | PA | OT | Ezekiel | Chapter 46 | Verse 4] ਹੋਮ ਦੀ ਬਲੀ ਜਿਹੜੀ ਰਾਜਕੁਮਾਰ ਸਬਤ ਦੇ ਦਿਨ ਯਹੋਵਾਹ ਦੇ ਕੋਲ ਚੜ੍ਹਾਵੇਗਾ ਇਹ ਹੈ, - ਛੇ ਦੋਸ਼ ਰਹਿਤ ਲੇਲੇ ਅਤੇ ਇੱਕ ਦੋਸ਼ ਰਹਿਤ ਮੇਂਢਾ।
[IRV | PA | OT | Ezekiel | Chapter 46 | Verse 5] ਮੈਦੇ ਦੀ ਭੇਟ ਮੇਂਢੇ ਦੇ ਲਈ ਇੱਕ ਏਫ਼ਾਹ ਅਤੇ ਲੇਲਿਆਂ ਦੇ ਲਈ ਮੈਦੇ ਦੀ ਭੇਟ ਉਸ ਦੀ ਪਹੁੰਚ ਅਨੁਸਾਰ ਅਤੇ ਇੱਕ ਏਫਾਹ ਦੇ ਲਈ ਇੱਕ ਹੀਨ ਤੇਲ।
[IRV | PA | OT | Ezekiel | Chapter 46 | Verse 6] ਨਵੇਂ ਚੰਦ ਦੇ ਦਿਨ ਇੱਕ ਦੋਸ਼ ਰਹਿਤ ਵੱਛਾ, ਛੇ ਦੋਸ਼ ਰਹਿਤ ਭੇਡ ਦੇ ਬੱਚੇ ਅਤੇ ਇੱਕ ਦੋਸ਼ ਰਹਿਤ ਮੇਂਢਾ ਹੋਣਗੇ।
[IRV | PA | OT | Ezekiel | Chapter 46 | Verse 7] ਉਹ ਮੈਦੇ ਦੀ ਭੇਟ ਤਿਆਰ ਕਰੇਗਾ, ਅਰਥਾਤ ਵੱਛੇ ਦੇ ਲਈ ਇੱਕ ਏਫਾਹ ਅਤੇ ਮੇਂਢੇ ਦੇ ਲਈ ਇੱਕ ਏਫਾਹ ਅਤੇ ਲੇਲਿਆਂ ਦੇ ਲਈ ਉਸ ਦੀ ਪਹੁੰਚ ਦੇ ਅਨੁਸਾਰ ਅਤੇ ਹਰੇਕ ਏਫਾਹ ਦੇ ਲਈ ਇੱਕ ਹੀਨ ਤੇਲ।
[IRV | PA | OT | Ezekiel | Chapter 46 | Verse 8] ਜਦੋਂ ਰਾਜਕੁਮਾਰ ਅੰਦਰ ਆਵੇ ਤਾਂ ਫਾਟਕ ਦੀ ਡਿਉੜ੍ਹੀ ਦੇ ਰਾਹ ਅੰਦਰ ਆਵੇਗਾ ਅਤੇ ਉਸੇ ਰਾਹ ਵਿੱਚੋਂ ਨਿੱਕਲੇਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 46 | Verse 9] ਜਦੋਂ ਦੇਸ ਦੇ ਲੋਕ ਠਹਿਰਾਏ ਹੋਏ ਪਰਬਾਂ ਦੇ ਸਮੇਂ ਯਹੋਵਾਹ ਦੇ ਸਨਮੁਖ ਹਾਜ਼ਰ ਹੋਣਗੇ, ਤਾਂ ਜਿਹੜਾ ਉੱਤਰੀ ਫਾਟਕ ਦੇ ਰਸਤੇ ਮੱਥਾ ਟੇਕਣ ਲਈ ਆਵੇਗਾ ਉਹ ਦੱਖਣੀ ਫਾਟਕ ਦੇ ਰਸਤੇ ਬਾਹਰ ਜਾਵੇਗਾ ਅਤੇ ਜਿਹੜਾ ਦੱਖਣੀ ਫਾਟਕ ਦੇ ਰਸਤੇ ਅੰਦਰ ਆਉਂਦਾ ਹੈ ਉਹ ਉੱਤਰੀ ਫਾਟਕ ਦੇ ਰਸਤੇ ਬਾਹਰ ਜਾਵੇਗਾ। ਜਿਸ ਫਾਟਕ ਦੇ ਰਸਤੇ ਉਹ ਅੰਦਰ ਆਇਆ ਉਸ ਦੇ ਵਿੱਚੋਂ ਮੁੜ ਕੇ ਨਾ ਜਾਵੇਗਾ ਸਗੋਂ ਸਿੱਧਾ ਆਪਣੇ ਸਾਹਮਣੇ ਦੇ ਫਾਟਕ ਵਿੱਚੋਂ ਦੀ ਲੰਘ ਕੇ ਨਿੱਕਲ ਜਾਵੇਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 46 | Verse 10] ਜਦੋਂ ਉਹ ਅੰਦਰ ਜਾਣਗੇ ਤਾਂ ਰਾਜਕੁਮਾਰ ਵੀ ਉਹਨਾਂ ਦੇ ਵਿੱਚ ਮਿਲ ਕੇ ਜਾਵੇਗਾ ਅਤੇ ਜਦੋਂ ਉਹ ਬਾਹਰ ਨਿੱਕਲਣਗੇ ਤਾਂ ਸਾਰੇ ਇਕੱਠੇ ਜਾਣਗੇ।
[IRV | PA | OT | Ezekiel | Chapter 46 | Verse 11] ਠਹਿਰਾਏ ਹੋਏ ਪਰਬਾਂ ਉੱਤੇ ਮੈਦੇ ਦੀ ਭੇਟ ਵਹਿੜੇ ਦੇ ਲਈ ਇੱਕ ਏਫਾਹ ਅਤੇ ਮੇਂਢੇ ਦੇ ਲਈ ਇੱਕ ਏਫਾਹ ਹੋਵੇਗੀ ਅਤੇ ਲੇਲਿਆਂ ਦੇ ਲਈ ਉਸ ਦੀ ਪਹੁੰਚ ਦੇ ਅਨੁਸਾਰ ਅਤੇ ਹਰੇਕ ਏਫਾਹ ਦੇ ਲਈ ਇੱਕ ਹੀਨ ਤੇਲ।
