[OEB | EN | OT | Zechariah | Chapter 2 | Verse 1] Then I looked up and saw a man with a measuring line in his hand.
[OEB | EN | OT | Zechariah | Chapter 2 | Verse 2] I said, ‘Where are you going?’ He replied, ‘To measure Jerusalem, to see what is its breadth and length.’
[OEB | EN | OT | Zechariah | Chapter 2 | Verse 3] Then the messenger who talked with me stepped forward, and another messenger went out to meet him,
[OEB | EN | OT | Zechariah | Chapter 2 | Verse 4] and said to him, ‘Run and tell to that young man that Jerusalem will be inhabited like a village without walls, because so many people and cattle will live there.
[OEB | EN | OT | Zechariah | Chapter 2 | Verse 5] For I, says the Lord, will be a wall of fire her, and I will be the glory in the midst of her.
[OEB | EN | OT | Zechariah | Chapter 2 | Verse 6] Up! Away! Flee from the land of the north, says the Lord. For I have spread you abroad as the four winds of the heavens, says the Lord.
[OEB | EN | OT | Zechariah | Chapter 2 | Verse 7] Up, escape to Zion, you who live in Babylon.
[OEB | EN | OT | Zechariah | Chapter 2 | Verse 8] This is what the Lord of hosts says to the nations which plundered you: Whoever touches you touches the apple of my eye.
[OEB | EN | OT | Zechariah | Chapter 2 | Verse 9] I will raise my hand against them. They will be plunder for their own slaves; and you will know that the Lord of hosts has sent me.
[OEB | EN | OT | Zechariah | Chapter 2 | Verse 10] ‘Sing and rejoice, daughter of Zion! I am coming, I will live among you, says the Lord.
[OEB | EN | OT | Zechariah | Chapter 2 | Verse 11] Many nations will join themselves to the Lord in that day, and will be his people, and he will live among you. You will know that the Lord of hosts has sent me to you.
[OEB | EN | OT | Zechariah | Chapter 2 | Verse 12] The Lord will inherit Judah as his portion in the holy land. He will again choose Jerusalem.
[OEB | EN | OT | Zechariah | Chapter 2 | Verse 13] Be silent, everyone, in the presence of the Lord, because he is coming from his holy dwelling.’
