[OEB | EN | OT | Zechariah | Chapter 12 | Verse 1] An oracle. This is the message of the Lord about Israel. The Lord who stretches out the heavens, and lays the foundation of the earth, and forms the human spirit within people says:
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 2] Look! I am about to make Jerusalem a cup of drunkenness for all the surrounding peoples. There will be a siege of Jerusalem.
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 3] On that day that I will make Jerusalem a stone to be lifted up by all the peoples. All who lift it up will surely hurt themselves! And all the nations of the earth will be gathered together against it.
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 4] On that day, says the Lord, I will strike every horse with panic and its rider with madness. But over the house of Judah I will keep watch, though I strike every horse belonging to the peoples with blindness.
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 5] And the chieftains of Judah will say to themselves, ‘The strength of the inhabitants is in the Lord of hosts their God.’
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 6] In that day I will make the chieftains of Judah like a pan of fire in the woods, like a torch among sheaves, they will devour right and left all the surrounding peoples. But Jerusalem will abide on its own site.
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 7] And the Lord will first give victory to the tents of Judah, so that the glory of the house of David, and of the inhabitants of Jerusalem be not exalted above Judah.
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 8] In that day the Lord will protect the inhabitants of Jerusalem, and the feeblest among them will in that day be like David, and the house of David like God, like the messenger of the Lord before them.
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 9] And in that day I will seek to destroy all the nations who have come up against Jerusalem.
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 10] And I will pour out on the house of David and the inhabitants of Jerusalem the spirit of pity and compassion. They will look on him whom they have pierced and they will lament for him as one laments for an only son. They will bitterly grieve for him as one grieves for the firstborn.
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 11] In that day mourning will be as great in Jerusalem as the mourning for Hadad-rimmon in the plain of Megiddo.
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 12] And the land will mourn, each family by itself: the family of the house of David by itself, and their wives by themselves, and the family of the house of Nathan by itself, and their wives by themselves,
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 13] and the family of the house of Levi by itself, and their wives by themselves, the family of the Shimeites by itself, and their wives by themselves,
[OEB | EN | OT | Zechariah | Chapter 12 | Verse 14] and all the families who are left, each by itself, and their wives by themselves.
