[OEB | EN | OT | Zechariah | Chapter 1 | Verse 1] In the eighth month in the second year of Darius, this message of the Lord came to the prophet Zechariah, the son of Berechiah, the son of Iddo:
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 2] The Lord was furious with your ancestors.
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 3] So tell the people this message of the Lord of hosts: ‘Return to me,’ says the Lord of hosts, ‘and I will return to you’ says the Lord of hosts.
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 4] ‘Do not be like your ancestors to whom the former prophets cried, “The Lord of hosts says to turn now from your evil ways, and from your evil deeds”. They did not heed nor listen to me,’ says the Lord.
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 5] ‘Your ancestors, where are they? And the prophets, do they live forever?
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 6] But did not my words and my statutes with which I charged my servants the prophets overtake your ancestors? And they repented and said, “Just as the Lord of hosts planned to do to us, according to our ways, and according to our deeds, so he has dealt with us.”’
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 7] In the twenty-fourth day of the eleventh month, which is the month Shebat, in the second year of Darius, this message of the Lord came to the prophet Zechariah, the son of Berechiah, the son of Iddo:
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 8] I saw in the night a man on a red horse, among the myrtle trees that were in the valley-bottom. Behind him there were horses, red, sorrel, and white.
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 9] Then said I, ‘My Lord, what are these?’ And the messenger who was talking with me said, ‘I will show you what they are.’
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 10] And the man who was standing among the myrtle trees answered, ‘They are those whom the Lord has sent to patrol the earth.’
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 11] And the riders answered the messenger of the Lord who was standing among the myrtle trees, ‘We have gone up and down through the world and behold, all the earth is still and at peace.’
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 12] Then the messenger of the Lord said, ‘Lord of hosts, how long will you have no pity for Jerusalem and the cities of Judah with which you have been angry for seventy years?’
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 13] And the Lord answered the messenger who was talking with me with kind and comforting words.
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 14] So the messenger who was talking with me said to me, ‘Proclaim now that the Lord of hosts says: I am deeply concerned for Jerusalem.
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 15] But I am deeply angry with the arrogant, complacent nations. I was only a little angry with Israel but they made the suffering worse.
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 16] Therefore, says the Lord, I am turning to show mercy to Jerusalem. My temple will be rebuilt in it, says the Lord of hosts, and a measuring line will be stretched over Jerusalem.
[OEB | EN | OT | Zechariah | Chapter 1 | Verse 17] Proclaim again: Thus says the Lord of hosts: My cities will again overflow with prosperity and the Lord will again comfort Zion and choose Jerusalem.’
