[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 1] And Benjamin begot Bela his first-born, Ashbel the second, and Aharah the third;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 2] Nohah the fourth, and Rapha the fifth.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 3] And Bela had sons, Addar, and Gera, and Abihud;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 4] and Abishua, and Naaman, and Ahoah;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 5] and Gera, and Shephuphan, and Huram.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 6] And these are the sons of Ehud — these are the heads of fathers' houses of the inhabitants of Geba, and they were carried captive to Manahath;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 7] and Naaman, and Ahijah, and Gera, were they that carried them captive — and he begot Uzza, and Ahihud.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 8] And Shaharaim begot children in the field of Moab, after he had sent them away, to wit, Hushim and Baara his wives;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 9] he begot of Hodesh his wife, Jobab, and Zibia, and Mesha, and Malcam;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 10] and Jeuz, and Sachiah, and Mirmah. These were his sons, heads of fathers' houses.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 11] and of Hushim he begot Abitub, and Elpaal.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 12] And the sons of Elpaal: Eber, and Misham, and Shemed, who built Ono, and Lod, with the towns thereof;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 13] and Beriah, and Shema, who were heads of fathers' houses of the inhabitants of Aijalon, who put to flight the inhabitants of Gath.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 14] And Ahio, Shashak, and Jeremoth;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 15] and Zebadiah, and Arad, and Eder;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 16] and Michael, and Ishpah, and Joha, were the sons of Beriah.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 17] And Zebadiah, and Meshullam, and Hizki, and Heber;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 18] and Ishmerai, and Izliah, and Jobab, were the sons of Elpaal.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 19] And Jakim, and Zichri, and Zabdi;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 20] and Elienai, and Zillethai, and Eliel;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 21] and Adaiah, and Beraiah, and Shimrath, were the sons of Shimei.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 22] And Ishpan, and Ebed, and Eliel;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 23] and Abdon, and Zichri, and Hanan;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 24] and Hananiah, and Elam, and Anthothiah;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 25] and Iphdeiah, and Penuel, were the sons of Shashak.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 26] And Shamsherai, and Shehariah, and Athaliah;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 27] and Jaareshiah, and Elijah, and Zichri, were the sons of Jeroham.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 28] These were heads of fathers' houses throughout their generations, chief men; these dwelt in Jerusalem.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 29] And in Gibeon there dwelt the father of Gibeon, Jeiel, whose wife's name was Maacah;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 30] and his first-born son Abdon, and Zur, and Kish, and Baal, and Nadab;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 31] and Gedor, and Ahio, and Zecher.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 32] And Mikloth begot Shimeah. And they also dwelt with their brethren in Jerusalem, over against their brethren.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 33] And Ner begot Kish; and Kish begot Saul; and Saul begot Jonathan, and Malchi-shua, and Abinadab, and Eshbaal.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 34] And the son of Jonathan was Merib-baal; and Merib-baal begot Micah.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 35] And the sons of Micah; Pithon, and Melech, and Taarea, and Ahaz.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 36] And Ahaz begot Jehoaddah; and Jehoaddah begot Alemeth, and Azmaveth, and Zimri; and Zimri begot Moza;
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 37] and Moza begot Binea; Raphah was his son, Eleasah his son, Azel his son.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 38] And Azel had six sons, whose names are these: Azrikam, Bocru, and Ishmael, and Sheariah, and Obadiah, and Hanan. All these were the sons of Azel.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 39] And the sons of Eshek his brother: Ulam his firstborn, Jeush the second, and Eliphelet the third.
[JPS | EN | OT | 1 Chronicles | Chapter 8 | Verse 40] And the sons of Ulam were mighty men of valour, archers; and had many sons, and sons' sons, a hundred and fifty. All these were of the sons of Benjamin.
