[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 1] ADAM, SETH, Enosh;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 2] Kenan, Mahalalel, Jared;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 3] Enoch, Methuselah, Lamech;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 4] Noah, Shem, Ham, and Japheth.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 5] The sons of Japheth: Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 6] And the sons of Gomer: Ashkenaz, and Diphath, and Togarmah.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 7] And the sons of Javan: Elishah, and Tarshish, Kittim, and Rodanim.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 8] The sons of Ham: Cush, and Mizraim, Put, and Canaan.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 9] And the sons of Cush: Seba, and Havilah, and Sabta, and Raama, and Sabteca. And the sons of Raama: Sheba, and Dedan.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 10] And Cush begot Nimrod; he began to be a mighty one in the earth.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 11] And Mizraim begot Ludim, and Anamim, and Lehabim, and Naphtuhim,
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 12] and Pathrusim, and Casluhim — from whence came the Philistines — and Caphtorim.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 13] And Canaan begot Zidon his first-born, and Heth;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 14] and the Jebusite, and the Amorite, and the Girgashite;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 15] and the Hivite, and the Arkite, and the Sinite;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 16] and the Arvadite, and the Zemarite, and the Hamathite.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 17] The Sons of Shem: Elam, and Asshur, and Arpachshad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 18] And Arpachshad begot Shelah, and Shelah begot Eber.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 19] And unto Eber were born two sons: the name of the one was Peleg; for in his days the earth was divided; and his brother's name was Joktan.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 20] And Joktan begot Almodad, and Sheleph, and Hazarmaveth, and Jerah;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 21] and Hadoram, and Uzal, and Diklah;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 22] and Ebal, and Abimael, and Sheba;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 23] and Ophir, and Havilah, and Jobab. All these were the sons of Joktan.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 24] Shem, Arpachshad, Shelah;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 25] Eber, Peleg, Reu;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 26] Serug, Nahor, Terah;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 27] Abram — the same is Abraham.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 28] The sons of Abraham: Isaac, and Ishmael.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 29] These are their generations: the first-born of Ishmael, Nebaioth; then Kedar, and Adbeel, and Mibsam,
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 30] Mishma, and Dumah, Massa, Hadad, and Tema,
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 31] Jetur, Naphish, and Kedem. These are the sons of Ishmael.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 32] And the sons of Keturah, Abraham's concubine: she bore Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. And the sons of Jokshan: Sheba, and Dedan.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 33] And the sons of Midian: Ephah, and Epher, and Hanoch, and Abida, and Eldaah. All these were the sons of Keturah.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 34] And Abraham begot Isaac. The sons of Isaac: Esau, and Israel.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 35] The sons of Esau: Eliphaz, Reuel, and Jeush, and Jalam and Korah.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 36] The sons of Eliphaz: Teman, and Omar, Zephi, and Gatam, Kenaz, and Timna, and Amalek.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 37] The sons of Reuel: Nahath, Zerah, Shammah, and Mizzah.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 38] And the sons of Seir: Lotan, and Shobal, and Zibeon, and Anah, and Dishon, and Ezer, and Dishan.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 39] And the sons of Lotan: Hori, and Homam; and Timna was Lotan's sister.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 40] The sons of Shobal: Alian, and Manahath, and Ebal, Shephi, and Onam. And the sons of Zibeon: Aiah, and Anah.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 41] The sons of Anah: Dishon. And the sons of Dishon: Hamran, and Eshban, and Ithran, and Cheran.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 42] The sons of Ezer: Bilhan, and Zaavan, Jaakan. The sons of Dishan: Uz, and Aran.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 43] Now these are the kings that reigned in the land of Edom, before their reigned any king over the children of Israel: Bela the son of Beor; and the name of his city was Dinhabah.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 44] And Bela died, and Jobab the son of Zerah of Bozrah reigned in his stead.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 45] And Jobab died, and Husham of the land of the Temanites reigned in his stead.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 46] And Husham died, and Hadad the son of Bedad, who smote Midian in the field of Moab, reigned in his stead; and the name of his city was Avith.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 47] And Hadad died, and Samlah of Masrekah reigned in his stead.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 48] And Samlah died, and Shaul of Rehoboth by the River reigned in his stead.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 49] And Shaul died, and Baal-hanan the son of Achbor reigned in his stead.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 50] And Baal-hanan died, and Hadad reigned in his stead; and the name of his city was Pai; and his wife's name was Mehetabel, the daughter of Matred, the daughter of Mezahab.
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 51] And Hadad died. And the chiefs of Edom were: the chief of Timna, the chief of Alvah, the chief of Jetheth;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 52] the chief of Oholibamah, the chief of Elah, the chief of Pinon;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 53] the chief of Kenaz, the chief of Teman, the chief of Mibzar;
[JPS | EN | OT | 1 Chronicles | Chapter 1 | Verse 54] the chief of Magdiel, the chief of Iram. These are the chiefs of Edom.
