[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 1] And after this it came to pass, that David smote the Philistines, and subdued them, and took Gath and its towns out of the hand of the Philistines.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 2] And he smote Moab; and the Moabites became servants to David, and brought presents.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 3] And David smote Hadarezer king of Zobah by Hamath, as he went to establish his dominion at the river Euphrates.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 4] And David took from him a thousand chariots, and seven thousand horsemen, and twenty thousand footmen; and David houghed all the chariot horses, but reserved of them for a hundred chariots.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 5] And when the Arameans of Damascus came to succour Hadarezer king of Zobah, David smote of the Arameans two and twenty thousand men.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 6] Then David put garrisons in Aram Damascus; and the Arameans became servants to David, and brought presents. And the LORD gave victory to David whithersoever he went.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 7] And David took the shields of gold that were on the servants of Hadarezer, and brought them to Jerusalem.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 8] And from Tibhath and from Cun, cities of Hadarezer, David took very much brass, wherewith Solomon made the brazen sea, and the pillars, and the vessels of brass.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 9] And when Tou king of Hamath heard that David had smitten all the host of Hadarezer king of Zobah,
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 10] he sent Hadoram his son to king David, to salute him, and to bless him — because he had fought against Hadarezer and smitten him; for Hadarezer had wars with Tou — and he had with him all manner of vessels of gold and silver and brass.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 11] These also did king David dedicate unto the LORD, with the silver and the gold that he carried away from all the nations; from Edom, and from Moab, and from the children of Ammon, and from the Philistines, and from Amalek.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 12] Moreover Abishai the son of Zeruiah smote of the Edomites in the Valley of Salt eighteen thousand.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 13] And he put garrisons in Edom; and all the Edomites became servants to David. And the LORD gave victory to David whithersoever he went.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 14] And David reigned over all Israel; and he executed justice and righteousness unto all his people.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 15] And Joab the son of Zeruiah was over the host; and Jehoshaphat the son of Ahilud was recorder.
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 16] And Zadok the son of Ahitub, and Abimelech the son of Abiathar, were priests; and Shavsha was scribe;
[JPS | EN | OT | 1 Chronicles | Chapter 18 | Verse 17] and Beniah the son of Jehoiada was over the Cherethites and the Pelethites; and the sons of David were chief about the king.
